"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Kyren Williams (LAR)","70","200","2.9","14","88.6%","7","9","77.8%","38","5.4","2","100.0%","1","16","117.8","7.4","97.7%"
"2","Derrick Henry (BAL)","53","156","2.9","12","85.5%","4","4","100.0%","25","6.3","2","30.8%","0","17","102.1","6.0","98.7%"
"3","Josh Jacobs (GB)","58","143","2.5","13","72.5%","3","4","75.0%","14","4.7","1","44.4%","1","17","97.7","5.7","98.5%"
"4","James Cook (BUF)","42","132","3.1","11","62.7%","4","5","80.0%","28","7.0","2","38.5%","0","16","94.0","5.9","97.6%"
"5","David Montgomery (DET)","49","161","3.3","12","47.6%","3","3","100.0%","12","4.0","0","20.0%","0","14","93.4","6.7","93.9%"
"6","Jahmyr Gibbs (DET)","49","141","2.9","10","47.6%","9","12","75.0%","42","4.7","2","80.0%","1","17","88.3","5.2","99.0%"
"7","Bijan Robinson (ATL)","51","121","2.4","11","67.1%","6","6","100.0%","41","6.8","1","85.7%","0","17","88.2","5.2","98.7%"
"8","Joe Mixon (HOU)","56","126","2.3","10","87.5%","3","7","42.9%","20","6.7","1","53.8%","0","14","80.6","5.8","95.0%"
"9","Saquon Barkley (PHI)","61","212","3.5","6","74.4%","9","11","81.8%","69","7.7","2","73.3%","0","16","76.1","4.8","99.0%"
"10","Chase Brown (CIN)","45","94","2.1","6","73.8%","10","14","71.4%","60","6.0","4","82.4%","0","16","75.4","4.7","96.0%"
"11","De'Von Achane (MIA)","35","39","1.1","4","60.3%","12","14","85.7%","91","7.6","6","77.8%","0","17","73.0","4.3","98.3%"
"12","James Conner (ARI)","51","162","3.2","8","87.9%","5","5","100.0%","23","4.6","1","50.0%","0","16","72.5","4.5","93.4%"
"13","Chuba Hubbard (CAR)","45","117","2.6","8","83.3%","8","11","72.7%","34","4.3","1","64.7%","0","15","69.1","4.6","95.0%"
"14","Rachaad White (TB)","21","48","2.3","3","34.4%","11","11","100.0%","78","7.1","5","61.1%","0","16","60.6","3.8","67.5%"
"15","Bucky Irving (TB)","35","129","3.7","7","57.4%","7","7","100.0%","30","4.3","0","38.9%","0","17","57.9","3.4","98.9%"
"16","Rhamondre Stevenson (NE)","41","97","2.4","6","73.2%","9","11","81.8%","33","3.7","1","84.6%","0","15","55.0","3.7","77.0%"
"17","Kareem Hunt (KC)","43","99","2.3","7","66.2%","7","10","70.0%","22","3.1","0","62.5%","0","13","54.1","4.2","25.5%"
"18","Jonathan Taylor (IND)","54","107","2.0","6","73.0%","2","3","66.7%","11","5.5","1","42.9%","0","14","53.8","3.8","98.3%"
"19","Brian Robinson Jr. (WAS)","42","120","2.9","7","48.8%","2","4","50.0%","7","3.5","0","44.4%","1","14","52.7","3.8","87.1%"
"20","J.K. Dobbins (DEN)","25","74","3.0","7","43.9%","5","5","100.0%","18","3.6","0","100.0%","0","13","51.2","3.9","73.4%"
"21","Alvin Kamara (NO)","35","109","3.1","6","76.1%","3","6","50.0%","14","4.7","0","75.0%","0","14","48.3","3.5","95.5%"
"22","Aaron Jones Sr. (MIN)","42","86","2.0","4","70.0%","12","16","75.0%","64","5.3","2","76.2%","2","17","47.0","2.8","90.1%"
"23","Kenneth Walker III (SEA)","23","41","1.8","5","47.9%","8","10","80.0%","43","5.4","1","90.9%","0","11","44.4","4.0","95.3%"
"24","Tank Bigsby (JAC)","32","130","4.1","5","55.2%","0","0","0%","0","0","0","0.0%","0","16","43.0","2.7","69.2%"
"25","Zach Charbonnet (SEA)","22","53","2.4","6","45.8%","1","1","100.0%","12","12.0","0","9.1%","0","17","42.5","2.5","77.6%"
"26","Breece Hall (NYJ)","23","65","2.8","5","65.7%","6","8","75.0%","34","5.7","0","66.7%","0","16","39.9","2.5","96.3%"
"27","Najee Harris (LAC)","46","125","2.7","4","70.8%","4","4","100.0%","33","8.3","0","30.8%","0","17","39.8","2.3","68.3%"
"28","Roschon Johnson (CHI)","14","27","1.9","6","28.6%","1","2","50.0%","10","10.0","0","100.0%","0","13","39.7","3.1","21.0%"
"29","Tyjae Spears (TEN)","12","34","2.8","4","26.1%","3","3","100.0%","37","12.3","1","50.0%","0","12","37.1","3.1","64.2%"
"30","Ameer Abdullah (SF)","13","51","3.9","2","27.1%","6","6","100.0%","30","5.0","3","75.0%","1","15","36.1","2.4","0.6%"
"31","Ray Davis (BUF)","17","86","5.1","3","25.4%","1","1","100.0%","5","5.0","1","7.7%","0","17","33.1","1.9","34.5%"
"32","Cam Akers (NO)","11","23","2.1","2","18.3%","3","4","75.0%","20","6.7","3","19.0%","1","16","32.3","2.0","2.9%"
"33","Javonte Williams (DAL)","27","64","2.4","4","51.9%","1","3","33.3%","11","11.0","0","30.0%","0","17","31.5","1.9","72.2%"
"34","Tony Pollard (TEN)","30","100","3.3","3","65.2%","2","3","66.7%","24","12.0","0","50.0%","0","16","30.4","1.9","88.9%"
"35","Gus Edwards (FA)","20","59","3.0","4","35.1%","0","0","0%","0","0","0","0.0%","0","11","29.9","2.7","1.3%"
"36","Isaac Guerendo (SF)","14","49","3.5","4","20.6%","0","0","0%","0","0","0","0.0%","0","16","28.9","1.8","42.5%"
"37","Jordan Mason (MIN)","34","107","3.1","3","50.0%","2","3","66.7%","20","10.0","0","30.0%","1","12","28.7","2.4","73.6%"
"38","Tyrone Tracy Jr. (NYG)","22","52","2.4","3","56.4%","4","5","80.0%","15","3.8","1","71.4%","1","17","28.7","1.7","83.8%"
"39","Alexander Mattison (MIA)","22","40","1.8","4","45.8%","1","1","100.0%","0","0.0","0","12.5%","0","14","28.0","2.0","8.4%"
"40","Nick Chubb (HOU)","18","34","1.9","3","46.2%","1","1","100.0%","5","5.0","1","33.3%","0","8","27.9","3.5","44.9%"
"41","Devin Singletary (NYG)","11","31","2.8","4","28.2%","0","0","0%","0","0","0","0.0%","0","16","27.1","1.7","4.7%"
"42","Austin Ekeler (WAS)","20","80","4.0","3","23.3%","2","3","66.7%","7","3.5","0","33.3%","0","12","26.7","2.2","62.0%"
"43","Ty Johnson (BUF)","8","30","3.8","1","11.9%","5","7","71.4%","45","9.0","2","53.8%","0","17","25.5","1.5","3.5%"
"44","Braelon Allen (NYJ)","9","42","4.7","2","25.7%","1","1","100.0%","12","12.0","1","8.3%","0","17","23.4","1.4","23.2%"
"45","Rico Dowdle (CAR)","19","58","3.1","1","52.8%","4","5","80.0%","15","3.8","2","71.4%","1","16","23.3","1.5","35.2%"
"46","Tyler Allgeier (ATL)","25","49","2.0","3","32.9%","1","1","100.0%","3","3.0","0","14.3%","0","17","23.2","1.4","43.1%"
"47","Jeremy McNichols (WAS)","13","39","3.0","3","15.1%","2","2","100.0%","11","5.5","0","22.2%","0","17","23.0","1.4","0.7%"
"48","Zack Moss (FA)","16","43","2.7","2","26.2%","2","3","66.7%","5","2.5","1","17.6%","0","9","22.8","2.5","16.3%"
"49","Emanuel Wilson (GB)","14","32","2.3","3","17.5%","2","2","100.0%","3","1.5","0","22.2%","0","17","21.5","1.3","2.5%"
"50","Jaleel McLaughlin (DEN)","12","22","1.8","1","23.1%","3","3","100.0%","11","3.7","2","30.0%","0","16","21.3","1.3","8.5%"
"51","Justice Hill (BAL)","6","9","1.5","0","9.7%","6","8","75.0%","62","10.3","2","61.5%","0","15","19.1","1.3","20.8%"
"52","Ezekiel Elliott (FA)","14","18","1.3","3","38.9%","1","2","50.0%","9","9.0","0","28.6%","1","15","18.7","1.2","5.0%"
"53","Kenneth Gainwell (PIT)","20","90","4.5","1","24.4%","3","3","100.0%","35","11.7","0","20.0%","0","17","18.5","1.1","2.1%"
"54","D'Andre Swift (CHI)","30","59","2.0","2","61.2%","0","0","0%","0","0","0","0.0%","0","17","17.9","1.1","90.2%"
"55","Chris Rodriguez Jr. (WAS)","11","40","3.6","2","12.8%","0","0","0%","0","0","0","0.0%","0","8","16.0","2.0","1.1%"
