"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"56","Isaiah Davis (NYJ)","3","20","6.7","1","8.6%","2","3","66.7%","19","9.5","1","25.0%","0","14","15.9","1.1","4.1%"
"57","Travis Etienne Jr. (JAC)","20","48","2.4","2","34.5%","3","5","60.0%","10","3.3","0","62.5%","1","15","15.8","1.1","82.1%"
"58","Trey Sermon (PIT)","14","35","2.5","2","18.9%","2","2","100.0%","3","1.5","0","28.6%","0","15","15.8","1.1","0.6%"
"59","Jerome Ford (CLE)","10","25","2.5","2","25.6%","1","1","100.0%","3","3.0","0","33.3%","0","14","14.8","1.1","51.2%"
"60","Tyler Goodson (IND)","6","12","2.0","1","8.1%","2","2","100.0%","15","7.5","1","28.6%","0","16","14.7","0.9","1.5%"
"61","Raheem Mostert (LV)","15","19","1.3","2","25.9%","1","2","50.0%","2","2.0","0","11.1%","0","13","14.1","1.1","10.5%"
"62","Sean Tucker (TB)","5","16","3.2","2","8.2%","0","0","0%","0","0","0","0.0%","0","17","13.6","0.8","7.9%"
"63","Samaje Perine (CIN)","2","5","2.5","1","3.1%","1","3","33.3%","7","7.0","1","18.8%","0","17","13.2","0.8","3.6%"
"64","Michael Burton (DEN)","3","0","0.0","1","5.8%","2","2","100.0%","-1","-0.5","1","20.0%","0","17","11.9","0.7","0.1%"
"65","Kyle Juszczyk (SF)","3","6","2.0","1","4.4%","2","2","100.0%","6","3.0","1","20.0%","1","17","11.2","0.7","0.9%"
"66","Antonio Gibson (NE)","14","40","2.9","1","25.0%","1","1","100.0%","7","7.0","0","7.7%","0","17","10.7","0.6","12.7%"
"67","Jaylen Warren (PIT)","17","41","2.4","1","26.2%","3","7","42.9%","16","5.3","0","53.8%","1","15","9.7","0.6","85.0%"
"68","Patrick Taylor Jr. (SF)","10","36","3.6","1","14.7%","0","1","0.0%","0","0","0","10.0%","0","9","9.6","1.1","0.7%"
"69","Chris Brooks (GB)","8","33","4.1","1","10.0%","2","3","66.7%","1","0.5","0","33.3%","0","13","9.4","0.7","0.8%"
"70","Isiah Pacheco (KC)","10","32","3.2","1","15.4%","1","1","100.0%","1","1.0","0","6.3%","0","7","9.3","1.3","91.1%"
"71","Audric Estime (DEN)","10","32","3.2","1","19.2%","0","0","0%","0","0","0","0.0%","0","13","9.2","0.7","6.3%"
"72","Miles Sanders (DAL)","4","11","2.8","1","7.4%","3","4","75.0%","17","5.7","0","23.5%","0","11","8.8","0.8","10.9%"
"73","Jamaal Williams (FA)","7","27","3.9","1","15.2%","0","1","0.0%","0","0","0","12.5%","0","14","8.7","0.6","1.1%"
"74","JaMycal Hasty (NE)","0","0","0","0","0.0%","1","1","100.0%","16","16.0","1","7.7%","0","12","7.6","0.6","1.1%"
"75","Zamir White (LV)","7","16","2.3","1","14.6%","0","0","0%","0","0","0","0.0%","0","8","7.6","1.0","11.0%"
"76","Cordarrelle Patterson (FA)","1","-2","-2.0","0","1.5%","2","2","100.0%","16","8.0","1","15.4%","0","13","7.4","0.6","0.9%"
"77","Dare Ogunbowale (HOU)","4","6","1.5","0","6.3%","2","6","33.3%","7","3.5","1","46.2%","0","17","7.3","0.4","1.5%"
"78","Hassan Haskins (LAC)","7","11","1.6","1","12.3%","0","0","0%","0","0","0","0.0%","0","15","7.1","0.5","0.6%"
"79","Trey Benson (ARI)","3","7","2.3","1","5.2%","0","0","0%","0","0","0","0.0%","0","13","6.7","0.5","39.1%"
"80","Khalil Herbert (IND)","5","4","0.8","1","10.2%","0","0","0%","0","0","0","0.0%","0","12","6.4","0.5","3.9%"
"81","DeeJay Dallas (ARI)","1","3","3.0","0","1.7%","1","1","100.0%","1","1.0","1","10.0%","0","16","6.4","0.4","0.1%"
"82","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","1","7.7%","0","17","6.3","0.4","0.8%"
"83","C.J. Ham (MIN)","1","2","2.0","1","1.7%","0","0","0%","0","0","0","0.0%","0","17","6.2","0.4","0.6%"
"84","Kendre Miller (NO)","3","0","0.0","1","6.5%","0","0","0%","0","0","0","0.0%","0","7","6.0","0.9","18.6%"
"85","Alec Ingold (MIA)","2","2","1.0","1","3.4%","1","1","100.0%","6","6.0","0","5.6%","1","15","4.8","0.3","0.6%"
"86","Carson Steele (KC)","10","30","3.0","0","15.4%","1","2","50.0%","2","2.0","0","12.5%","0","16","3.2","0.2","0.6%"
"87","Christian McCaffrey (SF)","7","16","2.3","0","10.3%","3","4","75.0%","14","4.7","0","40.0%","0","4","3.0","0.8","98.5%"
"88","Julius Chestnut (TEN)","4","28","7.0","0","8.7%","0","0","0%","0","0","0","0.0%","0","14","2.8","0.2","1.1%"
"89","Blake Corum (LAR)","8","23","2.9","0","10.1%","0","0","0%","0","0","0","0.0%","0","15","2.3","0.2","19.6%"
"90","D'Ernest Johnson (BAL)","6","23","3.8","0","10.3%","0","3","0.0%","0","0","0","37.5%","0","12","2.3","0.2","1.0%"
"91","Emari Demercado (ARI)","0","0","0","0","0.0%","4","4","100.0%","18","4.5","0","40.0%","0","13","1.8","0.1","1.1%"
"92","Jonathon Brooks (CAR)","3","11","3.7","0","5.6%","2","2","100.0%","5","2.5","0","11.8%","0","3","1.6","0.5","3.6%"
"93","Ty Chandler (MIN)","5","11","2.2","0","8.3%","1","1","100.0%","5","5.0","0","4.8%","0","15","1.6","0.1","4.8%"
"94","Jaylen Wright (MIA)","5","13","2.6","0","8.6%","1","1","100.0%","0","0.0","0","5.6%","0","15","1.3","0.1","25.1%"
"95","Blake Watson (DEN)","0","0","0","0","0.0%","1","1","100.0%","13","13.0","0","10.0%","0","3","1.3","0.4","1.1%"
"96","Sincere McCormick (LV)","5","9","1.8","0","10.4%","1","1","100.0%","3","3.0","0","12.5%","0","4","1.2","0.3","2.0%"
"97","J.J. Taylor (HOU)","2","11","5.5","0","3.1%","0","0","0%","0","0","0","0.0%","0","4","1.1","0.3","1.0%"
"98","Tyreik McAllister (FA)","1","10","10.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","2","1.0","0.5","1.0%"
"99","Rasheen Ali (BAL)","3","10","3.3","0","4.8%","0","0","0%","0","0","0","0.0%","0","5","1.0","0.2","0.7%"
"100","Jermar Jefferson (TEN)","3","9","3.0","0","2.9%","0","0","0%","0","0","0","0.0%","0","2","0.9","0.5","0.6%"
"101","Michael Carter (ARI)","3","8","2.7","0","5.2%","0","0","0%","0","0","0","0.0%","0","4","0.8","0.2","1.1%"
"102","Jordan Mims (TEN)","1","3","3.0","0","2.2%","1","1","100.0%","4","4.0","0","12.5%","0","8","0.7","0.1","0.0%"
"103","Hunter Luepke (DAL)","2","6","3.0","0","5.6%","0","0","0%","0","0","0","0.0%","0","16","0.6","0.0","0.7%"
"104","Ronnie Rivers (LAR)","1","5","5.0","0","1.3%","0","0","0%","0","0","0","0.0%","0","7","0.5","0.1","1.1%"
"105","Kimani Vidal (LAC)","5","5","1.0","0","8.8%","0","0","0%","0","0","0","0.0%","0","10","0.5","0.1","2.4%"
"106","Dameon Pierce (HOU)","2","4","2.0","0","3.1%","0","0","0%","0","0","0","0.0%","0","11","0.4","0.0","10.6%"
"107","Craig Reynolds (DET)","2","3","1.5","0","1.9%","0","0","0%","0","0","0","0.0%","0","14","0.3","0.0","1.1%"
"108","Kenny McIntosh (SEA)","3","3","1.0","0","6.3%","0","0","0%","0","0","0","0.0%","0","12","0.3","0.0","0.6%"
"109","Deuce Vaughn (DAL)","1","3","3.0","0","2.8%","0","0","0%","0","0","0","0.0%","0","6","0.3","0.1","1.5%"
"110","Pierre Strong Jr. (CLE)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","0","33.3%","0","13","0.3","0.0","1.1%"
"111","Tyler Badie (DEN)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","0","10.0%","0","3","0.2","0.1","0.7%"
"112","Mike Boone (FA)","1","1","1.0","0","1.9%","0","0","0%","0","0","0","0.0%","0","5","0.1","0.0","1.0%"
"113","Will Shipley (PHI)","1","1","1.0","0","1.2%","0","0","0%","0","0","0","0.0%","0","13","0.1","0.0","12.0%"
"114","Myles Gaskin (FA)","1","0","0.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","4","0.0","0.0","0.0%"
"115","Raheem Blackshear (CAR)","1","0","0.0","0","1.9%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","1.0%"
"116","Eric Gray (NYG)","6","7","1.2","0","15.4%","1","2","50.0%","13","13.0","0","28.6%","1","16","0.0","0.0","0.6%"
"117","Jeff Wilson Jr. (FA)","1","-1","-1.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","7","-0.1","0.0","1.0%"
"118","Terrell Jennings (NE)","1","-1","-1.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","2","-0.1","-0.1","0.1%"
"119","Aaron Shampklin (FA)","1","-2","-2.0","0","1.5%","0","0","0%","0","0","0","0.0%","0","3","-0.2","-0.1","1.1%"
"120","D'Onta Foreman (FA)","11","9","0.8","0","28.2%","0","0","0%","0","0","0","0.0%","1","10","-1.1","-0.1","2.7%"
""
""
