Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
56,Devin Duvernay (CHI),37,49,407,11.0,31,6,3,12,84,1,0,14,97.6,7.0,0.1%
57,Marvin Jones Jr. (FA),46,81,529,11.5,37,6,3,0,0,0,0,16,93.9,5.9,0.0%
58,Noah Brown (WAS),43,74,555,12.9,51,6,3,0,0,0,1,16,93.0,5.8,3.4%
59,Kalif Raymond (DET),47,64,616,13.1,56,10,0,7,36,0,1,17,92.7,5.5,1.1%
60,Alec Pierce (IND),41,78,593,14.5,47,8,2,0,0,0,0,16,91.8,5.7,20.8%
61,Chris Moore (WAS),48,74,548,11.4,52,9,2,3,3,0,0,15,91.1,6.1,0.0%
62,Olamide Zaccheaus (CHI),40,61,533,13.3,45,9,3,2,7,0,1,17,90.0,5.3,1.6%
63,DeAndre Carter (CLE),46,65,538,11.7,35,10,3,2,-15,0,2,17,89.3,5.3,0.1%
64,Robert Woods (PIT),53,91,527,9.9,41,3,2,0,0,0,1,17,89.2,5.2,1.3%
65,DeVante Parker (FA),31,47,539,17.4,43,10,3,0,0,0,0,13,87.4,6.7,0.0%
66,Greg Dortch (ARI),52,64,467,9.0,47,5,2,7,44,0,1,16,87.1,5.4,4.6%
67,Rashid Shaheed (NO),28,34,488,17.4,68,6,2,4,57,1,0,12,86.5,7.2,60.6%
68,Michael Gallup (WAS),39,74,424,10.9,27,4,4,0,0,0,0,14,85.9,6.1,0.6%
69,Josh Reynolds (NYJ),38,59,479,12.6,31,8,3,0,0,0,0,12,84.9,7.1,1.1%
70,DJ Chark Jr. (ATL),30,52,502,16.7,51,9,3,0,0,0,0,11,83.2,7.6,1.6%
71,Chase Claypool (FA),46,79,451,9.8,31,7,1,9,59,0,1,15,82.0,5.5,1.1%
72,Isaiah Hodgins (SF),37,48,392,10.6,29,4,4,0,0,0,1,9,81.7,9.1,0.0%
73,Corey Davis (FA),32,64,536,16.8,66,7,2,0,0,0,0,13,81.6,6.3,0.0%
74,Darnell Mooney (ATL),40,61,493,12.3,56,7,2,1,2,0,0,11,81.5,7.4,64.9%
75,Mecole Hardman Jr. (GB),25,34,297,11.9,36,5,4,4,31,2,0,8,81.3,10.2,1.0%
76,Romeo Doubs (GB),42,67,425,10.1,26,7,3,1,11,0,1,13,80.6,6.2,28.3%
77,Demarcus Robinson (SF),48,75,458,9.5,31,4,2,0,0,0,1,16,79.8,5.0,9.7%
78,Nico Collins (HOU),37,66,481,13.0,58,8,2,0,0,0,0,10,78.6,7.9,99.3%
