"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Taysom Hill (NO)","1","2","50.0%","20","20.0","1","10.0%","26","92","7","100.0%","1","16","72.8","4.6","19.2%"
"2","Travis Kelce (KC)","14","22","63.6%","100","7.1","10","95.7%","0","0","0","0%","0","15","70.2","4.7","95.9%"
"3","Jonnu Smith (PIT)","10","16","62.5%","60","6.0","8","57.1%","1","1","1","100.0%","0","15","60.1","4.0","72.5%"
"4","Jimmy Graham (FA)","12","19","63.2%","82","6.8","7","67.9%","0","0","0","0.0%","0","16","50.2","3.1","0.0%"
"5","Darren Waller (MIA)","18","23","78.3%","109","6.1","6","74.2%","0","0","0","0%","0","16","46.9","2.9","23.6%"
"6","Robert Tonyan (KC)","9","10","90.0%","64","7.1","6","58.8%","0","0","0","0%","0","16","42.4","2.7","0.0%"
"7","T.J. Hockenson (MIN)","9","17","52.9%","59","6.6","6","68.0%","0","0","0","0%","0","16","41.9","2.6","94.8%"
"8","Logan Thomas (FA)","14","16","87.5%","104","7.4","5","94.1%","1","2","0","100.0%","0","16","40.6","2.5","0.0%"
"9","Eric Ebron (FA)","10","19","52.6%","90","9.0","5","95.0%","0","0","0","0%","0","15","39.0","2.6","0.0%"
"10","Irv Smith Jr. (HOU)","8","12","66.7%","60","7.5","5","66.7%","0","0","0","0%","0","13","36.0","2.8","0.0%"
"11","Mike Gesicki (CIN)","6","14","42.9%","56","9.3","5","53.8%","0","0","0","0%","0","15","35.6","2.4","23.8%"
"12","Jared Cook (FA)","7","13","53.8%","74","10.6","5","65.0%","0","0","0","0.0%","1","15","35.4","2.4","0.0%"
"13","Trey Burton (FA)","6","9","66.7%","50","8.3","3","40.9%","2","3","2","100.0%","0","13","35.3","2.7","0.0%"
"14","Rob Gronkowski (FA)","6","16","37.5%","35","5.8","5","69.6%","0","0","0","0%","0","16","33.5","2.1","1.3%"
"15","Mark Andrews (BAL)","10","16","62.5%","73","7.3","4","84.2%","0","0","0","0%","0","14","31.3","2.2","93.7%"
"16","Jordan Reed (FA)","5","8","62.5%","45","9.0","4","50.0%","0","0","0","0.0%","0","10","28.5","2.9","19.0%"
"17","Hunter Henry (NE)","6","14","42.9%","27","4.5","4","73.7%","0","0","0","0%","0","14","26.7","1.9","51.2%"
"18","Tyler Higbee (LAR)","5","5","100.0%","19","3.8","4","55.6%","0","0","0","0.0%","0","15","25.9","1.7","16.5%"
"19","Noah Fant (CIN)","7","11","63.6%","69","9.9","3","47.8%","0","0","0","0%","0","15","24.9","1.7","16.9%"
"20","Dalton Schultz (HOU)","8","12","66.7%","61","7.6","3","80.0%","0","0","0","0.0%","0","16","24.1","1.5","15.6%"
"21","Jack Doyle (FA)","6","8","75.0%","54","9.0","3","36.4%","0","0","0","0.0%","0","14","23.4","1.7","2.0%"
"22","Jacob Hollister (FA)","6","9","66.7%","42","7.0","3","37.5%","0","0","0","0%","0","16","22.2","1.4","1.0%"
"23","Dawson Knox (BUF)","6","10","60.0%","38","6.3","3","55.6%","0","0","0","0%","0","12","21.8","1.8","5.6%"
"24","Tyler Kroft (FA)","5","5","100.0%","25","5.0","3","27.8%","0","0","0","0%","0","10","20.5","2.1","0.0%"
"25","Marcedes Lewis (FA)","3","4","75.0%","24","8.0","3","23.5%","0","0","0","0%","0","15","20.4","1.4","0.0%"
"26","Hayden Hurst (FA)","4","12","33.3%","21","5.3","3","92.3%","0","0","0","0%","0","16","20.1","1.3","1.3%"
"27","Harrison Bryant (PHI)","4","5","80.0%","21","5.3","3","29.4%","0","0","0","0%","0","15","20.1","1.3","0.0%"
"28","Austin Hooper (NE)","4","8","50.0%","18","4.5","3","47.1%","0","0","0","0%","0","13","19.8","1.5","4.7%"
"29","Adam Shaheen (FA)","3","6","50.0%","14","4.7","3","23.1%","0","0","0","0%","0","16","19.4","1.2","0.0%"
"30","Dan Arnold (FA)","4","5","80.0%","10","2.5","3","55.6%","0","0","0","0%","0","16","19.0","1.2","0.0%"
"31","Evan Engram (DEN)","5","13","38.5%","39","7.8","1","76.5%","3","5","1","100.0%","0","16","16.4","1.0","88.9%"
"32","Tyler Eifert (FA)","5","11","45.5%","34","6.8","2","78.6%","0","0","0","0%","0","15","15.4","1.0","0.0%"
"33","Dallas Goedert (PHI)","5","6","83.3%","32","6.4","2","35.3%","0","0","0","0%","0","11","15.2","1.4","78.4%"
"34","Gerald Everett (FA)","2","3","66.7%","28","14.0","1","33.3%","1","2","1","100.0%","0","16","15.0","0.9","1.4%"
"35","Will Dissly (LAC)","2","4","50.0%","29","14.5","2","16.7%","0","0","0","0%","0","16","14.9","0.9","4.9%"
"36","Jesse James (FA)","5","7","71.4%","28","5.6","2","28.0%","0","0","0","0%","0","16","14.8","0.9","0.0%"
"37","Nick Boyle (FA)","3","3","100.0%","23","7.7","2","15.8%","0","0","0","0%","0","9","14.3","1.6","0.0%"
"38","David Njoku (CLE)","2","3","66.7%","17","8.5","2","17.6%","0","0","0","0%","0","13","13.7","1.1","91.8%"
"39","Cole Kmet (CHI)","2","5","40.0%","20","10.0","2","17.9%","1","-3","0","100.0%","0","16","13.7","0.9","25.3%"
"40","Chris Herndon IV (FA)","2","4","50.0%","17","8.5","2","66.7%","0","0","0","0.0%","0","16","13.7","0.9","0.0%"
"41","Mo Alie-Cox (IND)","3","5","60.0%","16","5.3","2","22.7%","0","0","0","0.0%","0","15","13.6","0.9","0.6%"
"42","Jason Witten (FA)","4","7","57.1%","16","4.0","2","22.6%","0","0","0","0%","0","16","13.6","0.9","1.0%"
"43","Durham Smythe (CHI)","4","6","66.7%","13","3.3","2","23.1%","0","0","0","0%","0","15","13.3","0.9","0.6%"
"44","Cameron Brate (FA)","3","3","100.0%","11","3.7","2","13.0%","0","0","0","0%","0","16","13.1","0.8","2.0%"
"45","Darren Fells (FA)","2","4","50.0%","11","5.5","2","26.7%","0","0","0","0%","0","16","13.1","0.8","0.0%"
"46","Lee Smith (FA)","2","3","66.7%","5","2.5","2","16.7%","0","0","0","0%","0","10","12.5","1.3","0.0%"
"47","Jordan Akins (FA)","4","7","57.1%","42","10.5","1","46.7%","0","0","0","0%","0","13","10.2","0.8","1.0%"
"48","Greg Olsen (FA)","5","9","55.6%","40","8.0","1","37.5%","0","0","0","0%","0","11","10.0","0.9","7.0%"
