"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"49","Richard Rodgers (FA)","2","3","66.7%","37","18.5","1","17.6%","0","0","0","0%","0","14","9.7","0.7","0.0%"
"50","Drew Sample (CIN)","4","11","36.4%","35","8.8","1","78.6%","0","0","0","0%","0","16","9.5","0.6","0.6%"
"51","Geoff Swaim (FA)","3","3","100.0%","29","9.7","1","10.7%","0","0","0","0.0%","0","10","8.9","0.9","0.0%"
"52","Anthony Firkser (FA)","4","7","57.1%","26","6.5","1","25.0%","0","0","0","0.0%","0","16","8.6","0.5","0.0%"
"53","Zach Ertz (WAS)","4","6","66.7%","22","5.5","1","35.3%","0","0","0","0%","0","11","8.2","0.7","43.2%"
"54","Pharaoh Brown (MIA)","2","2","100.0%","22","11.0","1","13.3%","0","0","0","0%","0","13","8.2","0.6","0.1%"
"55","Albert Okwuegbunam Jr. (LV)","2","4","50.0%","20","10.0","1","17.4%","0","0","0","0%","0","4","8.0","2.0","0.0%"
"56","Tyler Conklin (LAC)","1","1","100.0%","20","20.0","1","5.6%","0","0","0","0%","0","16","8.0","0.5","8.0%"
"57","Adam Trautman (DEN)","3","3","100.0%","19","6.3","1","15.0%","0","0","0","0.0%","0","15","7.9","0.5","0.7%"
"58","Donald Parham Jr. (PIT)","1","5","20.0%","19","19.0","1","26.3%","0","0","0","0%","0","13","7.9","0.6","1.0%"
"59","Maxx Williams (FA)","3","3","100.0%","18","6.0","1","33.3%","0","0","0","0%","0","9","7.8","0.9","0.0%"
"60","Nick Vannett (MIN)","2","3","66.7%","17","8.5","1","13.0%","0","0","0","0%","0","15","7.7","0.5","0.0%"
"61","Ross Dwelley (SF)","2","3","66.7%","17","8.5","1","18.8%","0","0","0","0.0%","0","16","7.7","0.5","0.0%"
"62","Jace Sternberger (FA)","3","3","100.0%","16","5.3","1","17.6%","0","0","0","0%","0","12","7.6","0.6","0.0%"
"63","George Kittle (SF)","2","4","50.0%","7","3.5","1","25.0%","1","9","0","100.0%","0","8","7.6","1.0","98.2%"
"64","Ian Thomas (LV)","2","3","66.7%","13","6.5","1","75.0%","0","0","0","0%","0","16","7.3","0.5","0.0%"
"65","O.J. Howard (FA)","2","3","66.7%","12","6.0","1","13.0%","0","0","0","0%","0","4","7.2","1.8","0.0%"
"66","Kyle Rudolph (FA)","2","5","40.0%","9","4.5","1","27.8%","0","0","0","0%","0","12","6.9","0.6","1.0%"
"67","Colin Thompson (FA)","1","1","100.0%","7","7.0","1","25.0%","0","0","0","0%","0","15","6.7","0.4","0.0%"
"68","Jordan Thomas (FA)","1","1","100.0%","3","3.0","1","11.1%","0","0","0","0%","0","6","6.3","1.1","0.0%"
"69","Jason Croom (FA)","1","1","100.0%","3","3.0","1","5.9%","0","0","0","0%","0","4","6.3","1.6","0.0%"
"70","Josh Hill (FA)","1","1","100.0%","3","3.0","1","5.0%","0","0","0","0.0%","0","14","6.3","0.5","0.0%"
"71","MyCole Pruitt (FA)","1","2","50.0%","1","1.0","1","7.1%","0","0","0","0.0%","0","11","6.1","0.6","1.0%"
"72","Foster Moreau (NO)","1","1","100.0%","1","1.0","1","3.2%","0","0","0","0%","0","16","6.1","0.4","1.6%"
"73","James O'Shaughnessy (FA)","2","2","100.0%","19","9.5","0","14.3%","0","0","0","0%","0","15","1.9","0.1","0.0%"
"74","Charlie Woerner (ATL)","1","1","100.0%","18","18.0","0","6.3%","0","0","0","0.0%","0","14","1.8","0.1","0.1%"
"75","Blake Bell (FA)","2","3","66.7%","12","6.0","0","20.0%","1","2","0","100.0%","0","16","1.4","0.1","0.0%"
"76","Tanner Hudson (CIN)","1","1","100.0%","12","12.0","0","4.3%","0","0","0","0%","0","11","1.2","0.1","1.2%"
"77","Troy Fumagalli (FA)","2","4","50.0%","12","6.0","0","17.4%","0","0","0","0%","0","8","1.2","0.2","0.0%"
"78","Stephen Carlson (CHI)","1","1","100.0%","11","11.0","0","5.9%","0","0","0","0%","0","16","1.1","0.1","0.0%"
"79","Johnny Mundt (JAC)","1","1","100.0%","7","7.0","0","11.1%","0","0","0","0.0%","0","16","0.7","0.0","0.1%"
"80","Deon Yelder (FA)","1","1","100.0%","6","6.0","0","4.3%","0","0","0","0%","0","14","0.6","0.0","0.0%"
"81","Demetrius Harris (FA)","1","3","33.3%","6","6.0","0","10.7%","0","0","0","0.0%","0","15","0.6","0.0","0.0%"
"82","C.J. Uzomah (FA)","1","2","50.0%","6","6.0","0","14.3%","0","0","0","0%","0","2","0.6","0.3","0.0%"
"83","Colby Parkinson (LAR)","1","1","100.0%","6","6.0","0","4.2%","0","0","0","0%","0","6","0.6","0.1","4.4%"
"84","Trevon Wesco (FA)","1","1","100.0%","5","5.0","0","16.7%","1","0","0","100.0%","0","12","0.5","0.0","0.0%"
"85","Juwan Johnson (NO)","1","1","100.0%","5","5.0","0","5.0%","0","0","0","0.0%","0","7","0.5","0.1","17.6%"
"86","Vance McDonald (FA)","1","1","100.0%","3","3.0","0","5.0%","0","0","0","0%","0","14","0.3","0.0","0.0%"
"87","Kaden Smith (FA)","2","4","50.0%","3","1.5","0","23.5%","0","0","0","0.0%","0","15","0.3","0.0","0.0%"
"88","Marcus Baugh (FA)","1","1","100.0%","2","2.0","0","5.9%","0","0","0","0.0%","0","8","0.2","0.0","0.0%"
"89","Cethan Carter (FA)","1","1","100.0%","1","1.0","0","7.1%","0","0","0","0%","0","15","0.1","0.0","0.0%"
"90","Jake Butt (FA)","1","1","100.0%","0","0.0","0","4.3%","0","0","0","0%","0","5","0.0","0.0","0.1%"
"91","Ben Ellefson (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","7","0.0","0.0","0.0%"
"92","Devin Asiasi (FA)","0","1","0.0%","0","0","0","8.3%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"93","Darrell Daniels (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","12","0.0","0.0","0.0%"
"94","Kahale Warring (FA)","0","2","0.0%","0","0","0","13.3%","0","0","0","0%","0","7","0.0","0.0","0.0%"
"95","Luke Stocker (FA)","0","1","0.0%","0","0","0","7.7%","0","0","0","0%","0","16","0.0","0.0","1.2%"
"96","J.P. Holtz (FA)","0","1","0.0%","0","0","0","3.6%","0","0","0","0.0%","0","16","0.0","0.0","0.0%"
"97","Isaac Nauta (FA)","0","1","0.0%","0","0","0","4.0%","0","0","0","0%","0","7","0.0","0.0","0.0%"
"98","Ryan Izzo (FA)","0","1","0.0%","0","0","0","8.3%","0","0","0","0%","0","12","0.0","0.0","0.0%"
"99","Luke Willson (FA)","0","1","0.0%","0","0","0","4.2%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"100","Tyler Davis (FA)","0","1","0.0%","0","0","0","7.1%","0","0","0","0%","0","8","0.0","0.0","0.0%"
""
""
