"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Christian McCaffrey (SF)","16","287","1,387","4.8","874","3.0","513","1.8","16","27","-51","84","31","6","5","4","3","84","116","142","14","235"
"2","Derrick Henry (BAL)","15","303","1,540","5.1","572","1.9","968","3.2","29","32","-53","74","42","9","5","3","3","74","18","24","1","43"
"3","Aaron Jones Sr. (MIN)","16","236","1,084","4.6","569","2.4","515","2.2","32","19","-50","56","25","5","2","2","1","56","49","68","12","119"
"4","Ezekiel Elliott (FA)","16","301","1,357","4.5","678","2.3","679","2.3","24","19","-41","33","38","4","3","0","0","33","54","71","11","92"
"5","Dalvin Cook (FA)","14","250","1,135","4.5","539","2.2","596","2.4","20","19","-35","75","25","7","2","2","1","75","53","63","2","206"
"6","Nick Chubb (HOU)","16","298","1,494","5.0","612","2.1","882","3.0","32","31","-72","88","39","11","6","4","3","88","36","49","4","90"
"7","Austin Ekeler (WAS)","16","132","557","4.2","233","1.8","324","2.5","12","12","-19","7","15","4","1","0","0","35","92","108","13","214"
"8","Mark Ingram II (FA)","15","202","1,018","5.0","494","2.4","524","2.6","18","18","-32","19","21","6","2","2","1","53","26","29","6","67"
"9","Chris Carson (FA)","15","278","1,230","4.4","496","1.8","734","2.6","28","31","-62","16","32","8","1","1","1","59","37","47","2","82"
"10","Saquon Barkley (PHI)","13","217","1,003","4.6","398","1.8","605","2.8","16","29","-74","68","27","8","4","3","3","68","52","73","7","117"
"11","Joe Mixon (HOU)","16","278","1,137","4.1","492","1.8","645","2.3","24","30","-56","5","29","6","2","1","0","41","35","45","7","88"
"12","Todd Gurley II (FA)","15","223","857","3.8","483","2.2","374","1.7","21","27","-64","13","21","5","0","0","0","25","31","49","4","44"
"13","Leonard Fournette (FA)","15","265","1,152","4.3","360","1.4","792","3.0","16","26","-68","1","31","7","4","4","3","81","76","100","9","179"
"14","Josh Jacobs (GB)","13","242","1,150","4.8","467","1.9","683","2.8","26","16","-36","18","25","8","3","2","1","51","20","27","2","65"
"15","Miles Sanders (DAL)","16","179","818","4.6","445","2.5","373","2.1","16","19","-40","65","16","5","4","2","2","65","50","63","10","68"
"16","Alvin Kamara (NO)","14","171","797","4.7","396","2.3","401","2.3","29","14","-36","40","19","5","2","1","0","40","81","97","11","152"
"17","Marlon Mack (FA)","14","247","1,091","4.4","591","2.4","500","2.0","12","32","-83","63","28","9","3","1","1","63","14","17","1","17"
"18","Kenyan Drake (FA)","14","170","817","4.8","479","2.8","338","2.0","12","17","-27","80","22","4","2","1","1","80","50","68","5","80"
"19","Phillip Lindsay (FA)","16","224","1,011","4.5","603","2.7","408","1.8","29","20","-39","30","22","7","4","1","0","40","35","48","5","75"
"20","Raheem Mostert (LV)","16","137","772","5.6","475","3.5","297","2.2","12","8","-17","41","23","3","2","2","0","41","14","22","3","46"
"21","Le'Veon Bell (FA)","15","245","789","3.2","287","1.2","502","2.0","16","22","-58","2","12","0","0","0","0","19","66","78","9","152"
"22","David Montgomery (DET)","16","242","889","3.7","496","2.0","393","1.6","28","13","-21","14","16","3","1","1","1","55","25","35","2","42"
"23","Carlos Hyde (FA)","16","245","1,070","4.4","525","2.1","545","2.2","22","21","-58","41","23","8","4","3","1","58","10","16","4","31"
"24","Sony Michel (FA)","16","247","912","3.7","521","2.1","391","1.6","16","26","-67","14","23","3","0","0","0","26","12","20","3","31"
"25","Melvin Gordon III (FA)","12","162","612","3.8","312","1.9","300","1.9","8","12","-21","19","14","2","0","0","0","24","42","55","5","102"
"26","Devonta Freeman (FA)","14","184","656","3.6","363","2.0","293","1.6","11","26","-54","17","15","3","0","0","0","28","59","70","10","73"
"27","Ronald Jones II (FA)","16","172","724","4.2","309","1.8","415","2.4","23","22","-42","8","20","6","2","1","0","49","31","40","0","61"
"28","Adrian Peterson (FA)","16","211","898","4.3","374","1.8","524","2.5","7","20","-37","12","25","6","1","0","0","32","17","23","2","50"
"29","James White (FA)","15","67","263","3.9","165","2.5","98","1.5","3","9","-17","1","4","1","1","0","0","32","72","95","19","97"
"30","Latavius Murray (FA)","16","146","637","4.4","390","2.7","247","1.7","11","10","-24","30","15","3","1","0","0","30","34","43","8","99"
"31","Devin Singletary (NYG)","12","151","775","5.1","413","2.7","362","2.4","20","15","-30","14","25","7","1","0","0","38","29","41","5","64"
"32","Tevin Coleman (FA)","14","137","544","4.0","354","2.6","190","1.4","5","17","-30","48","13","4","2","1","0","48","21","30","8","20"
"33","James Conner (ARI)","10","116","464","4.0","199","1.7","265","2.3","5","13","-21","12","16","2","0","0","0","25","34","38","5","114"
"34","Damien Williams (FA)","11","111","498","4.5","141","1.3","357","3.2","15","11","-31","91","6","2","2","2","2","91","30","37","7","67"
"35","Duke Johnson Jr. (FA)","16","83","410","4.9","175","2.1","235","2.8","8","6","-14","1","11","3","2","1","0","40","44","62","9","120"
"36","Jamaal Williams (FA)","14","107","456","4.3","270","2.5","190","1.8","5","9","-20","1","10","1","1","1","0","45","39","45","8","82"
"37","David Johnson (FA)","13","94","345","3.7","175","1.9","170","1.8","6","5","-9","1","8","0","0","0","0","18","36","47","6","62"
"38","Jordan Howard (FA)","10","119","525","4.4","243","2.0","282","2.4","4","9","-17","13","17","1","0","0","0","20","10","14","1","15"
