"Rank","Player","G","COMP","ATT","PCT","YDS","Y/A","AIR","AIR/A","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","PKT TIME","SACK","KNCK","HRRY","BLITZ","POOR","DROP","RZ ATT","RTG"
"1","Josh Allen (BUF)","17","409","646","63%","4,407","6.8","2,900","4.5","181","51","16","8","3","2.4","26","63","96","182","108","35","123","92"
"2","Justin Herbert (LAC)","17","443","672","66%","5,014","7.5","2,867","4.3","208","52","22","15","3","2.4","31","62","50","154","95","38","104","99"
"3","Tom Brady (FA)","17","485","719","68%","5,316","7.4","3,079","4.3","205","75","23","10","4","2.3","22","30","30","177","135","32","120","102"
"4","Patrick Mahomes II (KC)","17","436","658","66%","4,828","7.3","2,480","3.8","192","58","21","11","4","2.4","28","58","76","112","116","31","100","100"
"5","Matthew Stafford (LAR)","17","404","601","67%","4,886","8.1","2,987","5.0","174","65","28","18","10","2.4","30","42","32","138","111","31","112","105"
"6","Aaron Rodgers (PIT)","16","366","531","69%","4,115","7.7","2,157","4.1","163","55","23","10","5","2.3","30","40","59","134","92","14","110","113"
"7","Dak Prescott (DAL)","16","410","596","69%","4,449","7.5","2,638","4.4","184","55","20","7","1","2.4","30","48","46","188","85","29","97","105"
"8","Joe Burrow (CIN)","16","366","520","70%","4,611","8.9","2,521","4.8","180","60","27","15","12","2.4","51","49","46","125","54","23","54","107"
"9","Jalen Hurts (PHI)","15","265","432","61%","3,144","7.3","1,912","4.4","130","44","12","5","2","2.6","26","32","78","125","57","22","54","87"
"10","Kyler Murray (ARI)","14","333","481","69%","3,787","7.8","2,290","4.7","146","49","23","9","2","2.4","31","13","68","108","61","16","72","103"
"11","Kirk Cousins (ATL)","16","372","561","66%","4,221","7.5","2,677","4.8","160","60","20","10","4","2.4","28","65","70","169","92","22","71","102"
"12","Ryan Tannehill (FA)","17","357","531","67%","3,734","7.0","2,195","4.1","169","35","10","7","3","2.3","47","66","32","166","83","23","79","92"
"13","Derek Carr (FA)","17","428","626","68%","4,804","7.7","2,806","4.5","187","67","26","10","5","2.5","40","48","63","166","93","26","76","94"
"14","Carson Wentz (FA)","17","322","516","62%","3,563","6.9","2,145","4.2","137","42","18","9","5","2.5","32","72","46","156","93","25","67","95"
"15","Lamar Jackson (BAL)","12","246","382","64%","2,882","7.5","1,828","4.8","112","41","13","5","0","2.5","38","28","39","152","72","19","47","85"
"16","Russell Wilson (NYG)","14","259","400","65%","3,113","7.8","1,927","4.8","113","45","19","10","7","2.4","33","41","49","113","72","16","45","104"
"17","Jimmy Garoppolo (LAR)","15","301","441","68%","3,810","8.8","2,030","4.6","154","55","20","9","5","2.4","29","36","24","100","56","23","55","101"
"18","Mac Jones (SF)","17","352","521","68%","3,801","7.3","2,239","4.3","152","52","13","6","1","2.4","28","47","29","181","88","16","71","94"
"19","Taylor Heinicke (LAC)","16","321","494","65%","3,419","6.9","1,911","3.9","146","40","16","6","2","2.6","38","45","56","145","80","19","48","86"
"20","Matt Ryan (FA)","17","375","560","67%","3,968","7.1","2,457","4.4","156","44","15","7","2","2.4","40","85","48","166","79","21","83","88"
"21","Ben Roethlisberger (FA)","16","390","605","64%","3,740","6.2","2,033","3.4","144","39","16","9","4","2.2","38","39","45","144","109","30","87","89"
"22","Trevor Lawrence (JAC)","17","359","602","60%","3,641","6.0","2,240","3.7","144","43","8","5","2","2.4","32","51","68","146","118","33","56","73"
"23","Teddy Bridgewater (FA)","14","285","426","67%","3,052","7.1","1,801","4.2","125","33","15","5","2","2.5","31","41","65","118","68","13","53","95"
"24","Jared Goff (DET)","14","332","494","67%","3,245","6.5","1,718","3.5","121","38","11","3","1","2.4","35","48","50","111","77","21","55","93"
"25","Baker Mayfield (TB)","14","253","418","61%","3,010","7.1","1,791","4.3","114","41","16","8","3","2.4","43","18","52","123","82","20","44","85"
"26","Tua Tagovailoa (MIA)","13","263","388","68%","2,653","6.8","1,589","4.1","98","30","11","6","3","2.2","20","24","43","101","61","17","52","86"
"27","Daniel Jones (IND)","11","232","361","64%","2,428","6.6","1,517","4.2","100","23","9","4","2","2.5","22","35","38","120","63","19","42","86"
"28","Sam Darnold (SEA)","12","243","406","60%","2,527","6.2","1,322","3.2","99","30","8","4","3","2.5","35","39","60","130","71","26","41","71"
"29","Davis Mills (HOU)","13","263","394","67%","2,664","6.8","1,608","4.1","102","31","14","5","1","2.3","31","30","30","120","64","11","27","88"
"30","Zach Wilson (MIA)","13","213","383","56%","2,334","6.1","1,405","3.7","99","32","8","5","2","2.5","44","27","71","128","86","26","41","71"
"31","Justin Fields (NYJ)","12","159","270","59%","1,870","6.9","1,255","4.6","81","28","6","4","3","2.5","36","30","30","96","57","18","31","71"
"32","Jameis Winston (NYG)","7","95","161","59%","1,170","7.3","672","4.2","48","11","6","4","3","2.6","11","18","18","68","33","10","21","98"
"33","Andy Dalton (CAR)","8","149","236","63%","1,515","6.4","867","3.7","68","11","5","3","2","2.3","18","13","23","92","39","9","22","85"
"34","Trevor Siemian (FA)","6","108","188","57%","1,154","6.1","734","3.9","49","15","3","1","0","2.5","9","16","20","47","26","7","35","90"
"35","Cam Newton (FA)","8","69","126","55%","684","5.4","405","3.2","25","5","1","1","1","2.2","10","10","15","59","28","6","7","51"
"36","Tyrod Taylor (NYJ)","6","91","150","61%","966","6.4","530","3.5","37","13","5","3","1","2.3","13","15","19","60","32","5","23","79"
"37","Tyler Huntley (FA)","7","122","188","65%","1,081","5.8","686","3.6","43","11","5","1","0","2.3","18","11","22","62","34","4","24","62"
"38","Jacoby Brissett (ARI)","11","141","225","63%","1,283","5.7","843","3.7","49","15","3","2","1","2.4","19","25","26","62","35","17","22","54"
"39","Trey Lance (LAC)","6","41","71","58%","603","8.5","343","4.8","25","8","3","3","1","2.5","4","7","8","21","13","3","7","70"
"40","Geno Smith (LV)","4","65","95","68%","702","7.4","400","4.2","25","11","2","2","1","2.5","13","6","12","38","13","0","10","100"
"41","Drew Lock (SEA)","6","67","111","60%","787","7.1","495","4.5","28","13","6","2","0","2.5","9","8","14","29","24","7","9","76"
"42","Mike White (BUF)","4","88","132","67%","953","7.2","463","3.5","43","11","0","0","0","2.4","4","14","8","29","19","5","9","82"
"43","Josh Johnson (WAS)","4","57","85","67%","638","7.2","385","4.5","34","5","0","0","0","2.4","3","8","6","8","16","3","14","66"
"44","Colt McCoy (FA)","8","74","99","75%","740","7.5","372","3.8","29","11","3","2","1","2.1","6","10","10","29","11","5","10","46"
"45","Mike Glennon (FA)","6","90","167","54%","790","4.7","464","2.8","32","5","2","1","1","2.5","9","19","12","41","21","11","14","48"
"46","Gardner Minshew II (KC)","3","41","60","68%","439","7.3","209","3.5","19","7","2","0","0","2.5","5","5","8","19","7","5","6","101"
"47","Tim Boyle (TEN)","4","61","94","65%","526","5.6","319","3.4","19","8","2","1","0","2.3","0","10","5","15","20","3","12","45"
"48","Case Keenum (CHI)","5","47","72","65%","462","6.4","207","2.9","18","4","1","0","0","2.3","5","8","6","18","13","3","12","64"
"49","Cooper Rush (BAL)","4","30","47","64%","422","9.0","220","4.7","13","5","3","2","2","2.3","3","3","0","15","9","2","4","110"
"50","Jordan Love (GB)","6","36","62","58%","411","6.6","195","3.1","16","6","3","1","1","2.3","3","7","9","29","15","2","7","50"
"51","Joe Flacco (CLE)","2","27","42","64%","338","8.0","167","4.0","11","6","1","1","1","2.1","2","6","4","24","6","1","7","130"
"52","Mason Rudolph (PIT)","2","35","58","60%","277","4.8","174","3.0","10","2","1","0","0","2.0","0","1","0","15","9","3","11","72"
"53","Nick Foles (FA)","1","24","35","69%","250","7.1","111","3.2","14","1","1","0","0","2.7","4","1","4","5","4","1","6","99"
"54","P.J. Walker (FA)","5","36","66","55%","362","5.5","249","3.8","18","1","0","0","0","2.5","7","9","7","15","20","2","6","51"
"55","Marcus Mariota (WAS)","7","1","2","50%","4","2.0","0","0.0","0","0","0","0","0","2.3","0","0","0","0","0","0","1","18"
"56","Jake Fromm (FA)","3","27","60","45%","210","3.5","137","2.3","5","2","1","0","0","2.2","6","7","5","21","19","3","5","44"
"57","Brandon Allen (TEN)","5","17","34","50%","149","4.4","52","1.5","4","2","0","0","0","2.2","4","2","1","7","9","2","6","69"
"58","Sean Mannion (FA)","1","22","36","61%","189","5.3","113","3.1","9","2","1","0","0","2.4","2","2","5","6","7","1","1","84"
"59","Brian Hoyer (FA)","5","9","11","82%","227","20.6","85","7.7","7","6","2","2","0","2.2","0","0","0","4","0","0","2","78"
"60","Nick Mullens (JAC)","1","20","30","67%","147","4.9","87","2.9","5","1","0","0","0","2.3","0","4","5","6","2","2","3","89"
"61","Mitchell Trubisky (BUF)","5","6","8","75%","43","5.4","26","3.3","1","0","0","0","0","2.1","0","0","0","1","1","1","0","65"
"62","Kyle Allen (DET)","2","12","19","63%","120","6.3","76","4.0","5","0","0","0","0","2.3","2","1","2","4","2","2","2","96"
"63","Garrett Gilbert (FA)","1","20","31","65%","194","6.3","114","3.7","6","2","1","1","0","2.5","2","5","2","10","6","1","3","82"
"64","Ian Book (FA)","1","12","20","60%","135","6.8","61","3.1","5","1","1","1","1","2.9","8","4","5","15","3","2","0","41"
"65","Chad Henne (FA)","4","11","16","69%","82","5.1","59","3.7","1","0","0","0","0","2.2","0","2","1","3","3","1","1","20"
"66","Chris Streveler (FA)","2","6","9","67%","36","4.0","19","2.1","1","0","0","0","0","2.5","2","0","1","0","2","0","1","37"
"67","Blaine Gabbert (FA)","6","7","11","64%","67","6.1","39","3.5","3","1","0","0","0","2.0","1","0","1","3","2","0","1","61"
"68","C.J. Beathard (FA)","2","2","2","100%","33","16.5","28","14.0","1","1","0","0","0","2.2","0","0","1","1","0","0","0","59"
"69","Sam Ehlinger (DEN)","3","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"70","Ryan Fitzpatrick (FA)","1","3","6","50%","13","2.2","7","1.2","0","0","0","0","0","1.8","1","2","1","0","1","1","0","56"
"71","David Blough (FA)","1","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","2.3","1","0","0","0","0","0","0","0"
"72","Kellen Mond (FA)","2","2","3","67%","5","1.7","0","0.0","0","0","0","0","0","1.8","0","1","0","2","1","0","0","35"
"73","Nathan Peterman (FA)","1","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"74","Brett Rypien (MIN)","1","0","2","0%","0","0.0","0","0.0","0","0","0","0","0","2.5","0","0","0","1","1","0","0","40"
"75","Trace McSorley (FA)","1","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"76","Jacob Eason (FA)","1","2","5","40%","25","4.0","18","3.6","2","0","0","0","0","2.8","0","1","0","0","1","1","0","17"
"77","Kurt Benkert (FA)","1","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"78","Chase Daniel (FA)","1","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"79","Davis Webb (FA)","1","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"80","Feleipe Franks (ATL)","6","0","1","0%","0","0.0","0","0.0","0","0","0","0","0","1.7","0","0","0","0","0","0","0","0"
"81","Logan Woodside (FA)","4","0","0","0%","0","0.0","0","0.0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0"
"82","John Wolford (JAC)","2","1","4","25%","5","1.3","0","0.0","0","0","0","0","0","2.2","1","0","0","0","1","0","0","28"
"83","Josh Rosen (FA)","3","2","11","18%","19","1.7","8","0.7","1","0","0","0","0","2.7","0","0","3","3","4","2","0","14"
""
""
