Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,CeeDee Lamb (DAL),135,181,1749,13.0,92,29,12,14,113,2,2,17,335.7,19.7,98.7%
2,Tyreek Hill (MIA),119,171,1799,15.1,78,29,13,6,15,0,1,16,316.9,19.8,97.6%
3,Amon-Ra St. Brown (DET),119,164,1515,12.7,70,24,10,4,24,0,1,16,271.4,17.0,99.5%
4,Puka Nacua (LAR),105,160,1486,14.2,80,25,6,12,89,0,0,17,246.0,14.5,98.9%
5,Mike Evans (TB),79,136,1255,15.9,75,20,13,0,0,0,0,17,243.0,14.3,97.3%
6,DJ Moore (CHI),96,136,1364,14.2,58,25,8,4,21,1,1,17,238.5,14.0,94.3%
7,A.J. Brown (PHI),106,158,1456,13.7,59,21,7,0,0,0,2,17,236.6,13.9,99.0%
8,Keenan Allen (LAC),108,150,1243,11.5,42,19,7,2,6,0,1,13,224.9,17.3,21.1%
9,Nico Collins (HOU),80,109,1297,16.2,75,25,8,1,7,0,0,15,220.4,14.7,99.3%
10,Stefon Diggs (NE),107,160,1183,11.1,55,10,8,1,5,0,1,17,220.3,13.0,84.6%
11,Davante Adams (LAR),103,175,1144,11.1,46,13,8,0,0,0,0,17,213.9,12.6,96.5%
12,Deebo Samuel Sr. (WAS),60,89,892,14.9,54,15,7,37,225,5,0,15,213.7,14.2,86.5%
13,Ja'Marr Chase (CIN),100,145,1216,12.2,76,14,7,3,-6,0,0,16,212.7,13.3,99.4%
14,Brandon Aiyuk (SF),75,105,1342,17.9,76,28,7,0,0,0,1,16,211.7,13.2,63.7%
15,Michael Pittman Jr. (IND),109,156,1152,10.6,75,10,4,0,0,0,1,16,195.7,12.2,70.2%
16,DK Metcalf (PIT),66,119,1114,16.9,73,19,8,0,0,0,0,16,192.4,12.0,95.9%
