"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Sam LaPorta (DET)","17","86","889","10.3","531","6.2","851","9.9","358","4.2","120","1.4","9","120","20.9%","91","5","15","35","8","5","2","0","48"
"2","George Kittle (SF)","16","65","1,020","15.7","537","8.3","852","13.1","483","7.4","154","2.4","5","90","19.1%","71","4","12","40","18","8","3","2","66"
"3","Travis Kelce (KC)","15","93","984","10.6","514","5.5","807","8.7","470","5.1","95","1.0","4","121","20.2%","101","7","19","39","12","2","2","1","53"
"4","T.J. Hockenson (MIN)","15","95","960","10.1","624","6.6","976","10.3","336","3.5","115","1.2","4","127","21.0%","99","4","10","40","13","0","0","0","29"
"5","David Njoku (CLE)","16","81","882","10.9","283","3.5","551","6.8","599","7.4","271","3.3","10","123","20.6%","93","11","17","29","12","7","2","0","43"
"6","Evan Engram (DEN)","17","114","963","8.4","447","3.9","716","6.3","516","4.5","154","1.4","5","143","23.6%","122","7","9","40","9","1","0","0","34"
"7","Taysom Hill (NO)","16","33","291","8.8","158","4.8","209","6.3","133","4.0","42","1.3","3","40","6.9%","35","1","4","10","2","1","0","0","36"
"8","Cole Kmet (CHI)","17","73","719","9.8","429","5.9","547","7.5","290","4.0","101","1.4","4","90","18.9%","75","1","15","25","9","2","2","1","53"
"9","Jake Ferguson (DAL)","17","71","761","10.7","336","4.7","521","7.3","425","6.0","169","2.4","6","102","16.9%","77","5","23","36","8","3","1","0","40"
"10","Trey McBride (ARI)","17","81","825","10.2","405","5.0","652","8.0","420","5.2","137","1.7","10","106","19.6%","84","3","11","35","9","2","0","0","38"
"11","Dalton Schultz (HOU)","15","59","635","10.8","376","6.4","649","11.0","259","4.4","100","1.7","8","88","15.5%","62","3","13","26","7","1","0","0","31"
"12","Mark Andrews (BAL)","10","45","544","12.1","327","7.3","443","9.8","217","4.8","92","2.0","4","61","12.8%","50","3","14","23","8","3","0","0","38"
"13","Kyle Pitts Sr. (ATL)","17","53","667","12.6","533","10.1","1,029","19.4","134","2.5","30","0.6","0","90","17.7%","57","4","5","32","7","3","0","0","39"
"14","Hunter Henry (NE)","14","42","419","10.0","341","8.1","524","12.5","78","1.9","35","0.8","2","61","11.3%","45","3","6","16","2","0","0","0","24"
"15","Dalton Kincaid (BUF)","16","73","673","9.2","358","4.9","538","7.4","315","4.3","66","0.9","3","91","16.7%","78","4","9","23","5","1","1","1","51"
"16","Dallas Goedert (PHI)","14","59","592","10.0","273","4.6","449","7.6","319","5.4","101","1.7","2","83","15.8%","61","2","10","24","6","1","1","0","49"
"17","Jonnu Smith (PIT)","17","50","582","11.6","225","4.5","459","9.2","357","7.1","118","2.4","6","70","13.8%","54","4","9","25","4","3","2","2","60"
"18","Logan Thomas (FA)","16","55","496","9.0","267","4.9","477","8.7","229","4.2","58","1.1","1","78","13.0%","57","2","9","17","3","0","0","0","29"
"19","Isaiah Likely (BAL)","17","30","411","13.7","195","6.5","249","8.3","216","7.2","106","3.5","6","40","8.4%","33","3","7","16","6","3","1","1","54"
"20","Cade Otton (TB)","17","47","455","9.7","232","4.9","452","9.6","223","4.7","53","1.1","4","67","12.2%","50","3","10","15","6","0","0","0","27"
"21","Tyler Conklin (LAC)","17","61","621","10.2","375","6.1","595","9.8","246","4.0","83","1.4","2","87","15.5%","63","2","9","21","7","2","0","0","37"
"22","Tyler Higbee (LAR)","15","47","495","10.5","249","5.3","406","8.6","246","5.2","56","1.2","2","70","12.6%","55","7","5","20","6","2","0","0","33"
"23","Darren Waller (MIA)","12","52","552","10.6","341","6.6","592","11.4","211","4.1","45","0.9","0","74","15.3%","55","3","4","21","8","0","0","0","29"
