"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"24","Juwan Johnson (NO)","13","37","368","9.9","223","6.0","437","11.8","145","3.9","36","1.0","3","59","10.2%","40","3","7","14","7","1","0","0","32"
"25","Gerald Everett (FA)","15","51","411","8.1","136","2.7","282","5.5","275","5.4","119","2.3","9","70","11.4%","53","2","10","16","4","1","0","0","31"
"26","Chig Okonkwo (TEN)","17","54","528","9.8","268","5.0","529","9.8","260","4.8","76","1.4","5","77","16.1%","61","6","6","25","6","1","0","0","39"
"27","Donald Parham Jr. (PIT)","14","27","285","10.6","159","5.9","306","11.3","126","4.7","67","2.5","1","41","6.7%","30","3","10","15","2","0","0","0","24"
"28","Tucker Kraft (GB)","17","31","355","11.5","123","4.0","156","5.0","232","7.5","97","3.1","4","40","7.1%","31","0","7","10","5","2","1","0","43"
"29","Pat Freiermuth (PIT)","12","32","308","9.6","163","5.1","310","9.7","145","4.5","76","2.4","2","47","9.7%","33","0","6","11","3","0","0","0","29"
"30","Michael Mayer (LV)","14","27","304","11.3","140","5.2","227","8.4","164","6.1","64","2.4","3","40","7.5%","28","1","7","15","2","1","0","0","32"
"31","Kylen Granson (PHI)","15","30","368","12.3","240","8.0","402","13.4","128","4.3","26","0.9","0","50","9.2%","33","3","5","14","5","2","2","0","46"
"32","Noah Gray (KC)","17","28","305","10.9","165","5.9","280","10.0","140","5.0","56","2.0","4","41","6.8%","30","1","3","12","4","2","0","0","34"
"33","Noah Fant (CIN)","17","32","414","12.9","237","7.4","298","9.3","177","5.5","56","1.8","1","43","7.9%","33","1","2","15","7","2","1","1","51"
"34","Luke Musgrave (GB)","11","34","352","10.4","183","5.4","344","10.1","169","5.0","28","0.8","0","46","8.2%","37","3","5","12","5","2","0","0","37"
"35","Tanner Hudson (CIN)","12","39","352","9.0","204","5.2","269","6.9","148","3.8","37","0.9","2","50","8.4%","40","1","3","15","3","0","0","0","26"
"36","Adam Trautman (DEN)","17","22","204","9.3","106","4.8","226","10.3","98","4.5","21","1.0","2","35","7.3%","22","0","13","7","2","0","0","0","24"
"37","Tommy Tremble (CAR)","16","23","194","8.4","99","4.3","204","8.9","95","4.1","40","1.7","3","32","6.0%","23","0","4","8","2","1","0","0","30"
"38","Colby Parkinson (LAR)","15","25","247","9.9","161","6.4","222","8.9","86","3.4","14","0.6","1","34","6.2%","27","2","8","8","5","0","0","0","27"
"39","Durham Smythe (CHI)","13","35","366","10.5","227","6.5","284","8.1","139","4.0","27","0.8","0","43","7.8%","37","1","4","16","3","0","0","0","22"
"40","Mike Gesicki (CIN)","15","29","244","8.4","148","5.1","375","12.9","96","3.3","12","0.4","0","45","8.3%","29","0","6","11","0","0","0","0","18"
"41","Mo Alie-Cox (IND)","17","13","161","12.4","81","6.2","222","17.1","80","6.2","24","1.8","1","22","4.0%","14","1","3","8","2","2","0","0","35"
"42","Brevin Jordan (HOU)","13","17","219","12.9","95","5.6","115","6.8","124","7.3","19","1.1","1","21","3.7%","18","1","2","10","3","0","0","0","27"
"43","Dawson Knox (BUF)","12","22","186","8.5","90","4.1","253","11.5","96","4.4","24","1.1","1","36","6.6%","26","4","8","11","0","0","0","0","17"
"44","Josh Oliver (MIN)","17","22","213","9.7","51","2.3","72","3.3","162","7.4","36","1.6","1","28","4.6%","22","0","5","11","3","1","0","0","33"
"45","Drew Sample (CIN)","17","22","163","7.4","-10","-0.5","29","1.3","173","7.9","29","1.3","1","27","4.6%","23","1","3","7","1","0","0","0","22"
"46","Jimmy Graham (FA)","6","6","39","6.5","36","6.0","42","7.0","3","0.5","1","0.2","0","7","1.2%","7","1","5","1","0","0","0","0","12"
"47","Andrew Beck (NYJ)","13","11","55","5.0","18","1.6","22","2.0","37","3.4","7","0.6","1","13","2.3%","11","0","4","1","1","0","0","0","26"
"48","Drew Ogletree (IND)","12","9","147","16.3","117","13.0","209","23.2","30","3.3","12","1.3","1","21","3.8%","10","1","2","7","4","1","0","0","33"
"49","Daniel Bellinger (NYG)","17","25","255","10.2","121","4.8","130","5.2","134","5.4","59","2.4","2","28","5.8%","26","1","0","7","4","0","0","0","26"
"50","Foster Moreau (NO)","15","21","193","9.2","97","4.6","122","5.8","96","4.6","21","1.0","1","25","4.3%","22","1","4","8","1","0","0","0","23"
"51","Harrison Bryant (PHI)","15","13","81","6.2","46","3.5","81","6.2","35","2.7","11","0.8","1","20","3.4%","15","2","5","1","1","0","0","0","23"
"52","Pharaoh Brown (MIA)","11","13","208","16.0","87","6.7","104","8.0","121","9.3","45","3.5","2","15","2.8%","13","0","0","7","5","1","1","1","58"
"53","Zach Ertz (WAS)","7","27","187","6.9","141","5.2","332","12.3","46","1.7","5","0.2","0","43","8.0%","29","2","7","7","0","0","0","0","17"
"54","Hayden Hurst (FA)","10","18","184","10.2","117","6.5","242","13.4","67","3.7","15","0.8","1","32","6.0%","20","2","3","5","1","1","1","0","48"
"55","Austin Hooper (NE)","16","25","234","9.4","92","3.7","130","5.2","142","5.7","50","2.0","2","31","5.8%","26","1","3","10","2","0","0","0","21"
"56","Will Dissly (LAC)","13","17","172","10.1","52","3.1","62","3.6","120","7.1","44","2.6","3","22","4.0%","18","1","2","7","2","0","0","0","21"
"57","Johnny Mundt (JAC)","11","17","172","10.1","78","4.6","114","6.7","94","5.5","27","1.6","1","23","3.8%","18","0","4","7","2","1","0","0","32"
"58","Elijah Higgins (ARI)","11","14","163","11.6","96","6.9","128","9.1","67","4.8","17","1.2","0","19","3.5%","15","2","2","7","3","0","0","0","26"
"59","Stone Smartt (NYJ)","12","11","155","14.1","99","9.0","180","16.4","56","5.1","40","3.6","1","21","3.4%","12","1","2","4","3","1","1","1","51"
"60","Will Mallory (IND)","12","18","207","11.5","118","6.6","203","11.3","89","4.9","23","1.3","0","26","4.8%","18","0","1","9","1","1","1","0","43"
"61","Luke Schoonmaker (DAL)","17","8","65","8.1","38","4.8","81","10.1","27","3.4","13","1.6","1","15","2.5%","11","3","5","4","0","0","0","0","18"
"62","MyCole Pruitt (FA)","11","9","110","12.2","59","6.6","62","6.9","51","5.7","19","2.1","1","12","2.4%","9","0","3","6","2","0","0","0","22"
"63","Connor Heyward (PIT)","17","23","167","7.3","73","3.2","175","7.6","94","4.1","21","0.9","1","34","7.0%","25","2","3","9","0","0","0","0","13"
"64","Lucas Krull (DEN)","7","8","95","11.9","45","5.6","133","16.6","50","6.3","19","2.4","0","14","2.9%","8","0","2","3","1","1","0","0","35"
"65","Irv Smith Jr. (HOU)","11","18","115","6.4","49","2.7","105","5.8","66","3.7","20","1.1","0","26","4.4%","21","3","5","4","0","0","0","0","14"
"66","Davis Allen (LAR)","15","10","95","9.5","21","2.1","24","2.4","74","7.4","11","1.1","0","11","2.0%","11","1","2","4","1","0","0","0","21"
"67","Luke Farrell (SF)","10","13","155","11.9","59","4.5","71","5.5","96","7.4","21","1.6","1","15","2.5%","13","0","1","4","2","1","1","0","42"
"68","Josh Whyle (TEN)","11","9","94","10.4","54","6.0","147","16.3","40","4.4","15","1.7","1","15","3.1%","10","1","5","5","1","0","0","0","24"
"69","Brock Wright (DET)","14","13","91","7.0","42","3.2","40","3.1","49","3.8","12","0.9","0","14","2.4%","13","0","1","1","1","0","0","0","25"
"70","Jeremy Ruckert (NYJ)","15","16","151","9.4","100","6.3","139","8.7","51","3.2","14","0.9","0","22","3.9%","17","1","0","5","1","0","0","0","23"
"71","John Bates (WAS)","17","19","151","7.9","86","4.5","182","9.6","65","3.4","26","1.4","1","28","4.7%","22","3","3","5","1","1","0","0","35"
"72","Charlie Kolar (BAL)","14","7","87","12.4","70","10.0","88","12.6","17","2.4","3","0.4","0","9","1.9%","9","2","2","5","0","0","0","0","19"
"73","Jordan Akins (FA)","13","15","132","8.8","74","4.9","109","7.3","58","3.9","24","1.6","3","23","3.9%","17","2","0","5","1","0","0","0","28"
"74","Stephen Sullivan (CAR)","11","12","125","10.4","117","9.8","255","21.3","8","0.7","1","0.1","0","24","4.5%","13","1","0","5","1","0","0","0","20"
"75","Cole Turner (WAS)","12","11","120","10.9","70","6.4","105","9.5","50","4.5","19","1.7","0","15","2.5%","12","1","4","4","2","0","0","0","29"
"76","C.J. Uzomah (FA)","8","8","58","7.3","25","3.1","64","8.0","33","4.1","19","2.4","2","12","2.1%","9","1","4","1","0","0","0","0","19"
"77","Robert Tonyan (KC)","12","11","112","10.2","55","5.0","145","13.2","57","5.2","12","1.1","1","17","3.6%","13","2","2","5","1","0","0","0","24"
"78","Brenton Strange (JAC)","14","5","35","7.0","7","1.4","68","13.6","28","5.6","3","0.6","0","9","1.5%","6","0","4","2","0","0","0","0","17"
"79","Geoff Swaim (FA)","9","10","94","9.4","64","6.4","60","6.0","30","3.0","10","1.0","0","11","2.0%","10","0","2","3","1","0","0","0","26"
"80","Marcedes Lewis (FA)","6","4","29","7.3","0","0.0","9","2.3","29","7.3","7","1.8","0","5","1.0%","4","0","2","1","0","0","0","0","16"
"81","Ben Sims (GB)","16","4","21","5.3","3","0.8","30","7.5","18","4.5","12","3.0","0","6","1.1%","4","0","2","1","0","0","0","0","12"
"82","Brycen Hopkins (FA)","5","5","78","15.6","46","9.2","66","13.2","32","6.4","13","2.6","1","7","1.3%","5","0","1","3","2","0","0","0","29"
"83","Blake Bell (FA)","7","5","26","5.2","7","1.4","30","6.0","19","3.8","5","1.0","0","9","1.5%","6","1","1","0","0","0","0","0","8"
"84","Josiah Deguara (ARI)","9","8","65","8.1","26","3.3","26","3.3","39","4.9","15","1.9","0","8","1.4%","8","0","0","2","0","0","0","0","19"
"85","Ko Kieft (TB)","16","1","2","2.0","0","0.0","61","61.0","2","2.0","1","1.0","0","5","0.9%","1","0","2","0","0","0","0","0","2"
"86","Darnell Washington (PIT)","17","7","61","8.7","11","1.6","11","1.6","50","7.1","21","3.0","1","10","2.1%","7","0","1","3","0","0","0","0","12"
"87","Payne Durham (TB)","13","5","58","11.6","42","8.4","69","13.8","16","3.2","0","0.0","0","7","1.3%","7","2","1","2","1","0","0","0","25"
"88","Ian Thomas (LV)","8","5","56","11.2","23","4.6","78","15.6","33","6.6","15","3.0","1","9","1.7%","6","1","1","1","1","0","0","0","28"
"89","Mitchell Wilcox (FA)","12","9","56","6.2","8","0.9","12","1.3","48","5.3","9","1.0","0","12","2.0%","10","1","2","3","0","0","0","0","12"
"90","Grant Calcaterra (PHI)","14","4","39","9.8","7","1.8","7","1.8","32","8.0","14","3.5","1","4","0.8%","4","0","1","2","0","0","0","0","12"
"91","Jack Stoll (NO)","7","5","38","7.6","13","2.6","25","5.0","25","5.0","11","2.2","1","8","1.5%","6","1","2","2","0","0","0","0","14"
"92","Peyton Hendershot (FA)","8","4","38","9.5","10","2.5","27","6.8","28","7.0","7","1.8","0","7","1.2%","6","2","2","1","1","0","0","0","24"
"93","Charlie Woerner (ATL)","10","3","32","10.7","12","4.0","12","4.0","20","6.7","9","3.0","0","3","0.6%","3","0","1","1","1","0","0","0","20"
"94","Kenny Yeboah (DET)","3","2","28","14.0","8","4.0","19","9.5","20","10.0","7","3.5","1","4","0.7%","2","0","0","1","1","0","0","0","20"
"95","Julian Hill (MIA)","15","6","48","8.0","18","3.0","29","4.8","30","5.0","16","2.7","0","9","1.6%","6","0","1","2","0","0","0","0","18"
"96","Greg Dulcich (NYG)","2","3","25","8.3","20","6.7","23","7.7","5","1.7","0","0.0","0","4","0.8%","3","0","0","1","0","0","0","0","13"
"97","Nate Adkins (DEN)","10","4","22","5.5","-2","-0.5","-5","-1.3","24","6.0","5","1.3","0","5","1.0%","5","1","0","1","0","0","0","0","11"
"98","Chris Manhertz (NYG)","7","2","16","8.0","6","3.0","12","6.0","10","5.0","4","2.0","0","4","0.8%","2","0","1","1","0","0","0","0","10"
"99","Eric Saubert (SEA)","3","3","12","4.0","6","2.0","6","2.0","6","2.0","1","0.3","0","3","0.5%","3","0","0","0","0","0","0","0","5"
""
""
