"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"111","Chester Rogers (FA)","12","16","179","11.2","110","6.9","0","0.0","69","4.3","20","1.3","0","28","5.7%","18","2","4","9","2","0","0","0","27"
"112","Jarius Wright (FA)","16","28","296","10.6","203","7.3","0","0.0","93","3.3","23","0.8","1","58","9.7%","36","8","3","12","3","1","0","0","33"
"113","Justin Watson (HOU)","16","15","159","10.6","145","9.7","0","0.0","14","0.9","3","0.2","0","26","4.3%","16","1","4","9","0","0","0","0","17"
"114","Jake Kumerow (FA)","14","12","219","18.3","134","11.2","0","0.0","85","7.1","31","2.6","2","21","3.9%","13","0","2","9","3","3","1","0","49"
"115","DeSean Jackson (FA)","3","9","159","17.7","144","16.0","0","0.0","15","1.7","2","0.2","1","10","1.7%","10","1","0","4","2","2","2","2","53"
"116","Scotty Miller (PIT)","10","13","200","15.4","164","12.6","0","0.0","36","2.8","14","1.1","0","26","4.3%","14","0","1","6","3","2","1","0","48"
"117","N'Keal Harry (FA)","7","12","105","8.8","63","5.3","0","0.0","42","3.5","27","2.3","1","24","4.1%","13","1","6","5","0","0","0","0","18"
"118","Jakeem Grant Sr. (FA)","10","19","164","8.6","77","4.1","0","0.0","87","4.6","12","0.6","0","33","5.4%","21","1","1","8","0","0","0","0","18"
"119","Andy Isabella (SF)","15","9","189","21.0","49","5.4","0","0.0","140","15.6","44","4.9","2","13","2.5%","9","0","1","3","2","2","2","2","88"
"120","Marquise Goodwin (FA)","9","12","186","15.5","153","12.8","0","0.0","33","2.8","2","0.2","0","21","4.5%","15","2","0","8","3","1","0","0","38"
"121","Damion Ratley (FA)","13","12","200","16.7","153","12.8","0","0.0","47","3.9","37","3.1","1","24","4.6%","12","0","5","9","4","1","1","0","46"
"122","Trey Quinn (FA)","12","26","198","7.6","137","5.3","0","0.0","61","2.3","11","0.4","0","47","10.1%","27","1","5","6","0","0","0","0","19"
"123","Isaiah Ford (FA)","9","23","244","10.6","158","6.9","0","0.0","86","3.7","48","2.1","4","35","5.8%","24","1","5","11","2","0","0","0","28"
"124","KeeSean Johnson (FA)","10","21","187","8.9","144","6.9","0","0.0","43","2.0","20","1.0","0","42","7.9%","24","3","6","6","1","1","0","0","31"
"125","Javon Wims (FA)","16","18","186","10.3","141","7.8","0","0.0","45","2.5","10","0.6","0","39","6.9%","22","3","6","8","1","1","0","0","37"
"126","Laquon Treadwell (IND)","14","9","184","20.4","127","14.1","0","0.0","57","6.3","24","2.7","1","16","3.6%","11","2","0","7","3","2","1","1","58"
"127","Dante Pettis (NO)","11","11","109","9.9","86","7.8","0","0.0","23","2.1","17","1.5","1","24","5.1%","15","3","3","5","2","0","0","0","21"
"128","Bennie Fowler III (FA)","8","23","193","8.4","164","7.1","0","0.0","29","1.3","13","0.6","1","36","6.1%","27","2","4","10","0","0","0","0","17"
"129","Byron Pringle (FA)","16","12","170","14.2","107","8.9","0","0.0","63","5.3","35","2.9","2","16","2.9%","14","2","2","7","3","0","0","0","28"
"130","J.J. Arcega-Whiteside (FA)","16","10","169","16.9","153","15.3","0","0.0","16","1.6","5","0.5","0","22","3.6%","11","1","4","8","4","1","0","0","30"
"131","Duke Williams (FA)","4","12","166","13.8","116","9.7","0","0.0","50","4.2","40","3.3","2","19","3.9%","15","2","1","6","3","1","1","0","41"
"132","Zay Jones (ARI)","15","27","216","8.0","139","5.1","0","0.0","77","2.9","8","0.3","0","45","9.3%","28","1","6","9","2","0","0","0","23"
"133","Tim Patrick (DET)","8","16","218","13.6","180","11.3","0","0.0","38","2.4","24","1.5","1","31","6.4%","18","1","5","10","3","2","0","0","38"
"134","Kalif Raymond (DET)","8","9","170","18.9","156","17.3","0","0.0","14","1.6","1","0.1","0","12","2.8%","9","0","3","6","3","2","2","1","52"
"135","Richie James Jr. (FA)","16","6","165","27.5","62","10.3","0","0.0","103","17.2","5","0.8","0","10","2.1%","6","0","0","4","3","3","2","1","57"
"136","Trevor Davis (FA)","14","8","111","13.9","46","5.8","0","0.0","65","8.1","11","1.4","1","11","2.0%","8","0","1","6","2","0","0","0","28"
"137","Parris Campbell (DAL)","7","18","127","7.1","31","1.7","0","0.0","96","5.3","41","2.3","3","24","4.9%","19","1","5","5","1","0","0","0","27"
"138","Justin Hardy (FA)","16","19","195","10.3","114","6.0","0","0.0","81","4.3","8","0.4","0","26","4.0%","22","2","2","9","2","0","0","0","23"
"139","Dontrelle Inman (FA)","7","12","181","15.1","139","11.6","0","0.0","42","3.5","10","0.8","0","21","3.6%","15","2","1","9","4","0","0","0","28"
