Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Alvin Kamara (NO),187,932,5.0,49,7,16,83,107,756,9.1,5,0,15,336.3,22.4,95.5%
2,Derrick Henry (BAL),378,2027,5.4,94,16,17,19,31,114,6.0,0,2,16,323.6,20.2,98.7%
3,Dalvin Cook (FA),312,1557,5.0,70,6,16,44,54,361,8.2,1,3,14,315.8,22.6,0.6%
4,David Montgomery (DET),247,1070,4.3,80,5,8,54,68,438,8.1,2,1,15,237.8,15.9,93.9%
5,Aaron Jones Sr. (MIN),201,1104,5.5,77,6,9,47,63,355,7.6,2,0,14,235.4,16.8,90.1%
6,Jonathan Taylor (IND),232,1169,5.0,62,7,11,36,40,299,8.3,1,1,15,234.8,15.7,98.3%
7,James Robinson (FA),240,1070,4.5,47,5,7,49,60,344,7.0,3,1,14,225.9,16.1,0.0%
8,Josh Jacobs (GB),273,1065,3.9,28,3,12,33,45,238,7.2,0,2,15,214.8,14.3,98.5%
9,Nick Chubb (HOU),190,1067,5.6,59,12,12,16,18,150,9.4,0,1,12,199.7,16.6,44.9%
10,Kareem Hunt (KC),198,841,4.2,33,3,6,38,51,304,8.0,5,0,16,199.5,12.5,25.5%
11,Ezekiel Elliott (FA),244,979,4.0,31,3,6,52,71,338,6.5,2,5,15,197.7,13.2,5.0%
12,Antonio Gibson (NE),170,795,4.7,40,5,11,36,44,247,6.9,0,2,14,184.2,13.2,12.7%
13,Melvin Gordon III (FA),215,986,4.6,65,5,9,32,44,158,4.9,1,4,15,182.4,12.2,0.0%
14,Kenyan Drake (FA),239,955,4.0,69,6,10,25,31,137,5.5,0,1,15,179.7,12.0,1.1%
15,Mike Davis (FA),165,642,3.9,25,2,6,59,70,373,6.3,2,1,15,177.0,11.8,1.0%
16,Ronald Jones II (FA),192,978,5.1,98,6,7,28,42,165,5.9,1,2,14,172.3,12.3,0.0%
17,Chris Carson (FA),141,681,4.8,29,3,5,37,46,287,7.8,4,0,12,169.3,14.1,0.3%
18,D'Andre Swift (CHI),114,521,4.6,54,1,8,46,57,357,7.8,2,2,13,166.8,12.8,90.2%
19,David Johnson (FA),147,691,4.7,48,4,6,33,46,314,9.5,2,1,12,163.0,13.6,0.0%
20,Nyheim Miller-Hines (LAC),89,380,4.3,31,3,3,63,76,482,7.7,4,0,16,161.7,10.1,0.0%
21,J.K. Dobbins (DEN),134,805,6.0,72,8,9,18,24,120,6.7,0,0,15,159.5,10.6,73.4%
22,Clyde Edwards-Helaire (NO),181,803,4.4,31,3,4,36,54,297,8.3,1,0,13,158.0,12.2,4.3%
23,Miles Sanders (DAL),164,867,5.3,82,4,6,28,52,197,7.0,0,2,12,156.4,13.0,10.9%
24,J.D. McKissic (FA),85,365,4.3,17,0,1,80,110,589,7.4,2,1,16,151.4,9.5,1.0%
25,Todd Gurley II (FA),195,678,3.5,35,2,9,25,35,164,6.6,0,0,15,150.7,10.0,0.6%
26,James Conner (ARI),169,721,4.3,59,5,6,35,43,215,6.1,0,0,13,147.1,11.3,93.4%
27,Myles Gaskin (FA),142,584,4.1,26,3,3,41,47,388,9.5,2,2,10,143.7,14.4,0.0%
28,Chase Edmonds (FA),97,448,4.6,32,4,1,53,67,402,7.6,4,0,16,141.5,8.8,0.0%
29,Austin Ekeler (WAS),116,530,4.6,27,2,1,54,65,403,7.5,2,0,10,138.3,13.8,62.0%
30,Jeff Wilson Jr. (FA),126,600,4.8,34,3,7,13,28,133,10.2,3,2,12,135.8,11.3,1.0%
31,Giovani Bernard (FA),124,416,3.4,15,0,3,47,59,355,7.6,3,1,16,134.6,8.4,0.0%
32,Wayne Gallman Jr. (FA),147,682,4.6,60,3,6,21,27,114,5.4,0,0,15,126.1,8.4,0.0%
33,Latavius Murray (FA),146,656,4.5,36,3,4,23,26,176,7.7,1,0,15,124.7,8.3,0.0%
34,Devin Singletary (NYG),156,687,4.4,51,3,2,38,50,269,7.1,0,1,16,124.6,7.8,4.7%
35,Gus Edwards (FA),144,723,5.0,36,8,6,9,13,129,14.3,0,1,16,123.7,7.7,1.3%
36,Darrell Henderson Jr. (FA),138,624,4.5,40,3,5,16,24,159,9.9,1,0,15,122.3,8.2,0.0%
37,Adrian Peterson (FA),156,604,3.9,38,4,7,12,18,101,8.4,0,0,16,118.5,7.4,2.0%
38,Leonard Fournette (FA),97,367,3.8,46,3,6,36,47,233,6.5,0,0,13,114.0,8.8,0.0%
39,Jamaal Williams (FA),119,505,4.2,25,1,2,31,35,236,7.6,1,0,14,111.6,8.0,1.1%
40,Jerick McKinnon (FA),81,319,3.9,55,1,5,33,46,253,7.7,1,0,16,109.7,6.9,0.0%
41,Tony Pollard (TEN),101,435,4.3,42,4,4,28,40,193,6.9,1,0,16,106.8,6.7,88.9%
42,Malcolm Brown (FA),101,419,4.1,19,0,5,23,33,162,7.0,0,1,16,97.6,6.1,0.0%
43,Cam Akers (NO),145,625,4.3,61,4,2,11,14,123,11.2,1,1,12,96.3,8.0,2.9%
44,Rex Burkhead (FA),67,274,4.1,18,0,3,25,33,192,7.7,3,0,10,95.1,9.5,10.0%
45,Zack Moss (FA),112,481,4.3,31,4,4,14,18,95,6.8,1,0,13,94.6,7.3,16.3%
46,Frank Gore (FA),187,653,3.5,17,0,2,16,19,89,5.6,0,1,15,92.2,6.1,8.4%
47,James White (FA),35,121,3.5,10,0,2,49,62,375,7.7,1,0,14,92.1,6.6,0.1%
48,Raheem Mostert (LV),104,521,5.0,80,2,2,16,19,156,9.8,1,1,8,91.7,11.5,10.5%
49,Joe Mixon (HOU),119,428,3.6,34,3,3,21,26,138,6.6,1,1,6,89.1,14.9,95.0%
50,Damien Harris (FA),137,691,5.0,41,4,2,5,7,52,10.4,0,0,10,88.8,8.9,4.6%
51,Boston Scott (FA),80,374,4.7,56,2,1,25,36,212,8.5,1,0,16,83.1,5.2,0.0%
52,Brian Hill (FA),100,465,4.7,62,3,1,25,30,199,8.0,0,1,16,82.9,5.2,0.0%
53,Christian McCaffrey (SF),59,225,3.8,15,0,5,17,19,149,8.8,1,0,3,81.9,27.3,98.5%
54,Alexander Mattison (MIA),96,434,4.5,25,4,2,13,15,125,9.6,1,0,13,80.4,6.2,8.4%
55,Kalen Ballage (FA),91,303,3.3,17,0,3,29,37,166,5.7,0,0,11,79.4,7.2,0.0%
56,Devontae Booker (FA),93,423,4.5,43,4,3,17,21,84,4.9,0,0,16,77.2,4.8,0.0%
57,Carlos Hyde (FA),81,356,4.4,50,2,4,16,20,93,5.8,0,0,10,76.9,7.7,0.0%
58,Kyle Juszczyk (SF),17,64,3.8,10,0,2,19,29,202,10.6,4,0,16,72.1,4.5,0.9%
59,Sony Michel (FA),79,449,5.7,48,4,1,7,9,114,16.3,1,0,9,71.8,8.0,0.0%
60,Duke Johnson Jr. (FA),77,235,3.1,23,1,1,28,35,249,8.9,1,2,11,70.4,6.4,0.0%
