"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Mark Andrews (BAL)","8","15","53.3%","83","10.4","8","55.6%","0","0","0","0%","0","15","56.3","3.8","93.7%"
"2","Darren Fells (FA)","10","12","83.3%","99","9.9","7","66.7%","0","0","0","0%","0","16","51.9","3.2","0.0%"
"3","Austin Hooper (NE)","9","16","56.3%","57","6.3","6","84.2%","0","0","0","0%","0","13","41.7","3.2","4.7%"
"4","Foster Moreau (NO)","7","7","100.0%","55","7.9","5","33.3%","0","0","0","0%","0","13","35.5","2.7","1.6%"
"5","Jared Cook (FA)","5","10","50.0%","52","10.4","5","38.5%","0","0","0","0.0%","0","14","35.2","2.5","0.0%"
"6","Kyle Rudolph (FA)","8","11","72.7%","51","6.4","5","55.0%","0","0","0","0%","0","16","35.1","2.2","1.0%"
"7","Zach Ertz (WAS)","9","19","47.4%","44","4.9","5","63.3%","0","0","0","0%","0","15","34.4","2.3","43.2%"
"8","Jason Witten (FA)","7","10","70.0%","50","7.1","4","83.3%","0","0","0","0%","0","16","29.0","1.8","1.0%"
"9","Dallas Goedert (PHI)","8","11","72.7%","43","5.4","4","36.7%","0","0","0","0%","0","15","28.3","1.9","78.4%"
"10","Taysom Hill (NO)","6","6","100.0%","38","6.3","4","23.1%","6","1","0","100.0%","0","16","27.9","1.7","19.2%"
"11","Will Dissly (LAC)","4","6","66.7%","39","9.8","4","37.5%","0","0","0","0%","0","6","27.9","4.7","4.9%"
"12","Ryan Griffin (FA)","5","6","83.3%","37","7.4","4","85.7%","0","0","0","0%","0","13","27.7","2.1","0.0%"
"13","Darren Waller (MIA)","7","11","63.6%","60","8.6","3","52.4%","0","0","0","0%","0","16","24.0","1.5","23.6%"
"14","Hunter Henry (NE)","7","10","70.0%","50","7.1","3","66.7%","0","0","0","0%","0","12","23.0","1.9","51.2%"
"15","Travis Kelce (KC)","7","19","36.8%","41","5.9","2","100.0%","1","4","1","100.0%","0","16","22.5","1.4","95.9%"
"16","Cameron Brate (FA)","5","6","83.3%","40","8.0","3","35.3%","0","0","0","0%","0","16","22.0","1.4","2.0%"
"17","Mike Gesicki (CIN)","3","9","33.3%","38","12.7","3","100.0%","0","0","0","0%","0","16","21.8","1.4","23.8%"
"18","Vance McDonald (FA)","7","9","77.8%","38","5.4","3","81.8%","0","0","0","0%","0","14","21.8","1.6","0.0%"
"19","Jack Doyle (FA)","5","12","41.7%","36","7.2","3","46.2%","0","0","0","0%","0","16","21.6","1.4","2.0%"
"20","Jimmy Graham (FA)","5","10","50.0%","36","7.2","3","66.7%","0","0","0","0%","0","16","21.6","1.4","0.0%"
"21","Jacob Hollister (FA)","6","9","66.7%","28","4.7","3","56.3%","0","0","0","0%","0","11","20.8","1.9","1.0%"
"22","Josh Hill (FA)","8","10","80.0%","25","3.1","3","38.5%","0","0","0","0.0%","0","16","20.5","1.3","0.0%"
"23","Kaden Smith (FA)","5","5","100.0%","20","4.0","3","26.3%","0","0","0","0%","0","9","20.0","2.2","0.0%"
"24","Ricky Seals-Jones (FA)","4","6","66.7%","19","4.8","3","35.3%","0","0","0","0%","0","14","19.9","1.4","0.0%"
"25","Tyler Higbee (LAR)","11","15","73.3%","61","5.5","2","65.2%","0","0","0","0.0%","0","15","18.1","1.2","16.5%"
"26","George Kittle (SF)","11","17","64.7%","58","5.3","2","81.0%","2","-5","0","100.0%","0","14","17.3","1.2","98.2%"
"27","Jonnu Smith (PIT)","5","6","83.3%","44","8.8","2","37.5%","1","4","0","100.0%","0","16","16.8","1.1","72.5%"
"28","Gerald Everett (FA)","7","8","87.5%","42","6.0","2","34.8%","1","0","0","100.0%","0","13","16.2","1.2","1.4%"
"29","Irv Smith Jr. (HOU)","7","9","77.8%","39","5.6","2","45.0%","0","0","0","0%","0","16","15.9","1.0","0.0%"
"30","Tyler Eifert (FA)","4","9","44.4%","39","9.8","2","42.9%","0","0","0","0%","0","16","15.9","1.0","0.0%"
"31","Eric Ebron (FA)","6","11","54.5%","36","6.0","2","42.3%","0","0","0","0%","0","11","15.6","1.4","0.0%"
"32","James O'Shaughnessy (FA)","3","4","75.0%","32","10.7","2","28.6%","0","0","0","0%","0","5","15.2","3.0","0.0%"
"33","Evan Engram (DEN)","5","11","45.5%","23","4.6","2","57.9%","0","0","0","0%","0","8","14.3","1.8","88.9%"
"34","Greg Olsen (FA)","5","11","45.5%","19","3.8","2","84.6%","0","0","0","0%","0","14","13.9","1.0","7.0%"
"35","Delanie Walker (FA)","2","5","40.0%","18","9.0","2","31.3%","0","0","0","0.0%","0","7","13.8","2.0","0.1%"
"36","Ross Dwelley (SF)","3","3","100.0%","15","5.0","2","14.3%","0","0","0","0.0%","0","16","13.5","0.8","0.0%"
"37","Nick Boyle (FA)","2","5","40.0%","8","4.0","2","18.5%","0","0","0","0%","0","16","12.8","0.8","0.0%"
"38","Demetrius Harris (FA)","2","7","28.6%","3","1.5","2","41.2%","0","0","0","0%","0","15","12.3","0.8","0.0%"
"39","Logan Thomas (FA)","5","7","71.4%","62","12.4","1","41.2%","0","0","0","0%","0","16","12.2","0.8","0.0%"
"40","Maxx Williams (FA)","3","4","75.0%","39","13.0","1","40.0%","0","0","0","0%","0","16","9.9","0.6","0.0%"
"41","Charles Clay (FA)","4","5","80.0%","38","9.5","1","50.0%","0","0","0","0%","0","15","9.8","0.7","0.0%"
"42","Virgil Green (FA)","2","3","66.7%","29","14.5","1","20.0%","0","0","0","0%","0","15","8.9","0.6","0.0%"
"43","C.J. Uzomah (FA)","4","8","50.0%","28","7.0","1","38.1%","0","0","0","0%","0","16","8.8","0.6","0.0%"
"44","Robert Tonyan (KC)","2","2","100.0%","23","11.5","1","13.3%","0","0","0","0%","0","11","8.3","0.8","0.0%"
"45","Jeff Heuerman (FA)","3","4","75.0%","23","7.7","1","21.1%","0","0","0","0%","0","14","8.3","0.6","0.0%"
"46","Jesper Horsted (FA)","2","3","66.7%","22","11.0","1","33.3%","0","0","0","0%","0","6","8.2","1.4","0.0%"
"47","Tyler Kroft (FA)","2","3","66.7%","20","10.0","1","14.3%","0","0","0","0%","0","12","8.0","0.7","0.0%"
"48","Daniel Brown (FA)","1","1","100.0%","20","20.0","1","14.3%","0","0","0","0%","0","16","8.0","0.5","0.0%"
"49","Jaeden Graham (FA)","1","1","100.0%","18","18.0","1","5.3%","0","0","0","0%","0","16","7.8","0.5","0.0%"
"50","Ben Braunecker (FA)","1","1","100.0%","18","18.0","1","11.1%","0","0","0","0%","0","11","7.8","0.7","0.0%"
"51","O.J. Howard (FA)","4","8","50.0%","37","9.3","1","47.1%","0","0","0","0%","1","14","7.7","0.6","0.0%"
"52","Anthony Firkser (FA)","2","4","50.0%","16","8.0","1","25.0%","0","0","0","0.0%","0","15","7.6","0.5","0.0%"
"53","T.J. Hockenson (MIN)","3","7","42.9%","16","5.3","1","41.2%","0","0","0","0%","0","12","7.6","0.6","94.8%"
"54","Jordan Akins (FA)","1","6","16.7%","15","15.0","1","33.3%","0","0","0","0%","0","16","7.5","0.5","1.0%"
"55","Noah Fant (CIN)","1","9","11.1%","14","14.0","1","47.4%","0","0","0","0%","0","16","7.4","0.5","16.9%"
"56","Hayden Hurst (FA)","3","7","42.9%","14","4.7","1","25.9%","0","0","0","0%","0","16","7.4","0.5","1.3%"
"57","Nick O'Leary (FA)","1","3","33.3%","12","12.0","1","21.4%","0","0","0","0%","0","12","7.2","0.6","0.0%"
"58","Ryan Izzo (FA)","1","1","100.0%","10","10.0","1","12.5%","0","0","0","0%","0","6","7.0","1.2","0.0%"
"59","Dawson Knox (BUF)","2","6","33.3%","9","4.5","1","75.0%","0","0","0","0%","0","15","6.9","0.5","5.6%"
"60","Derek Carrier (FA)","2","3","66.7%","9","4.5","1","14.3%","0","0","0","0%","0","16","6.9","0.4","0.0%"
"61","Matt LaCosse (FA)","1","3","33.3%","8","8.0","1","15.8%","0","0","0","0%","0","12","6.8","0.6","0.0%"
