"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Raheem Mostert (LV)","47","163","3.5","16","54.7%","6","6","100.0%","36","6.0","3","28.6%","0","15","133.9","8.9","10.5%"
"2","Christian McCaffrey (SF)","65","205","3.2","13","80.2%","13","17","76.5%","67","5.2","5","70.8%","2","16","131.2","8.2","98.5%"
"3","Kyren Williams (LAR)","55","218","4.0","11","75.3%","5","13","38.5%","22","4.4","3","81.3%","0","12","108.0","9.0","97.7%"
"4","Gus Edwards (FA)","39","101","2.6","13","52.7%","0","0","0%","0","0","0","0.0%","0","17","88.1","5.2","1.3%"
"5","Joe Mixon (HOU)","55","150","2.7","8","87.3%","11","13","84.6%","68","6.2","2","86.7%","0","17","81.8","4.8","95.0%"
"6","David Montgomery (DET)","51","145","2.8","10","54.3%","1","1","100.0%","-7","-7.0","0","12.5%","0","14","73.8","5.3","93.9%"
"7","Derrick Henry (BAL)","34","88","2.6","9","77.3%","1","2","50.0%","4","4.0","0","25.0%","0","17","71.8","4.2","98.7%"
"8","Isiah Pacheco (KC)","42","145","3.5","6","80.8%","8","9","88.9%","46","5.8","2","50.0%","0","14","67.1","4.8","91.1%"
"9","Kareem Hunt (KC)","35","85","2.4","9","58.3%","1","1","100.0%","3","3.0","0","14.3%","0","15","62.8","4.2","25.5%"
"10","Jahmyr Gibbs (DET)","36","120","3.3","7","38.3%","4","7","57.1%","26","6.5","1","87.5%","0","15","62.6","4.2","99.0%"
"11","De'Von Achane (MIA)","23","98","4.3","5","26.7%","5","6","83.3%","33","6.6","3","28.6%","0","11","61.1","5.6","98.3%"
"12","James Conner (ARI)","32","93","2.9","6","76.2%","4","5","80.0%","29","7.3","2","71.4%","0","13","60.2","4.6","93.4%"
"13","Travis Etienne Jr. (JAC)","38","116","3.1","7","74.5%","2","2","100.0%","6","3.0","0","100.0%","0","17","54.2","3.2","82.1%"
"14","Alvin Kamara (NO)","38","122","3.2","5","79.2%","8","8","100.0%","47","5.9","1","88.9%","0","13","52.9","4.1","95.5%"
"15","Jonathan Taylor (IND)","31","90","2.9","6","38.3%","3","4","75.0%","18","6.0","1","33.3%","0","10","52.8","5.3","98.3%"
