"Rank","Player","G","ATT","YDS","Y/ATT","YBCON","YBCON/ATT","YACON","YACON/ATT","BRKTKL","TK LOSS","TK LOSS YDS","LNG TD","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG","REC","TGT","RZ TGT","YACON"
"1","Derrick Henry (BAL)","16","378","2,027","5.4","945","2.5","1,082","2.9","34","23","-61","94","48","16","8","4","2","94","19","31","1","49"
"2","Alvin Kamara (NO)","15","187","932","5.0","526","2.8","406","2.2","19","14","-37","40","27","7","4","2","0","49","83","107","14","196"
"3","Dalvin Cook (FA)","14","312","1,557","5.0","800","2.6","757","2.4","33","12","-21","70","46","6","4","1","1","70","44","54","2","115"
"4","Jonathan Taylor (IND)","15","232","1,169","5.0","689","3.0","480","2.1","15","20","-39","62","35","7","3","3","2","62","36","40","4","80"
"5","Aaron Jones Sr. (MIN)","14","201","1,104","5.5","510","2.5","594","3.0","14","14","-32","77","26","6","4","4","3","77","47","63","10","86"
"6","David Montgomery (DET)","15","247","1,070","4.3","476","1.9","594","2.4","29","24","-44","80","24","5","3","2","2","80","54","68","10","136"
"7","James Robinson (FA)","14","240","1,070","4.5","454","1.9","616","2.6","16","16","-30","17","31","5","2","1","0","47","49","60","5","135"
"8","Josh Jacobs (GB)","15","273","1,065","3.9","525","1.9","540","2.0","20","23","-53","28","31","3","0","0","0","28","33","45","3","102"
"9","Nick Chubb (HOU)","12","190","1,067","5.6","555","2.9","512","2.7","21","19","-25","47","34","12","3","3","2","59","16","18","2","52"
"10","Kareem Hunt (KC)","16","198","841","4.2","374","1.9","467","2.4","18","17","-46","14","29","3","1","0","0","33","38","51","9","96"
"11","Ezekiel Elliott (FA)","15","244","979","4.0","457","1.9","522","2.1","15","15","-29","12","22","3","1","0","0","31","52","71","7","102"
"12","Kenyan Drake (FA)","15","239","955","4.0","549","2.3","406","1.7","16","23","-45","69","25","6","2","1","1","69","25","31","2","32"
"13","Melvin Gordon III (FA)","15","215","986","4.6","529","2.5","457","2.1","16","25","-41","43","26","5","2","2","1","65","32","44","4","37"
"14","Antonio Gibson (NE)","14","170","795","4.7","444","2.6","351","2.1","20","15","-34","37","21","5","2","1","0","40","36","44","3","101"
"15","Ronald Jones II (FA)","14","192","978","5.1","394","2.1","584","3.0","10","12","-18","98","21","6","3","1","1","98","28","42","4","26"
"16","Chris Carson (FA)","12","141","681","4.8","373","2.6","308","2.2","10","7","-16","29","19","3","0","0","0","29","37","46","5","61"
"17","J.K. Dobbins (DEN)","15","134","805","6.0","410","3.1","395","2.9","7","10","-18","72","20","8","4","2","1","72","18","24","1","35"
"18","Mike Davis (FA)","15","165","642","3.9","243","1.5","399","2.4","21","16","-33","10","14","2","0","0","0","25","59","70","11","154"
"19","David Johnson (FA)","12","147","691","4.7","402","2.7","289","2.0","7","9","-13","19","18","4","2","1","0","48","33","46","11","72"
"20","D'Andre Swift (CHI)","13","114","521","4.6","330","2.9","191","1.7","9","9","-20","6","13","1","1","1","1","54","46","57","9","61"
"21","Miles Sanders (DAL)","12","164","867","5.3","497","3.0","370","2.3","9","17","-37","82","16","4","3","3","3","82","28","52","1","42"
"22","Clyde Edwards-Helaire (NO)","13","181","803","4.4","412","2.3","391","2.2","15","18","-39","27","21","3","1","0","0","31","36","54","6","77"
"23","Todd Gurley II (FA)","15","195","678","3.5","323","1.7","355","1.8","19","19","-52","35","16","2","1","0","0","35","25","35","0","45"
"24","Nyheim Miller-Hines (LAC)","16","89","380","4.3","224","2.5","156","1.8","8","12","-22","12","17","3","1","0","0","31","63","76","12","97"
"25","James Conner (ARI)","13","169","721","4.3","385","2.3","336","2.0","17","17","-47","12","19","5","1","1","1","59","35","43","7","47"
"26","Jeff Wilson Jr. (FA)","12","126","600","4.8","319","2.5","281","2.2","9","12","-25","16","17","3","1","0","0","34","13","28","6","34"
"27","Myles Gaskin (FA)","10","142","584","4.1","296","2.1","288","2.0","6","10","-18","1","12","3","0","0","0","26","41","47","6","134"
"28","Gus Edwards (FA)","16","144","723","5.0","334","2.3","389","2.7","11","11","-22","19","16","8","2","0","0","36","9","13","1","29"
"29","Wayne Gallman Jr. (FA)","15","147","682","4.6","320","2.2","362","2.5","10","10","-20","2","16","3","1","1","1","60","21","27","4","26"
"30","Chase Edmonds (FA)","16","97","448","4.6","261","2.7","187","1.9","10","11","-28","29","11","4","1","0","0","32","53","67","11","83"
"31","Darrell Henderson Jr. (FA)","15","138","624","4.5","341","2.5","283","2.1","8","16","-26","38","20","3","2","1","0","40","16","24","4","36"
"32","Latavius Murray (FA)","15","146","656","4.5","363","2.5","293","2.0","4","7","-15","36","12","3","1","0","0","36","23","26","4","49"
