"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Alvin Kamara (NO)","45","144","3.2","15","62.5%","12","17","70.6%","98","8.2","4","73.9%","0","15","138.2","9.2","95.5%"
"2","Dalvin Cook (FA)","64","257","4.0","13","71.1%","2","2","100.0%","16","8.0","0","33.3%","0","14","105.3","7.5","0.6%"
"3","Derrick Henry (BAL)","59","185","3.1","12","80.8%","1","1","100.0%","5","5.0","0","11.1%","0","16","91.0","5.7","98.7%"
"4","Nick Chubb (HOU)","32","139","4.3","11","42.1%","2","2","100.0%","11","5.5","0","16.7%","0","12","81.0","6.8","44.9%"
"5","Kareem Hunt (KC)","41","113","2.8","6","53.9%","7","9","77.8%","45","6.4","4","75.0%","0","16","75.8","4.7","25.5%"
"6","James Robinson (FA)","31","119","3.8","7","91.2%","6","6","100.0%","49","8.2","3","50.0%","1","14","74.8","5.3","0.0%"
"7","Josh Jacobs (GB)","63","163","2.6","10","74.1%","0","3","0.0%","0","0","0","23.1%","1","15","74.3","5.0","98.5%"
"8","Kenyan Drake (FA)","55","117","2.1","9","78.6%","1","2","50.0%","3","3.0","0","15.4%","0","15","66.0","4.4","1.1%"
"9","Antonio Gibson (NE)","28","98","3.5","9","48.3%","2","3","66.7%","12","6.0","0","21.4%","0","14","65.0","4.6","12.7%"
"10","Mike Davis (FA)","41","99","2.4","6","64.1%","8","11","72.7%","29","3.6","2","64.7%","0","15","60.8","4.1","1.0%"
"11","Aaron Jones Sr. (MIN)","36","100","2.8","6","55.4%","5","10","50.0%","21","4.2","2","66.7%","0","14","60.1","4.3","90.1%"
"12","D'Andre Swift (CHI)","18","41","2.3","7","26.1%","6","9","66.7%","39","6.5","2","69.2%","1","13","60.0","4.6","90.2%"
"13","Jonathan Taylor (IND)","40","89","2.2","8","53.3%","4","6","66.7%","10","2.5","0","33.3%","0","15","57.9","3.9","98.3%"
