"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Mark Andrews (BAL)","17","107","1,361","12.7","903","8.4","0","0.0","458","4.3","187","1.7","4","153","25.8%","110","3","20","61","20","5","2","0","43"
"2","Travis Kelce (KC)","16","92","1,125","12.2","561","6.1","0","0.0","564","6.1","248","2.7","8","134","21.0%","102","10","16","50","13","4","2","1","69"
"3","Dalton Schultz (HOU)","17","78","808","10.4","460","5.9","0","0.0","348","4.5","109","1.4","3","104","16.3%","82","4","14","38","6","2","0","0","32"
"4","George Kittle (SF)","14","71","910","12.8","460","6.5","0","0.0","450","6.3","179","2.5","8","94","18.8%","76","2","9","38","13","3","1","0","48"
"5","Rob Gronkowski (FA)","12","55","802","14.6","452","8.2","0","0.0","350","6.4","147","2.7","9","88","12.3%","62","5","10","35","16","3","1","0","42"
"6","Dawson Knox (BUF)","15","49","587","12.0","310","6.3","0","0.0","277","5.7","63","1.3","3","71","11.4%","53","4","18","24","8","3","2","1","53"
"7","Hunter Henry (NE)","16","50","603","12.1","459","9.2","0","0.0","144","2.9","41","0.8","1","75","14.3%","50","0","17","25","8","4","0","0","35"
"8","Dallas Goedert (PHI)","15","56","830","14.8","444","7.9","0","0.0","386","6.9","101","1.8","9","76","16.2%","63","5","6","39","14","3","1","0","45"
"9","Kyle Pitts Sr. (ATL)","17","68","1,026","15.1","713","10.5","0","0.0","313","4.6","137","2.0","3","110","19.9%","77","6","14","41","16","6","2","1","61"
"10","Zach Ertz (WAS)","17","74","763","10.3","423","5.7","0","0.0","340","4.6","74","1.0","2","112","23.9%","82","6","20","33","7","1","1","0","47"
"11","Mike Gesicki (CIN)","17","73","780","10.7","559","7.7","0","0.0","221","3.0","69","0.9","1","112","18.7%","79","3","9","29","12","2","1","0","40"
"12","Pat Freiermuth (PIT)","16","60","497","8.3","250","4.2","0","0.0","247","4.1","117","2.0","8","79","12.1%","62","2","20","21","2","0","0","0","24"
"13","Noah Fant (CIN)","16","68","670","9.9","361","5.3","0","0.0","309","4.5","53","0.8","1","90","17.4%","71","2","12","25","7","2","0","0","35"
"14","Tyler Higbee (LAR)","15","61","560","9.2","279","4.6","0","0.0","281","4.6","78","1.3","1","85","14.1%","64","3","18","24","3","1","0","0","37"
"15","Jared Cook (FA)","16","48","564","11.8","326","6.8","0","0.0","238","5.0","62","1.3","0","83","12.6%","56","6","13","28","7","1","1","0","42"
"16","T.J. Hockenson (MIN)","12","61","583","9.6","384","6.3","0","0.0","199","3.3","56","0.9","4","84","14.8%","62","1","9","24","8","1","0","0","33"
"17","C.J. Uzomah (FA)","16","49","493","10.1","193","3.9","0","0.0","300","6.1","108","2.2","5","63","11.7%","54","4","7","17","7","4","1","1","55"
"18","Darren Waller (MIA)","11","55","665","12.1","423","7.7","0","0.0","242","4.4","80","1.5","3","93","15.4%","60","5","13","27","13","2","0","0","33"
"19","Tyler Conklin (LAC)","17","61","593","9.7","266","4.4","0","0.0","327","5.4","63","1.0","0","87","15.1%","64","3","16","23","4","2","1","0","40"
"20","David Njoku (CLE)","15","36","475","13.2","228","6.3","0","0.0","247","6.9","106","2.9","2","53","10.6%","39","2","8","15","8","4","2","1","71"
"21","Gerald Everett (FA)","15","48","478","10.0","229","4.8","0","0.0","249","5.2","108","2.3","9","63","13.2%","51","3","8","19","5","2","1","0","41"
"22","Cole Kmet (CHI)","17","60","612","10.2","366","6.1","0","0.0","246","4.1","97","1.6","4","93","17.7%","67","5","12","31","7","0","0","0","25"
"23","Evan Engram (DEN)","15","46","408","8.9","225","4.9","0","0.0","183","4.0","33","0.7","0","73","12.9%","53","6","4","16","2","1","0","0","30"
