"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"24","Mo Alie-Cox (IND)","17","24","316","13.2","166","6.9","0","0.0","150","6.3","61","2.5","2","45","8.9%","26","2","9","12","5","1","0","0","37"
"25","Foster Moreau (NO)","15","30","373","12.4","184","6.1","0","0.0","189","6.3","63","2.1","2","44","7.3%","35","4","5","16","6","2","1","0","44"
"26","Austin Hooper (NE)","15","38","345","9.1","160","4.2","0","0.0","185","4.9","35","0.9","1","61","12.2%","44","6","11","13","4","1","0","0","34"
"27","Jack Doyle (FA)","15","29","302","10.4","177","6.1","0","0.0","125","4.3","14","0.5","0","43","8.5%","33","4","7","15","3","1","0","0","34"
"28","Cameron Brate (FA)","16","30","245","8.2","164","5.5","0","0.0","81","2.7","15","0.5","0","57","8.0%","34","3","20","10","0","0","0","0","18"
"29","Albert Okwuegbunam Jr. (FA)","14","33","330","10.0","85","2.6","0","0.0","245","7.4","65","2.0","3","40","7.7%","35","2","5","12","3","1","1","1","64"
"30","Harrison Bryant (PHI)","15","21","233","11.1","154","7.3","0","0.0","79","3.8","21","1.0","0","28","5.6%","22","1","6","8","4","1","1","0","41"
"31","Dan Arnold (FA)","11","35","408","11.7","220","6.3","0","0.0","188","5.4","66","1.9","2","52","9.0%","39","2","4","20","2","0","0","0","28"
"32","Juwan Johnson (NO)","13","13","159","12.2","117","9.0","0","0.0","42","3.2","11","0.8","0","22","4.6%","14","1","7","7","3","0","0","0","27"
"33","Jonnu Smith (PIT)","16","28","294","10.5","62","2.2","0","0.0","232","8.3","80","2.9","2","45","8.6%","32","4","10","14","5","0","0","0","28"
"34","Ricky Seals-Jones (FA)","11","30","271","9.0","114","3.8","0","0.0","157","5.2","36","1.2","2","49","9.2%","33","4","12","11","1","1","0","0","39"
"35","Anthony Firkser (FA)","15","34","291","8.6","180","5.3","0","0.0","111","3.3","28","0.8","0","43","8.2%","38","3","6","13","1","0","0","0","24"
"36","Geoff Swaim (FA)","16","31","210","6.8","71","2.3","0","0.0","139","4.5","40","1.3","0","40","7.7%","33","1","8","5","2","0","0","0","26"
"37","Donald Parham Jr. (PIT)","14","20","190","9.5","55","2.8","0","0.0","135","6.8","38","1.9","2","27","4.1%","25","2","6","10","1","0","0","0","22"
"38","Ryan Griffin (FA)","14","27","261","9.7","112","4.1","0","0.0","149","5.5","23","0.9","0","42","7.2%","30","3","6","10","4","0","0","0","29"
"39","Hayden Hurst (FA)","12","26","221","8.5","132","5.1","0","0.0","89","3.4","13","0.5","2","31","5.6%","27","0","7","8","1","1","0","0","33"
"40","Jimmy Graham (FA)","11","14","167","11.9","112","8.0","0","0.0","55","3.9","17","1.2","0","23","4.4%","15","1","8","9","2","0","0","0","28"
"41","Josiah Deguara (ARI)","14","25","245","9.8","41","1.6","0","0.0","204","8.2","90","3.6","1","33","5.8%","27","2","7","8","3","1","1","1","62"
"42","Adam Trautman (DEN)","11","27","263","9.7","152","5.6","0","0.0","111","4.1","22","0.8","0","43","9.1%","33","4","8","10","2","1","0","0","32"
"43","Durham Smythe (CHI)","16","34","357","10.5","197","5.8","0","0.0","160","4.7","38","1.1","0","41","6.9%","35","1","7","15","5","0","0","0","25"
"44","Brevin Jordan (HOU)","8","20","178","8.9","79","4.0","0","0.0","99","5.0","21","1.1","1","28","5.4%","21","1","4","7","2","0","0","0","27"
"45","Logan Thomas (FA)","5","18","196","10.9","114","6.3","0","0.0","82","4.6","25","1.4","1","25","4.7%","18","0","5","9","2","1","0","0","35"
"46","MyCole Pruitt (FA)","13","14","145","10.4","86","6.1","0","0.0","59","4.2","4","0.3","0","19","3.6%","15","0","6","7","2","0","0","0","22"
"47","Kyle Rudolph (FA)","15","26","257","9.9","120","4.6","0","0.0","137","5.3","40","1.5","1","39","6.9%","26","0","8","8","3","1","1","1","60"
"48","Tommy Tremble (CAR)","15","20","180","9.0","110","5.5","0","0.0","70","3.5","26","1.3","0","35","6.1%","23","2","4","6","1","1","0","0","30"
"49","Robert Tonyan (KC)","8","18","204","11.3","94","5.2","0","0.0","110","6.1","21","1.2","0","29","5.1%","19","1","4","8","4","1","0","0","33"
"50","John Bates (WAS)","13","20","249","12.5","110","5.5","0","0.0","139","7.0","41","2.1","2","25","4.7%","20","0","2","11","4","1","0","0","32"
"51","Will Dissly (LAC)","13","21","231","11.0","88","4.2","0","0.0","143","6.8","42","2.0","2","26","5.5%","23","3","3","8","5","1","0","0","39"
"52","James O'Shaughnessy (FA)","7","24","244","10.2","130","5.4","0","0.0","114","4.8","22","0.9","2","34","5.8%","28","3","0","8","5","1","0","0","30"
"53","Maxx Williams (FA)","5","16","193","12.1","68","4.3","0","0.0","125","7.8","51","3.2","1","17","3.0%","16","0","1","7","3","1","0","0","34"
"54","Brock Wright (DET)","8","12","117","9.8","53","4.4","0","0.0","64","5.3","6","0.5","0","17","3.0%","14","1","1","5","2","1","0","0","36"
"55","Tyler Kroft (FA)","9","16","173","10.8","99","6.2","0","0.0","74","4.6","36","2.3","1","25","4.3%","20","4","2","8","3","0","0","0","26"
"56","Stephen Anderson (FA)","14","16","165","10.5","50","2.9","0","0.0","129","7.6","15","0.9","0","19","2.9%","17","0","1","8","3","1","0","0","34"
"57","Blake Jarwin (FA)","8","11","96","8.7","58","5.3","0","0.0","38","3.5","17","1.5","0","17","2.7%","11","0","6","3","1","0","0","0","20"
"58","Marcedes Lewis (FA)","13","23","214","9.3","70","3.0","0","0.0","144","6.3","70","3.0","5","28","4.9%","23","0","7","10","3","0","0","0","23"
"59","Eric Ebron (FA)","8","12","84","7.0","63","5.3","0","0.0","21","1.8","4","0.3","0","18","2.8%","13","1","3","2","0","0","0","0","19"
"60","O.J. Howard (FA)","11","14","135","9.6","52","3.7","0","0.0","83","5.9","37","2.6","1","21","2.9%","14","0","2","7","1","0","0","0","21"
"61","Nick Vannett (FA)","7","9","133","14.8","41","4.6","0","0.0","92","10.2","21","2.3","1","15","3.2%","12","3","2","7","2","1","0","0","30"
"62","Ian Thomas (LV)","14","18","188","10.4","96","5.3","0","0.0","92","5.1","20","1.1","1","30","5.2%","23","4","3","6","3","1","1","0","41"
"63","Jordan Akins (FA)","12","24","214","8.9","133","5.5","0","0.0","81","3.4","32","1.3","1","33","6.3%","27","2","5","8","1","1","0","0","31"
"64","Zach Gentry (FA)","10","19","167","8.8","39","2.1","0","0.0","128","6.7","33","1.7","1","25","3.8%","19","0","5","10","2","0","0","0","25"
"65","Pharaoh Brown (MIA)","13","23","171","7.4","65","2.8","0","0.0","106","4.6","49","2.1","2","34","6.5%","24","1","0","5","2","0","0","0","29"
"66","Chris Manhertz (NYG)","10","6","71","11.8","45","7.5","0","0.0","26","4.3","5","0.8","0","9","1.5%","6","0","0","4","1","0","0","0","22"
"67","Lee Smith (FA)","10","9","65","7.2","34","3.8","0","0.0","31","3.4","8","0.9","0","11","2.0%","9","0","2","2","1","0","0","0","22"
"68","Jesse James (FA)","5","7","62","8.9","44","6.3","0","0.0","18","2.6","9","1.3","0","8","1.5%","7","0","2","2","0","0","0","0","19"
"69","Jacob Hollister (FA)","7","9","55","6.1","27","3.0","0","0.0","28","3.1","12","1.3","0","14","2.4%","10","1","4","1","0","0","0","0","11"
"70","Ross Dwelley (SF)","4","4","51","12.8","46","11.5","0","0.0","5","1.3","1","0.3","0","5","1.0%","4","0","0","3","1","0","0","0","21"
"71","Adam Shaheen (FA)","9","12","110","9.2","69","5.8","0","0.0","41","3.4","17","1.4","1","16","2.7%","14","2","4","5","1","0","0","0","21"
"72","Eric Saubert (SEA)","10","8","47","5.9","18","2.3","0","0.0","29","3.6","4","0.5","2","12","2.3%","9","1","1","1","0","0","0","0","11"
"73","Antony Auclair (FA)","4","5","47","9.4","22","4.4","0","0.0","25","5.0","11","2.2","1","5","1.0%","5","0","2","2","0","0","0","0","15"
"74","Kylen Granson (PHI)","10","11","106","9.6","30","2.7","0","0.0","76","6.9","20","1.8","0","15","3.0%","11","0","4","4","1","0","0","0","27"
"75","Tommy Sweeney (FA)","7","9","44","4.9","30","3.3","0","0.0","14","1.6","3","0.3","0","12","1.9%","10","1","1","2","0","0","0","0","13"
"76","Chris Herndon IV (FA)","6","4","40","10.0","9","2.3","0","0.0","31","7.8","4","1.0","0","7","1.2%","6","2","1","2","0","0","0","0","17"
"77","Blake Bell (FA)","12","9","87","9.7","20","2.2","0","0.0","67","7.4","13","1.4","0","13","2.0%","10","1","1","3","2","0","0","0","24"
"78","Noah Gray (KC)","7","7","36","5.1","18","2.6","0","0.0","18","2.6","5","0.7","0","10","1.6%","8","1","5","0","0","0","0","0","8"
"79","Sean McKeon (IND)","5","4","27","6.8","17","4.3","0","0.0","10","2.5","3","0.8","1","6","0.9%","4","0","1","2","0","0","0","0","12"
"80","Tyree Jackson (WAS)","3","3","22","7.3","15","5.0","0","0.0","7","2.3","0","0.0","0","7","1.5%","5","0","1","1","0","0","0","0","13"
"81","Drew Sample (CIN)","10","11","81","7.4","-1","-0.1","0","0.0","82","7.5","11","1.0","2","15","2.8%","13","1","0","3","0","0","0","0","19"
"82","Chris Myarick (FA)","5","3","17","5.7","9","3.0","0","0.0","8","2.7","0","0.0","0","6","1.1%","5","2","1","1","0","0","0","0","10"
"83","Josh Oliver (MIN)","11","9","66","7.3","41","4.6","0","0.0","25","2.8","7","0.8","0","15","2.5%","10","0","2","2","0","0","0","0","19"
"84","Luke Farrell (SF)","9","7","56","8.0","28","4.0","0","0.0","28","4.0","15","2.1","0","11","1.9%","8","1","1","2","1","0","0","0","21"
"85","Charlie Woerner (ATL)","8","5","52","10.4","43","8.6","0","0.0","9","1.8","0","0.0","0","6","1.2%","6","0","0","2","1","0","0","0","27"
"86","Tre' McKitty (FA)","6","6","45","7.5","11","1.8","0","0.0","34","5.7","6","1.0","0","8","1.2%","6","0","1","1","0","0","0","0","12"
"87","Darren Fells (FA)","3","4","43","10.8","16","4.0","0","0.0","27","6.8","1","0.3","0","5","0.9%","4","0","0","2","1","0","0","0","24"
"88","Parker Hesse (FA)","4","5","43","8.6","22","4.4","0","0.0","21","4.2","7","1.4","0","6","1.1%","5","0","0","2","0","0","0","0","17"
"89","Garrett Griffin (FA)","5","4","39","9.8","12","3.0","0","0.0","27","6.8","12","3.0","0","4","0.8%","4","0","0","2","0","0","0","0","14"
"90","Kendall Blanton (FA)","4","4","37","9.3","24","6.0","0","0.0","13","3.3","1","0.3","0","7","1.2%","6","2","2","1","1","0","0","0","23"
"91","Tyler Davis (NE)","8","4","35","8.8","22","5.5","0","0.0","13","3.3","5","1.3","0","5","0.9%","5","1","2","1","1","0","0","0","22"
"92","Trevon Wesco (FA)","8","3","35","11.7","6","2.0","0","0.0","29","9.7","8","2.7","0","5","0.9%","3","0","0","2","0","0","0","0","19"
"93","Shane Zylstra (DET)","3","3","34","11.3","28","9.3","0","0.0","6","2.0","0","0.0","0","7","1.2%","4","0","2","2","0","0","0","0","16"
"94","Dominique Dafney (CAR)","6","2","34","17.0","3","1.5","0","0.0","31","15.5","1","0.5","0","4","0.7%","2","0","0","1","1","0","0","0","26"
"95","Colby Parkinson (LAR)","6","5","33","6.6","13","2.6","0","0.0","20","4.0","9","1.8","0","8","1.7%","5","0","2","2","0","0","0","0","12"
"96","Kaden Smith (FA)","4","3","33","11.0","22","7.3","0","0.0","11","3.7","1","0.3","0","3","0.5%","3","0","0","1","1","0","0","0","21"
"97","Jeremy Sprinkle (FA)","6","3","31","10.3","12","4.0","0","0.0","19","6.3","8","2.7","0","3","0.5%","3","0","2","3","0","0","0","0","11"
"98","Tommy Hudson (FA)","4","3","31","10.3","7","2.3","0","0.0","24","8.0","0","0.0","0","6","1.1%","3","0","1","2","0","0","0","0","14"
"99","Jack Stoll (NO)","6","4","22","5.5","2","0.5","0","0.0","20","5.0","6","1.5","0","5","1.1%","4","0","2","0","0","0","0","0","9"
"100","Mitchell Wilcox (FA)","4","3","16","5.3","8","2.7","0","0.0","8","2.7","2","0.7","1","5","0.9%","4","1","0","0","0","0","0","0","8"
"101","Demetrius Harris (FA)","10","3","10","3.3","-3","-1.0","0","0.0","13","4.3","3","1.0","0","6","1.1%","3","0","1","0","0","0","0","0","7"
"102","Darrell Daniels (FA)","10","1","0","0.0","-1","-1.0","0","0.0","1","1.0","0","0.0","0","4","0.7%","3","1","1","0","0","0","0","0","0"
""
""
