Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Ja'Marr Chase (CIN),127,175,1708,13.4,70,19,17,3,32,0,0,17,339.5,20.0,99.4%
2,Justin Jefferson (MIN),103,154,1533,14.9,97,28,10,1,3,0,0,17,266.0,15.6,99.0%
3,Amon-Ra St. Brown (DET),115,141,1263,11.0,66,14,12,2,6,0,1,17,258.7,15.2,99.5%
4,Brian Thomas Jr. (JAC),87,133,1282,14.7,85,18,10,6,48,0,0,17,240.5,14.1,99.0%
5,Drake London (ATL),100,158,1271,12.7,39,12,9,1,-3,0,0,17,230.8,13.6,98.1%
6,Terry McLaurin (WAS),82,117,1096,13.4,86,12,13,2,2,0,1,17,226.8,13.3,96.9%
7,Malik Nabers (NYG),109,170,1204,11.0,59,16,7,5,2,0,0,15,219.1,14.6,99.2%
8,CeeDee Lamb (DAL),101,152,1194,11.8,65,16,6,14,70,0,1,15,212.9,14.2,98.7%
9,Mike Evans (TB),74,110,1004,13.6,57,15,11,0,0,0,0,14,203.4,14.5,97.3%
10,Jaxon Smith-Njigba (SEA),100,137,1130,11.3,46,14,6,5,26,0,0,17,203.0,11.9,97.2%
11,Garrett Wilson (NYJ),101,154,1104,10.9,42,16,7,2,5,0,2,17,201.4,11.8,96.4%
12,Ladd McConkey (LAC),82,112,1149,14.0,60,15,7,0,0,0,0,16,199.9,12.5,98.5%
13,Courtland Sutton (DEN),81,135,1081,13.3,47,17,8,0,0,0,1,17,199.8,11.8,92.1%
14,Davante Adams (LAR),85,141,1063,12.5,71,16,8,0,0,0,0,14,198.8,14.2,96.5%
15,Jerry Jeudy (CLE),90,145,1229,13.7,89,13,4,0,0,0,0,17,195.9,11.5,89.0%
16,DJ Moore (CHI),98,140,966,9.9,44,11,6,14,75,0,1,17,189.1,11.1,94.3%
17,Tee Higgins (CIN),73,109,911,12.5,42,12,10,0,0,0,1,12,185.6,15.5,97.6%
18,A.J. Brown (PHI),67,97,1079,16.1,67,17,7,0,0,0,0,13,183.4,14.1,99.0%
19,Jameson Williams (DET),58,91,1001,17.3,82,17,7,11,61,1,0,15,183.2,12.2,91.3%
20,Jordan Addison (MIN),63,99,875,13.9,69,13,9,3,20,1,0,15,181.0,12.1,88.2%
21,Tyreek Hill (MIA),81,123,959,11.8,80,13,6,8,53,0,0,17,177.7,10.5,97.6%
22,Nico Collins (HOU),68,99,1006,14.8,67,14,7,0,0,0,0,12,176.6,14.7,99.3%
23,Jakobi Meyers (LV),87,129,1027,11.8,43,16,4,2,23,0,0,15,174.5,11.6,84.5%
24,Zay Flowers (BAL),74,116,1059,14.3,53,19,4,9,56,0,0,17,172.5,10.1,93.7%
25,Jauan Jennings (SF),77,113,975,12.7,45,12,6,0,0,0,0,15,172.0,11.5,83.4%
26,Jayden Reed (GB),55,75,857,15.6,70,15,6,20,163,1,1,17,169.5,10.0,81.5%
27,Calvin Ridley (TEN),64,120,1017,15.9,63,19,4,8,55,1,1,17,167.2,9.8,87.7%
28,Puka Nacua (LAR),79,106,990,12.5,51,11,3,11,46,1,0,11,167.1,15.2,98.9%
29,Marvin Harrison Jr. (ARI),62,116,885,14.3,60,14,8,0,0,0,1,17,165.5,9.7,96.1%
30,DeVonta Smith (PHI),68,89,833,12.3,49,14,8,1,1,0,0,13,165.4,12.7,93.2%
31,Darnell Mooney (ATL),64,106,992,15.5,49,21,5,0,0,0,0,16,161.2,10.1,64.9%
32,DK Metcalf (PIT),66,108,992,15.0,71,20,5,0,0,0,2,15,158.2,10.5,95.9%
33,Xavier Worthy (KC),59,98,638,10.8,54,4,6,20,104,3,0,17,157.7,9.3,94.3%
34,Rashod Bateman (BAL),45,72,756,16.8,59,11,9,0,0,0,0,17,152.1,8.9,34.2%
35,Keenan Allen (LAC),70,121,744,10.6,45,9,7,0,0,0,0,15,150.4,10.0,21.1%
36,Josh Downs (IND),72,107,803,11.2,69,10,5,1,12,0,0,14,147.5,10.5,62.4%
37,Quentin Johnston (LAC),55,91,711,12.9,66,12,8,3,6,0,0,15,147.2,9.8,32.9%
38,Khalil Shakir (BUF),76,100,821,10.8,52,9,4,2,4,0,0,15,144.5,9.6,83.2%
39,Alec Pierce (IND),37,69,824,22.3,65,13,7,0,0,0,0,16,142.9,8.9,20.8%
40,Cooper Kupp (SEA),67,100,710,10.6,69,10,6,2,10,0,0,12,141.5,11.8,86.5%
41,Wan'Dale Robinson (NYG),93,140,699,7.5,35,4,3,3,18,0,0,17,136.2,8.0,27.5%
42,George Pickens (DAL),59,103,900,15.3,44,17,3,2,-6,0,1,14,134.9,9.6,91.9%
43,Michael Pittman Jr. (IND),69,111,808,11.7,33,12,3,0,0,0,1,16,131.3,8.2,70.2%
44,Deebo Samuel Sr. (WAS),51,81,670,13.1,76,10,3,42,136,1,1,15,128.1,8.5,86.5%
45,Jalen Tolbert (DAL),49,79,610,12.4,48,8,7,0,0,0,0,17,127.5,7.5,16.0%
46,Jaylen Waddle (MIA),58,83,744,12.8,63,12,2,4,12,0,0,16,120.6,7.5,89.4%
47,Nick Westbrook-Ikhine (MIA),32,60,497,15.5,98,4,9,0,0,0,0,14,119.7,8.6,3.4%
48,DeAndre Hopkins (BAL),56,80,610,10.9,35,6,5,0,0,0,0,16,119.0,7.4,20.0%
49,Rome Odunze (CHI),54,101,734,13.6,47,8,3,3,15,0,1,17,117.9,6.9,86.6%
50,Jalen McMillan (TB),37,58,461,12.5,33,8,8,4,43,0,0,13,116.9,9.0,29.3%
51,Adam Thielen (CAR),48,62,615,12.8,40,9,5,0,0,0,0,10,115.5,11.6,39.0%
52,DeMario Douglas (NE),66,87,621,9.4,36,8,3,3,16,0,0,17,114.7,6.7,23.7%
53,Tank Dell (HOU),51,81,667,13.1,50,9,3,9,43,0,0,14,114.5,8.2,18.3%
54,Chris Godwin (TB),50,62,576,11.5,55,7,5,1,2,0,0,7,112.8,16.1,87.8%
55,Marvin Mims Jr. (DEN),39,52,503,12.9,93,7,6,13,42,0,0,17,110.0,6.5,49.4%
56,Ray-Ray McCloud III (ATL),62,87,686,11.1,60,8,1,10,79,0,2,17,109.5,6.4,3.6%
57,Romeo Doubs (GB),46,72,601,13.1,39,8,4,0,0,0,0,13,109.1,8.4,28.3%
58,Demarcus Robinson (SF),31,64,505,16.3,46,9,7,0,0,0,0,17,108.0,6.4,9.7%
59,Allen Lazard (NYJ),37,60,530,14.3,52,8,6,0,0,0,0,12,107.5,9.0,3.9%
60,Tre Tucker (LV),47,81,539,11.5,58,6,3,9,44,1,0,17,105.8,6.2,4.1%
61,Andrei Iosivas (CIN),36,61,479,13.3,39,7,6,0,0,0,0,17,101.9,6.0,8.1%
62,Michael Wilson (ARI),47,71,548,11.7,41,10,4,1,7,0,1,16,101.0,6.3,11.4%
63,Calvin Austin III (PIT),36,58,548,15.2,55,10,4,0,0,0,1,17,100.8,5.9,11.2%
64,Amari Cooper (FA),44,85,547,12.4,30,8,4,0,0,0,0,13,100.7,7.7,13.3%
65,Xavier Legette (CAR),49,84,497,10.1,35,7,4,6,24,0,0,16,100.6,6.3,31.2%
66,Kayshon Boutte (NE),43,68,589,13.7,48,11,3,0,0,0,0,15,100.4,6.7,13.2%
67,Stefon Diggs (NE),47,64,496,10.6,49,5,3,3,8,1,0,8,98.4,12.3,84.6%
68,Keon Coleman (BUF),29,57,556,19.2,64,12,4,1,9,0,0,13,97.0,7.5,63.4%
69,Tyler Lockett (TEN),49,74,600,12.2,37,7,2,0,0,0,0,17,96.5,5.7,12.8%
70,Dontayvion Wicks (GB),39,76,415,10.6,36,4,5,0,0,0,0,17,91.0,5.4,20.4%
71,Christian Watson (GB),29,53,620,21.4,60,12,2,4,23,0,1,15,90.8,6.1,18.8%
72,Darius Slayton (NYG),39,71,573,14.7,43,9,2,2,17,0,0,16,90.5,5.7,9.9%
73,Elijah Moore (BUF),61,102,538,8.8,44,5,1,1,1,0,0,17,90.4,5.3,4.9%
74,Olamide Zaccheaus (CHI),45,64,506,11.2,49,5,3,1,8,0,1,17,89.9,5.3,1.6%
75,Jalen Nailor (MIN),28,42,414,14.8,33,8,6,3,-4,0,1,17,89.0,5.2,5.7%
76,KaVontae Turpin (DAL),31,52,420,13.5,64,6,2,16,92,0,1,17,88.7,5.2,4.0%
77,Joshua Palmer (BUF),39,65,584,15.0,45,10,1,0,0,0,0,15,87.9,5.9,18.6%
78,Devaughn Vele (DEN),41,55,475,11.6,37,7,3,0,0,0,0,13,86.0,6.6,5.0%
79,Mack Hollins (NE),31,50,378,12.2,44,4,5,0,0,0,0,17,83.3,4.9,2.8%
80,Parker Washington (JAC),32,51,390,12.2,30,6,3,0,0,0,0,17,81.0,4.8,10.4%
81,Ricky Pearsall (SF),31,46,400,12.9,46,5,3,3,45,0,0,11,78.0,7.1,78.8%
82,Tutu Atwell (LAR),42,62,562,13.4,50,10,0,2,7,0,0,17,77.9,4.6,6.5%
83,Jalen Coker (CAR),32,46,478,14.9,83,6,2,0,0,0,0,11,76.6,7.0,11.1%
84,Tim Patrick (DET),33,44,394,11.9,42,6,3,0,0,0,0,16,75.9,4.7,3.0%
85,Marquez Valdes-Scantling (SEA),19,44,411,21.6,71,8,4,1,4,0,0,13,75.0,5.8,5.3%
86,Diontae Johnson (CLE),33,67,375,11.4,39,5,3,2,6,0,0,11,72.6,6.6,17.5%
87,Greg Dortch (ARI),37,50,342,9.2,39,2,3,5,31,0,1,17,71.8,4.2,4.6%
88,Rashid Shaheed (NO),20,41,349,17.5,70,5,3,6,29,0,1,6,69.8,11.6,60.6%
89,David Moore (CAR),32,57,351,11.0,21,2,3,1,0,0,0,17,69.1,4.1,0.8%
90,Noah Brown (WAS),35,56,453,12.9,52,4,1,0,0,0,0,11,68.8,6.3,3.4%
91,Cedric Tillman (CLE),29,49,339,11.7,38,6,3,1,-5,0,1,11,65.9,6.0,26.0%
92,Sterling Shepard (TB),32,51,334,10.4,30,4,1,8,69,0,0,14,64.3,4.6,1.0%
93,Chris Olave (NO),32,44,400,12.5,39,4,1,1,7,0,1,8,60.7,7.6,88.3%
94,Tyler Boyd (FA),39,57,390,10.0,40,4,0,1,3,0,0,15,58.8,3.9,2.4%
95,Christian Kirk (HOU),27,47,379,14.0,61,7,1,0,0,0,0,8,57.4,7.2,38.7%
