"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Davante Adams (LAR)","14","115","1,374","11.9","777","6.8","0","0.0","597","5.2","152","1.3","2","149","29.7%","116","1","28","49","18","10","5","1","56"
"2","Tyreek Hill (MIA)","15","87","1,276","14.7","842","9.7","0","0.0","434","5.0","118","1.4","8","135","22.1%","94","5","17","49","20","11","5","2","75"
"3","Stefon Diggs (NE)","16","127","1,535","12.1","1,071","8.4","0","0.0","464","3.7","170","1.3","5","166","29.0%","137","8","16","62","20","5","5","2","55"
"4","Calvin Ridley (TEN)","15","90","1,374","15.3","1,099","12.2","0","0.0","275","3.1","76","0.8","3","143","23.6%","96","6","20","58","23","8","3","2","63"
"5","DK Metcalf (PIT)","16","83","1,303","15.7","940","11.3","0","0.0","363","4.4","149","1.8","8","129","24.0%","92","8","16","50","17","12","5","3","62"
"6","Justin Jefferson (MIN)","16","88","1,400","15.9","943","10.7","0","0.0","457","5.2","214","2.4","9","125","25.8%","92","2","10","56","23","10","4","2","71"
"7","Adam Thielen (CAR)","15","74","925","12.5","682","9.2","0","0.0","243","3.3","75","1.0","2","108","22.3%","85","7","19","37","11","5","1","1","51"
"8","Mike Evans (TB)","16","70","1,006","14.4","748","10.7","0","0.0","258","3.7","74","1.1","2","109","18.0%","74","4","18","43","20","6","2","1","50"
"9","A.J. Brown (PHI)","14","70","1,075","15.4","648","9.3","0","0.0","427","6.1","216","3.1","13","106","22.6%","76","5","12","46","13","7","5","3","73"
"10","DeAndre Hopkins (BAL)","16","115","1,407","12.2","879","7.6","0","0.0","528","4.6","172","1.5","15","160","29.4%","118","2","13","57","17","11","6","1","60"
"11","Tyler Lockett (TEN)","16","100","1,054","10.5","727","7.3","0","0.0","327","3.3","39","0.4","2","132","24.6%","108","8","16","42","10","5","2","0","47"
"12","Allen Robinson II (FA)","16","102","1,250","12.3","931","9.1","0","0.0","319","3.1","113","1.1","5","151","25.3%","105","3","18","49","22","4","1","0","42"
"13","Robert Woods (PIT)","16","90","936","10.4","438","4.9","0","0.0","498","5.5","72","0.8","2","129","23.0%","94","4","11","37","11","6","1","1","56"
"14","Chase Claypool (FA)","16","62","873","14.1","544","8.8","0","0.0","329","5.3","93","1.5","3","109","16.7%","69","6","13","31","14","9","2","1","84"
"15","Marvin Jones Jr. (FA)","16","76","978","12.9","782","10.3","0","0.0","196","2.6","65","0.9","5","115","20.5%","82","6","14","42","19","3","1","0","43"
"16","Brandin Cooks (NO)","15","81","1,150","14.2","800","9.9","0","0.0","350","4.3","91","1.1","3","119","22.7%","89","2","10","43","20","7","3","2","57"
"17","DJ Moore (CHI)","15","66","1,193","18.1","811","12.3","0","0.0","382","5.8","133","2.0","6","118","22.4%","74","7","9","49","19","11","6","3","74"
"18","Keenan Allen (FA)","14","100","992","9.9","569","5.7","0","0.0","423","4.2","141","1.4","2","147","24.1%","106","3","16","43","10","0","0","0","28"
"19","Amari Cooper (FA)","16","92","1,114","12.1","693","7.5","0","0.0","421","4.6","181","2.0","5","130","21.1%","95","3","14","45","13","7","3","3","69"
"20","CeeDee Lamb (DAL)","16","74","935","12.6","624","8.4","0","0.0","311","4.2","67","0.9","3","111","18.0%","82","8","10","35","18","7","3","1","52"
"21","Nelson Agholor (FA)","16","48","896","18.7","666","13.9","0","0.0","230","4.8","55","1.1","3","82","15.7%","53","5","10","32","15","7","5","3","85"
"22","JuJu Smith-Schuster (KC)","16","97","831","8.6","422","4.4","0","0.0","409","4.2","114","1.2","4","128","19.6%","100","3","17","29","13","1","0","0","31"
"23","Terry McLaurin (WAS)","15","87","1,118","12.9","650","7.5","0","0.0","468","5.4","188","2.2","8","134","23.4%","90","3","12","47","17","6","3","2","68"
"24","William Fuller V (FA)","11","53","879","16.6","588","11.1","0","0.0","291","5.5","66","1.2","4","75","14.3%","59","3","7","33","14","8","4","2","77"
"25","Curtis Samuel (BUF)","15","77","851","11.1","536","7.0","0","0.0","315","4.1","99","1.3","4","97","18.4%","82","5","12","38","12","3","1","0","44"
"26","Diontae Johnson (CLE)","15","88","923","10.5","541","6.1","0","0.0","382","4.3","150","1.7","5","144","22.1%","102","13","10","33","10","5","4","0","47"
"27","Robbie Chosen (FA)","16","95","1,096","11.5","599","6.3","0","0.0","497","5.2","131","1.4","3","136","25.8%","103","7","12","45","16","6","2","1","75"
"28","Tee Higgins (CIN)","16","67","908","13.6","602","9.0","0","0.0","306","4.6","112","1.7","5","108","19.1%","78","8","10","39","14","4","2","2","67"
"29","Corey Davis (FA)","14","65","984","15.1","693","10.7","0","0.0","291","4.5","87","1.3","3","92","19.7%","69","3","7","41","14","5","3","2","75"
"30","Chris Godwin (TB)","12","65","840","12.9","556","8.6","0","0.0","284","4.4","138","2.1","2","84","13.9%","68","3","9","30","13","6","4","0","47"
"31","Cole Beasley (FA)","15","82","967","11.8","615","7.5","0","0.0","352","4.3","96","1.2","1","107","18.7%","85","2","9","42","15","2","0","0","35"
"32","Marquise Brown (KC)","16","58","769","13.3","495","8.5","0","0.0","274","4.7","56","1.0","4","100","25.5%","64","6","10","26","13","7","4","1","70"
"33","Brandon Aiyuk (SF)","12","60","748","12.5","459","7.7","0","0.0","289","4.8","80","1.3","7","96","17.3%","65","5","14","36","10","3","1","0","49"
"34","Cooper Kupp (SEA)","15","92","974","10.6","458","5.0","0","0.0","516","5.6","180","2.0","12","124","22.1%","100","6","12","34","12","5","2","1","55"
"35","Jarvis Landry (FA)","15","72","840","11.7","499","6.9","0","0.0","341","4.7","105","1.5","4","101","21.6%","78","6","15","40","11","2","0","0","32"
"36","Michael Gallup (WAS)","16","59","843","14.3","597","10.1","0","0.0","246","4.2","78","1.3","7","105","17.0%","65","6","12","41","11","5","3","2","55"
"37","Tyler Boyd (FA)","15","79","841","10.6","490","6.2","0","0.0","351","4.4","71","0.9","1","110","19.4%","82","2","13","40","7","1","1","1","72"
"38","Jamison Crowder (FA)","12","59","699","11.8","383","6.5","0","0.0","316","5.4","148","2.5","2","89","19.2%","65","3","8","28","9","4","2","2","69"
"39","Tim Patrick (DET)","15","51","742","14.5","504","9.9","0","0.0","238","4.7","68","1.3","3","79","14.8%","51","0","10","23","14","7","4","1","61"
"40","Russell Gage Jr. (SF)","16","72","786","10.9","505","7.0","0","0.0","281","3.9","96","1.3","4","109","18.0%","79","7","14","36","6","1","0","0","35"
"41","T.Y. Hilton (FA)","15","56","762","13.6","568","10.1","0","0.0","194","3.5","58","1.0","3","93","17.4%","60","3","10","37","11","3","3","1","50"
"42","Mike Williams (FA)","15","48","756","15.8","594","12.4","0","0.0","162","3.4","60","1.3","0","85","13.9%","52","3","10","30","13","5","2","1","64"
"43","Jerry Jeudy (CLE)","16","52","856","16.5","572","11.0","0","0.0","284","5.5","64","1.2","5","113","21.2%","62","10","5","36","14","5","4","1","92"
"44","Marquez Valdes-Scantling (SEA)","16","33","690","20.9","436","13.2","0","0.0","254","7.7","25","0.8","1","63","12.6%","40","7","6","23","10","8","6","3","78"
"45","Emmanuel Sanders (FA)","14","61","726","11.9","556","9.1","0","0.0","170","2.8","45","0.7","3","82","16.1%","64","3","12","26","7","4","2","1","51"
"46","DeVante Parker (FA)","14","63","793","12.6","614","9.7","0","0.0","179","2.8","82","1.3","6","103","18.8%","71","6","13","35","10","1","0","0","31"
"47","Gabe Davis (FA)","16","35","599","17.1","468","13.4","0","0.0","131","3.7","43","1.2","1","62","10.8%","38","3","10","25","10","5","3","2","56"
"48","DJ Chark Jr. (ATL)","13","53","706","13.3","541","10.2","0","0.0","165","3.1","45","0.8","0","93","15.9%","55","2","11","32","10","2","2","1","73"
"49","Keelan Cole Sr. (FA)","16","55","642","11.7","467","8.5","0","0.0","175","3.2","62","1.1","1","88","15.0%","61","6","10","25","8","2","1","1","51"
"50","Laviska Shenault Jr. (BUF)","14","58","600","10.3","302","5.2","0","0.0","298","5.1","111","1.9","8","79","13.5%","61","3","10","25","10","2","0","0","36"
"51","Christian Kirk (HOU)","14","48","621","12.9","446","9.3","0","0.0","175","3.6","23","0.5","1","79","14.5%","50","2","12","19","7","5","3","2","80"
"52","Sterling Shepard (TB)","12","66","656","9.9","452","6.8","0","0.0","204","3.1","53","0.8","2","90","18.0%","67","1","10","30","10","0","0","0","29"
"53","Julio Jones (FA)","9","51","771","15.1","540","10.6","0","0.0","231","4.5","94","1.8","7","68","11.2%","54","3","8","32","16","4","2","0","44"
