Draft_ID,Season,Pick_No,Round,Draft_Slot,Player_Name,Position,Team,Picked_By_Username,Is_Keeper
862385097360392193,2022,1,1,1,Jonathan Taylor,RB,IND,freddychips,
862385097360392193,2022,2,1,2,Christian McCaffrey,RB,SF,lilmelo,
862385097360392193,2022,3,1,3,Austin Ekeler,RB,WAS,davesiss,
862385097360392193,2022,4,1,4,Derrick Henry,RB,BAL,Grasshoppaz,
862385097360392193,2022,5,1,5,Cooper Kupp,WR,SEA,jetsnation36,
862385097360392193,2022,6,1,6,Najee Harris,RB,LAC,gkflo,
862385097360392193,2022,7,1,7,Dalvin Cook,RB,,BigFish0,
862385097360392193,2022,8,1,8,Justin Jefferson,WR,MIN,coreyreisch,
862385097360392193,2022,9,1,9,Ja'Marr Chase,WR,CIN,roneill19,
862385097360392193,2022,10,1,10,Joe Mixon,RB,HOU,NickMarraro,
862385097360392193,2022,11,1,11,Saquon Barkley,RB,PHI,bwizzle127,
862385097360392193,2022,12,1,12,Alvin Kamara,RB,NO,tombiancamano,
862385097360392193,2022,13,2,12,Stefon Diggs,WR,NE,tombiancamano,
862385097360392193,2022,14,2,11,D'Andre Swift,RB,CHI,bwizzle127,
862385097360392193,2022,15,2,10,Davante Adams,WR,LAR,NickMarraro,
862385097360392193,2022,16,2,9,Travis Kelce,TE,KC,roneill19,
862385097360392193,2022,17,2,8,Deebo Samuel,WR,WAS,coreyreisch,
862385097360392193,2022,18,2,7,Javonte Williams,RB,DAL,BigFish0,
862385097360392193,2022,19,2,6,Nick Chubb,RB,HOU,gkflo,
862385097360392193,2022,20,2,5,Leonard Fournette,RB,,jetsnation36,
862385097360392193,2022,21,2,4,Ezekiel Elliott,RB,,Grasshoppaz,
862385097360392193,2022,22,2,3,Aaron Jones,RB,MIN,davesiss,
862385097360392193,2022,23,2,2,CeeDee Lamb,WR,DAL,lilmelo,
862385097360392193,2022,24,2,1,Tyreek Hill,WR,MIA,freddychips,
862385097360392193,2022,25,3,1,Josh Allen,QB,BUF,freddychips,
862385097360392193,2022,26,3,2,Mark Andrews,TE,BAL,lilmelo,
862385097360392193,2022,27,3,3,Tee Higgins,WR,CIN,davesiss,
862385097360392193,2022,28,3,4,Mike Evans,WR,TB,Grasshoppaz,
862385097360392193,2022,29,3,5,James Conner,RB,ARI,jetsnation36,
862385097360392193,2022,30,3,6,Patrick Mahomes,QB,KC,gkflo,
862385097360392193,2022,31,3,7,Michael Pittman,WR,IND,BigFish0,
862385097360392193,2022,32,3,8,A.J. Brown,WR,PHI,coreyreisch,
862385097360392193,2022,33,3,9,Travis Etienne,RB,JAX,roneill19,
862385097360392193,2022,34,3,10,Kyle Pitts,TE,ATL,NickMarraro,
862385097360392193,2022,35,3,11,Courtland Sutton,WR,DEN,bwizzle127,
862385097360392193,2022,36,3,12,Keenan Allen,WR,,tombiancamano,
862385097360392193,2022,37,4,12,Cam Akers,RB,NO,tombiancamano,
862385097360392193,2022,38,4,11,Lamar Jackson,QB,BAL,bwizzle127,
862385097360392193,2022,39,4,10,Justin Herbert,QB,LAC,NickMarraro,
862385097360392193,2022,40,4,9,Mike Williams,WR,,roneill19,
862385097360392193,2022,41,4,8,Clyde Edwards-Helaire,RB,NO,coreyreisch,
862385097360392193,2022,42,4,7,DJ Moore,WR,CHI,BigFish0,
862385097360392193,2022,43,4,6,Josh Jacobs,RB,GB,gkflo,
862385097360392193,2022,44,4,5,Jaylen Waddle,WR,MIA,jetsnation36,
862385097360392193,2022,45,4,4,Terry McLaurin,WR,WAS,Grasshoppaz,
862385097360392193,2022,46,4,3,David Montgomery,RB,DET,davesiss,
862385097360392193,2022,47,4,2,Diontae Johnson,WR,CLE,lilmelo,
862385097360392193,2022,48,4,1,George Kittle,TE,SF,freddychips,
862385097360392193,2022,49,5,1,J.K. Dobbins,RB,DEN,freddychips,
862385097360392193,2022,50,5,2,Elijah Mitchell,RB,KC,lilmelo,
862385097360392193,2022,51,5,3,Hollywood Brown,WR,KC,davesiss,
862385097360392193,2022,52,5,4,Darren Waller,TE,MIA,Grasshoppaz,
862385097360392193,2022,53,5,5,Brandin Cooks,WR,NO,jetsnation36,
862385097360392193,2022,54,5,6,Jerry Jeudy,WR,CLE,gkflo,
862385097360392193,2022,55,5,7,Allen Robinson,WR,,BigFish0,
862385097360392193,2022,56,5,8,Chase Edmonds,RB,,coreyreisch,
862385097360392193,2022,57,5,9,A.J. Dillon,RB,PHI,roneill19,
862385097360392193,2022,58,5,10,DK Metcalf,WR,PIT,NickMarraro,
862385097360392193,2022,59,5,11,Chris Godwin,WR,TB,bwizzle127,
862385097360392193,2022,60,5,12,Breece Hall,RB,NYJ,tombiancamano,
862385097360392193,2022,61,6,12,Amon-Ra St. Brown,WR,DET,tombiancamano,
862385097360392193,2022,62,6,11,Dameon Pierce,RB,HOU,bwizzle127,
862385097360392193,2022,63,6,10,Antonio Gibson,RB,NE,NickMarraro,
862385097360392193,2022,64,6,9,Kyler Murray,QB,ARI,roneill19,
862385097360392193,2022,65,6,8,Rashod Bateman,WR,BAL,coreyreisch,
862385097360392193,2022,66,6,7,Jalen Hurts,QB,PHI,BigFish0,
862385097360392193,2022,67,6,6,JuJu Smith-Schuster,WR,KC,gkflo,
862385097360392193,2022,68,6,5,Darnell Mooney,WR,ATL,jetsnation36,
862385097360392193,2022,69,6,4,Amari Cooper,WR,,Grasshoppaz,
862385097360392193,2022,70,6,3,Gabe Davis,WR,,davesiss,
862385097360392193,2022,71,6,2,Devin Singletary,RB,NYG,lilmelo,
862385097360392193,2022,72,6,1,Hunter Renfrow,WR,CAR,freddychips,
862385097360392193,2022,73,7,1,Cordarrelle Patterson,RB,,freddychips,
