"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Travis Kelce (KC)","15","105","1,416","13.5","833","7.9","0","0.0","583","5.6","261","2.5","10","145","23.7%","110","2","20","67","23","4","2","0","45"
"2","Darren Waller (MIA)","16","107","1,196","11.2","624","5.8","0","0.0","572","5.3","215","2.0","7","145","27.7%","112","4","22","44","16","3","0","0","38"
"3","Robert Tonyan (KC)","16","52","586","11.3","352","6.8","0","0.0","234","4.5","28","0.5","0","59","11.8%","52","0","11","22","9","3","1","0","45"
"4","Mark Andrews (BAL)","14","58","701","12.1","519","8.9","0","0.0","182","3.1","69","1.2","2","88","22.4%","64","5","16","31","10","3","0","0","39"
"5","T.J. Hockenson (MIN)","16","67","723","10.8","394","5.9","0","0.0","329","4.9","78","1.2","4","101","18.0%","74","7","15","33","6","2","1","1","51"
"6","Mike Gesicki (CIN)","15","53","703","13.3","539","10.2","0","0.0","164","3.1","66","1.2","0","85","15.5%","57","2","14","29","10","2","1","1","70"
"7","Logan Thomas (FA)","16","72","670","9.3","382","5.3","0","0.0","288","4.0","93","1.3","3","110","19.2%","80","7","17","26","5","1","0","0","30"
"8","Rob Gronkowski (FA)","16","45","623","13.8","377","8.4","0","0.0","246","5.5","92","2.0","1","77","12.7%","47","2","14","22","10","4","2","0","48"
"9","Jonnu Smith (PIT)","15","41","448","10.9","210","5.1","0","0.0","238","5.8","58","1.4","2","65","13.9%","45","3","17","17","4","2","1","1","63"
"10","Jimmy Graham (FA)","16","50","456","9.1","258","5.2","0","0.0","198","4.0","37","0.7","1","76","12.8%","51","1","19","21","4","1","0","0","30"
"11","Hayden Hurst (FA)","16","56","571","10.2","302","5.4","0","0.0","269","4.8","40","0.7","2","88","14.5%","59","3","15","24","5","2","1","0","42"
"12","Jared Cook (FA)","15","37","504","13.6","380","10.3","0","0.0","124","3.4","60","1.6","2","60","11.8%","39","2","12","21","6","3","3","0","46"
