Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Travis Kelce (KC),105,145,1416,13.5,45,23,11,0,0,0,1,15,260.3,17.4,95.9%
2,Darren Waller (MIA),107,145,1196,11.2,38,16,9,0,0,0,2,16,225.1,14.1,23.6%
3,Robert Tonyan (KC),52,59,586,11.3,45,9,11,0,0,0,0,16,150.6,9.4,0.0%
4,T.J. Hockenson (MIN),67,101,723,10.8,51,6,6,1,0,0,1,16,141.8,8.9,94.8%
5,Mark Andrews (BAL),58,88,701,12.1,39,10,7,0,0,0,0,14,141.1,10.1,93.7%
6,Logan Thomas (FA),72,110,670,9.3,30,5,6,3,5,0,0,16,140.6,8.8,0.0%
7,Mike Gesicki (CIN),53,85,703,13.3,70,10,6,0,0,0,0,15,132.8,8.9,23.8%
8,Rob Gronkowski (FA),45,77,623,13.8,48,10,7,0,0,0,0,16,126.8,7.9,1.3%
9,Hayden Hurst (FA),56,88,571,10.2,42,5,6,0,0,0,0,16,121.1,7.6,1.3%
10,Jonnu Smith (PIT),41,65,448,10.9,63,4,8,2,4,1,0,15,119.7,8.0,72.5%
11,Jimmy Graham (FA),50,76,456,9.1,30,4,8,0,0,0,0,16,118.6,7.4,0.0%
12,Noah Fant (CIN),62,93,673,10.9,37,8,3,0,0,0,0,15,118.3,7.9,16.9%
13,Hunter Henry (NE),60,93,613,10.2,33,5,4,0,0,0,0,14,115.3,8.2,51.2%
14,Dalton Schultz (HOU),63,89,615,9.8,28,3,4,0,0,0,1,16,115.0,7.2,15.6%
15,Eric Ebron (FA),56,91,558,10.0,27,6,5,0,0,0,1,15,113.8,7.6,0.0%
16,Evan Engram (DEN),63,109,654,10.4,53,6,1,6,26,1,1,16,109.5,6.8,88.9%
17,Jared Cook (FA),37,60,504,13.6,46,6,7,0,0,0,1,15,108.9,7.3,0.0%
18,Tyler Higbee (LAR),44,60,521,11.8,44,9,5,1,1,0,0,15,106.2,7.1,16.5%
19,George Kittle (SF),48,63,634,13.2,44,8,2,2,17,0,0,8,101.1,12.6,98.2%
20,Dallas Goedert (PHI),46,65,524,11.4,41,7,3,0,0,0,0,11,93.4,8.5,78.4%
21,Austin Hooper (NE),46,70,435,9.5,36,3,4,0,0,0,0,13,90.5,7.0,4.7%
22,Irv Smith Jr. (HOU),30,43,365,12.2,36,6,5,0,0,0,0,13,83.5,6.4,0.0%
23,Dan Arnold (FA),31,45,438,14.1,59,8,4,0,0,0,1,16,81.3,5.1,0.0%
24,Gerald Everett (FA),41,62,417,10.2,40,3,1,1,2,1,1,16,72.4,4.5,1.4%
25,Trey Burton (FA),28,47,250,8.9,20,1,3,2,3,2,0,13,69.3,5.3,0.0%
26,Darren Fells (FA),21,28,312,14.9,44,3,4,0,0,0,0,16,65.7,4.1,0.0%
27,Jordan Akins (FA),37,49,403,10.9,26,7,1,1,4,0,0,13,65.2,5.0,1.0%
28,Tyler Eifert (FA),36,60,349,9.7,28,1,2,0,0,0,0,15,64.9,4.3,0.0%
29,Mo Alie-Cox (IND),31,39,394,12.7,45,6,2,0,0,0,1,15,64.9,4.3,0.6%
30,Anthony Firkser (FA),39,53,387,9.9,45,4,1,0,0,0,0,16,64.2,4.0,0.0%
31,Jordan Reed (FA),26,46,231,8.9,26,1,4,0,0,0,0,10,60.1,6.0,19.0%
32,Zach Ertz (WAS),36,72,335,9.3,42,4,1,0,0,0,0,11,59.5,5.4,43.2%
33,Drew Sample (CIN),40,53,349,8.7,23,1,1,0,0,0,1,16,58.9,3.7,0.6%
34,Richard Rodgers (FA),24,31,345,14.4,33,5,2,0,0,0,0,14,58.5,4.2,0.0%
35,Chris Herndon IV (FA),31,46,287,9.3,26,3,3,0,0,0,2,16,58.2,3.6,0.0%
36,Dawson Knox (BUF),24,44,288,12.0,36,3,3,0,0,0,2,12,54.8,4.6,5.6%
37,Cameron Brate (FA),28,34,282,10.1,25,2,2,0,0,0,0,16,54.2,3.4,2.0%
38,Jacob Hollister (FA),25,40,209,8.4,20,1,3,0,0,0,0,16,53.4,3.3,1.0%
