"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Austin Ekeler (WAS)","46","194","4.2","11","69.7%","18","25","72.0%","65","3.6","5","89.3%","0","17","121.9","7.2","62.0%"
"2","Jamaal Williams (FA)","53","104","2.0","14","64.6%","2","2","100.0%","5","2.5","0","10.0%","1","17","92.9","5.5","1.1%"
"3","Derrick Henry (BAL)","40","134","3.4","11","93.0%","4","6","66.7%","17","4.3","0","42.9%","0","16","85.2","5.3","98.7%"
"4","Ezekiel Elliott (FA)","39","111","2.8","12","60.0%","2","2","100.0%","3","1.5","0","15.4%","0","15","83.4","5.6","5.0%"
"5","Christian McCaffrey (SF)","35","93","2.7","7","57.4%","7","12","58.3%","50","7.1","3","75.0%","0","17","74.3","4.4","98.5%"
"6","Josh Jacobs (GB)","38","129","3.4","10","86.4%","2","4","50.0%","7","3.5","0","40.0%","0","17","73.6","4.3","98.5%"
"7","Miles Sanders (DAL)","44","134","3.0","10","64.7%","0","0","0%","0","0","0","0.0%","0","17","73.4","4.3","10.9%"
"8","Najee Harris (LAC)","34","121","3.6","6","68.0%","4","7","57.1%","19","4.8","3","53.8%","0","17","68.2","4.0","68.3%"
"9","Nick Chubb (HOU)","41","96","2.3","9","62.1%","0","0","0%","0","0","0","0.0%","0","17","63.6","3.7","44.9%"
"10","Joe Mixon (HOU)","38","97","2.6","6","70.4%","8","12","66.7%","39","4.9","2","57.1%","0","15","61.6","4.1","95.0%"
"11","Saquon Barkley (PHI)","37","105","2.8","8","72.5%","0","2","0.0%","0","0","0","50.0%","0","16","58.5","3.7","99.0%"
"12","Kenneth Walker III (SEA)","43","148","3.4","7","81.1%","1","1","100.0%","4","4.0","0","16.7%","0","15","57.2","3.8","95.3%"
"13","Tony Pollard (TEN)","23","99","4.3","6","35.4%","5","9","55.6%","38","7.6","1","69.2%","0","16","55.7","3.5","88.9%"
"14","Cordarrelle Patterson (FA)","28","129","4.6","7","33.7%","1","3","33.3%","2","2.0","0","42.9%","0","13","55.1","4.2","0.9%"
"15","Jerick McKinnon (FA)","20","48","2.4","0","31.7%","11","15","73.3%","68","6.2","7","68.2%","0","17","53.6","3.2","0.0%"
"16","D'Andre Swift (CHI)","23","111","4.8","5","28.0%","9","13","69.2%","62","6.9","1","65.0%","0","14","53.3","3.8","90.2%"
"17","Dalvin Cook (FA)","39","88","2.3","6","78.0%","5","10","50.0%","40","8.0","1","58.8%","1","17","52.8","3.1","0.6%"
"18","James Conner (ARI)","25","82","3.3","6","67.6%","3","4","75.0%","19","6.3","1","66.7%","0","13","52.1","4.0","93.4%"
"19","David Montgomery (DET)","34","120","3.5","5","56.7%","3","3","100.0%","15","5.0","1","42.9%","0","16","49.5","3.1","93.9%"
"20","Cam Akers (NO)","26","76","2.9","7","63.4%","1","2","50.0%","1","1.0","0","25.0%","1","15","47.7","3.2","2.9%"
"21","A.J. Dillon (PHI)","27","92","3.4","6","47.4%","2","3","66.7%","12","6.0","0","23.1%","0","17","46.4","2.7","5.6%"
"22","Leonard Fournette (FA)","27","42","1.6","3","73.0%","10","10","100.0%","51","5.1","3","55.6%","0","16","45.3","2.8","0.0%"
"23","Jeff Wilson Jr. (FA)","27","88","3.3","4","52.9%","4","5","80.0%","33","8.3","1","31.3%","0","16","42.1","2.6","1.0%"
"24","Aaron Jones Sr. (MIN)","29","101","3.5","2","50.9%","9","10","90.0%","34","3.8","3","76.9%","1","17","41.5","2.4","90.1%"
"25","Clyde Edwards-Helaire (NO)","11","27","2.5","3","17.5%","6","6","100.0%","28","4.7","3","27.3%","0","10","41.5","4.2","4.3%"
"26","D'Onta Foreman (FA)","35","112","3.2","5","66.0%","1","1","100.0%","-4","-4.0","0","33.3%","0","16","40.8","2.6","2.7%"
"27","Devin Singletary (NYG)","34","88","2.6","4","58.6%","5","8","62.5%","16","3.2","1","47.1%","0","17","40.4","2.4","4.7%"
"28","Antonio Gibson (NE)","26","52","2.0","3","49.1%","3","6","50.0%","29","9.7","2","54.5%","0","15","38.1","2.5","12.7%"
"29","Samaje Perine (CIN)","16","35","2.2","2","29.6%","6","8","75.0%","40","6.7","3","38.1%","0","16","37.5","2.3","3.6%"
"30","Travis Etienne Jr. (JAC)","41","148","3.6","4","82.0%","4","6","66.7%","3","0.8","0","85.7%","1","17","37.1","2.2","82.1%"
"31","Latavius Murray (FA)","10","33","3.3","5","27.8%","0","0","0%","0","0","0","0.0%","0","14","33.3","2.4","0.0%"
"32","Raheem Mostert (LV)","20","60","3.0","2","39.2%","5","6","83.3%","24","4.8","2","37.5%","0","16","32.4","2.0","10.5%"
"33","Isiah Pacheco (KC)","30","84","2.8","4","47.6%","1","1","100.0%","9","9.0","0","4.5%","1","17","31.3","1.8","91.1%"
"34","Alexander Mattison (MIA)","9","40","4.4","3","18.0%","5","5","100.0%","33","6.6","1","29.4%","0","17","31.3","1.8","8.4%"
"35","Khalil Herbert (IND)","19","66","3.5","4","31.7%","1","2","50.0%","-2","-2.0","0","28.6%","0","13","30.4","2.3","3.9%"
"36","Kenneth Gainwell (PIT)","14","53","3.8","4","20.6%","1","3","33.3%","5","5.0","0","100.0%","0","17","29.8","1.8","2.1%"
"37","Tyler Allgeier (ATL)","33","116","3.5","3","39.8%","0","0","0%","0","0","0","0.0%","0","16","29.6","1.9","43.1%"
"38","Rhamondre Stevenson (NE)","32","53","1.7","3","64.0%","5","6","83.3%","20","4.0","1","46.2%","1","17","29.3","1.7","77.0%"
"39","Dameon Pierce (HOU)","33","62","1.9","3","51.6%","2","2","100.0%","5","2.5","1","10.5%","1","13","28.7","2.2","10.6%"
"40","Alvin Kamara (NO)","24","56","2.3","2","66.7%","7","11","63.6%","41","5.9","1","68.8%","1","15","25.7","1.7","95.5%"
"41","Kareem Hunt (KC)","24","56","2.3","2","36.4%","4","8","50.0%","14","3.5","1","100.0%","0","17","25.0","1.5","25.5%"
"42","Jonathan Taylor (IND)","32","65","2.0","3","65.3%","2","3","66.7%","5","2.5","0","18.8%","0","12","25.0","2.1","98.3%"
"43","Brian Robinson Jr. (WAS)","24","52","2.2","2","45.3%","1","1","100.0%","14","14.0","1","9.1%","0","12","24.6","2.1","87.1%"
"44","Breece Hall (NYJ)","15","49","3.3","2","23.4%","3","5","60.0%","17","5.7","1","29.4%","0","7","24.6","3.5","96.3%"
"45","Michael Carter (ARI)","19","46","2.4","3","29.7%","4","7","57.1%","19","4.8","0","41.2%","0","16","24.5","1.5","1.1%"
"46","Kenyan Drake (FA)","15","28","1.9","2","28.8%","4","5","80.0%","30","7.5","1","62.5%","0","12","23.8","2.0","1.1%"
"47","James Robinson (FA)","19","41","2.2","1","29.7%","2","3","66.7%","10","5.0","2","17.6%","0","11","23.1","2.1","0.0%"
"48","Dontrell Hilliard (FA)","0","0","0","0","0.0%","5","7","71.4%","46","9.2","3","50.0%","0","12","22.6","1.9","0.0%"
"49","Damien Harris (FA)","11","42","3.8","3","22.0%","4","6","66.7%","4","1.0","0","46.2%","0","11","22.6","2.1","4.6%"
"50","Darrell Henderson Jr. (FA)","10","36","3.6","3","24.4%","1","2","50.0%","7","7.0","0","25.0%","0","10","22.3","2.2","0.0%"
"51","Rachaad White (TB)","10","21","2.1","1","27.0%","6","8","75.0%","19","3.2","2","44.4%","0","17","22.0","1.3","67.5%"
"52","J.K. Dobbins (DEN)","14","36","2.6","2","26.9%","1","2","50.0%","1","1.0","1","25.0%","0","8","21.7","2.7","73.4%"
"53","Eno Benjamin (FA)","14","65","4.6","2","21.9%","4","5","80.0%","27","6.8","0","26.3%","0","13","21.2","1.6","0.0%"
"54","Chase Edmonds (FA)","5","4","0.8","2","13.9%","3","4","75.0%","28","9.3","1","28.6%","0","13","21.2","1.6","0.0%"
"55","Gus Edwards (FA)","14","30","2.1","3","26.9%","0","0","0%","0","0","0","0.0%","0","9","21.0","2.3","1.3%"
"56","Raheem Blackshear (CAR)","5","19","3.8","3","9.4%","1","1","100.0%","0","0.0","0","33.3%","0","13","19.9","1.5","1.0%"
"57","Nyheim Miller-Hines (LAC)","6","4","0.7","1","12.2%","7","8","87.5%","54","7.7","1","50.0%","0","16","17.8","1.1","0.0%"
"58","Chuba Hubbard (CAR)","11","42","3.8","2","20.8%","1","1","100.0%","6","6.0","0","33.3%","0","14","16.8","1.2","95.0%"
"59","Justin Jackson (FA)","5","27","5.4","1","6.1%","3","4","75.0%","19","6.3","1","20.0%","0","15","16.6","1.1","0.0%"
"60","Deon Jackson (FA)","7","28","4.0","1","14.3%","3","3","100.0%","16","5.3","1","18.8%","0","12","16.4","1.4","0.0%"
"61","Joshua Kelley (FA)","13","24","1.8","2","19.7%","1","1","100.0%","8","8.0","0","3.6%","0","12","15.2","1.3","0.0%"
"62","Caleb Huntley (FA)","20","91","4.6","1","24.1%","0","0","0%","0","0","0","0.0%","0","12","15.1","1.3","0.0%"
"63","Boston Scott (FA)","10","23","2.3","2","14.7%","0","0","0%","0","0","0","0.0%","0","15","14.3","1.0","0.0%"
"64","Kyle Juszczyk (SF)","4","19","4.8","1","6.6%","2","2","100.0%","3","1.5","1","12.5%","0","13","14.2","1.1","0.9%"
"65","Alec Ingold (MIA)","2","1","0.5","1","3.9%","2","2","100.0%","15","7.5","1","12.5%","0","13","13.6","1.0","0.6%"
"66","Melvin Gordon III (FA)","14","18","1.3","2","38.9%","2","2","100.0%","14","7.0","0","14.3%","1","10","13.2","1.3","0.0%"
"67","Tevin Coleman (FA)","4","3","0.8","1","6.6%","1","1","100.0%","9","9.0","1","6.3%","0","3","13.2","4.4","0.0%"
"68","C.J. Ham (MIN)","2","4","2.0","2","4.0%","2","2","100.0%","7","3.5","0","11.8%","0","12","13.1","1.1","0.6%"
"69","Zander Horvath (FA)","1","3","3.0","0","1.5%","2","2","100.0%","2","1.0","2","7.1%","0","8","12.5","1.6","1.2%"
"70","Jaylen Warren (PIT)","12","40","3.3","1","24.0%","4","4","100.0%","20","5.0","0","30.8%","0","16","12.0","0.8","85.0%"
"71","James Cook (BUF)","13","32","2.5","0","22.4%","3","6","50.0%","24","8.0","1","35.3%","0","17","11.6","0.7","97.6%"
"72","Matt Breida (FA)","10","42","4.2","1","19.6%","0","0","0%","0","0","0","0.0%","0","17","10.2","0.6","0.0%"
"73","Ameer Abdullah (SF)","1","3","3.0","0","2.3%","4","5","80.0%","38","9.5","1","50.0%","0","16","10.1","0.6","0.6%"
"74","Zonovan Knight (ARI)","9","25","2.8","1","14.1%","2","2","100.0%","9","4.5","0","11.8%","0","7","9.4","1.3","0.0%"
"75","Rex Burkhead (FA)","3","0","0.0","0","4.7%","6","9","66.7%","30","5.0","1","47.4%","0","15","9.0","0.6","10.0%"
