"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"76","Reggie Gilliam (BUF)","0","0","0","0","0.0%","3","3","100.0%","26","8.7","1","17.6%","0","11","8.6","0.8","0.0%"
"77","Brandon Bolden (FA)","3","7","2.3","0","6.8%","1","1","100.0%","18","18.0","1","10.0%","0","12","8.5","0.7","0.0%"
"78","Dare Ogunbowale (HOU)","7","25","3.6","1","10.9%","0","2","0.0%","0","0","0","10.5%","0","15","8.5","0.6","1.5%"
"79","Gary Brightwell (CIN)","4","7","1.8","1","7.8%","2","2","100.0%","18","9.0","0","50.0%","0","15","8.5","0.6","0.0%"
"80","JaMycal Hasty (NE)","8","15","1.9","1","16.0%","1","1","100.0%","9","9.0","0","14.3%","0","14","8.4","0.6","1.1%"
"81","Travis Homer (CHI)","3","4","1.3","0","5.7%","1","1","100.0%","18","18.0","1","16.7%","0","12","8.2","0.7","0.6%"
"82","Kevin Harris (FA)","3","18","6.0","1","6.0%","0","0","0%","0","0","0","0.0%","0","5","7.8","1.6","0.0%"
"83","Avery Williams (PHI)","2","6","3.0","1","2.4%","3","3","100.0%","11","3.7","0","42.9%","0","17","7.7","0.5","0.6%"
"84","Salvon Ahmed (IND)","2","16","8.0","1","3.9%","0","0","0%","0","0","0","0.0%","0","7","7.6","1.1","0.0%"
"85","Mark Ingram II (FA)","7","23","3.3","1","19.4%","4","5","80.0%","11","2.8","0","31.3%","1","10","7.4","0.7","0.6%"
"86","Jordan Mason (MIN)","2","13","6.5","1","3.3%","0","0","0%","0","0","0","0.0%","0","12","7.3","0.6","73.6%"
"87","Keaontay Ingram (KC)","8","11","1.4","1","21.6%","1","1","100.0%","-1","-1.0","0","16.7%","0","11","7.0","0.6","0.0%"
"88","Darrel Williams (FA)","4","8","2.0","1","10.8%","0","1","0.0%","0","0","0","16.7%","0","5","6.8","1.4","0.0%"
"89","Chris Evans (FA)","0","0","0","0","0.0%","1","1","100.0%","8","8.0","1","4.8%","0","10","6.8","0.7","0.0%"
"90","Ty Montgomery II (FA)","0","0","0","0","0.0%","1","1","100.0%","6","6.0","1","7.7%","0","1","6.6","6.6","0.0%"
"91","Pierre Strong Jr. (CLE)","3","5","1.7","1","6.0%","0","0","0%","0","0","0","0.0%","0","10","6.5","0.7","1.1%"
"92","Derek Watt (FA)","1","2","2.0","0","2.0%","2","2","100.0%","2","1.0","1","15.4%","0","12","6.4","0.5","0.0%"
"93","Benny Snell Jr. (FA)","2","4","2.0","1","4.0%","0","0","0%","0","0","0","0.0%","0","9","6.4","0.7","0.0%"
"94","Marlon Mack (FA)","1","3","3.0","1","2.8%","0","0","0%","0","0","0","0.0%","0","8","6.3","0.8","0.0%"
"95","Snoop Conner (FA)","1","3","3.0","1","2.0%","0","0","0%","0","0","0","0.0%","0","5","6.3","1.3","0.0%"
"96","Elijah Mitchell (KC)","10","39","3.9","0","16.4%","1","1","100.0%","-1","-1.0","0","6.3%","0","5","3.8","0.8","5.3%"
"97","Malik Davis (FA)","3","16","5.3","0","4.6%","2","2","100.0%","15","7.5","0","15.4%","0","6","3.1","0.5","1.1%"
"98","Royce Freeman (FA)","7","25","3.6","0","10.9%","0","0","0%","0","0","0","0.0%","0","5","2.5","0.5","0.0%"
"99","Jordan Wilkins (FA)","4","13","3.3","0","8.2%","2","2","100.0%","6","3.0","0","12.5%","0","4","1.9","0.5","0.0%"
"100","Trestan Ebner (FA)","6","16","2.7","0","10.0%","0","0","0%","0","0","0","0.0%","0","11","1.6","0.1","0.0%"
"101","Ronnie Rivers (LAR)","1","1","1.0","0","2.4%","1","1","100.0%","14","14.0","0","12.5%","0","2","1.5","0.8","1.1%"
"102","Justice Hill (BAL)","4","15","3.8","0","7.7%","0","0","0%","0","0","0","0.0%","0","15","1.5","0.1","20.8%"
"103","Patrick Ricard (BAL)","2","3","1.5","0","3.8%","1","1","100.0%","12","12.0","0","12.5%","0","13","1.5","0.1","0.8%"
"104","DeeJay Dallas (ARI)","2","4","2.0","0","3.8%","2","2","100.0%","11","5.5","0","33.3%","0","15","1.5","0.1","0.1%"
"105","Sony Michel (FA)","6","11","1.8","0","9.1%","0","0","0%","0","0","0","0.0%","0","10","1.1","0.1","0.0%"
"106","Rashaad Penny (FA)","5","5","1.0","0","9.4%","1","1","100.0%","4","4.0","0","16.7%","0","5","0.9","0.2","0.0%"
"107","Craig Reynolds (DET)","1","5","5.0","0","1.2%","0","0","0%","0","0","0","0.0%","0","7","0.5","0.1","1.1%"
"108","Spencer Brown (FA)","2","5","2.5","0","3.8%","0","0","0%","0","0","0","0.0%","0","2","0.5","0.3","0.0%"
"109","Tony Jones Jr. (FA)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","0","16.7%","0","3","0.5","0.2","0.0%"
"110","Malcolm Brown (FA)","4","1","0.3","0","9.8%","1","2","50.0%","3","3.0","0","25.0%","0","7","0.4","0.1","0.0%"
"111","Adam Prentice (FA)","2","4","2.0","0","5.6%","0","0","0%","0","0","0","0.0%","0","6","0.4","0.1","0.0%"
"112","Mike Davis (FA)","3","4","1.3","0","5.8%","0","0","0%","0","0","0","0.0%","0","5","0.4","0.1","1.0%"
"113","D'Ernest Johnson (BAL)","1","4","4.0","0","1.5%","0","0","0%","0","0","0","0.0%","0","10","0.4","0.0","1.0%"
"114","Jonathan Ward (NYG)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","7.1%","0","4","0.4","0.1","0.0%"
"115","Duke Johnson Jr. (FA)","1","4","4.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","1","0.4","0.4","0.0%"
"116","Jonathan Williams (FA)","2","3","1.5","0","3.8%","0","0","0%","0","0","0","0.0%","0","9","0.3","0.0","0.0%"
"117","Dwayne Washington (FA)","1","3","3.0","0","2.8%","0","0","0%","0","0","0","0.0%","0","7","0.3","0.0","0.0%"
"118","Mike Boone (FA)","1","1","1.0","0","2.8%","1","2","50.0%","2","2.0","0","14.3%","0","8","0.3","0.0","1.0%"
"119","Ronald Jones II (FA)","1","3","3.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","5","0.3","0.1","0.0%"
"120","Anthony McFarland Jr. (FA)","1","3","3.0","0","2.0%","0","0","0%","0","0","0","0.0%","0","1","0.3","0.3","1.1%"
"121","Michael Burton (DEN)","1","2","2.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","12","0.2","0.0","0.1%"
"122","Myles Gaskin (FA)","0","0","0","0","0.0%","1","3","33.3%","2","2.0","0","18.8%","0","2","0.2","0.1","0.0%"
"123","Tyrion Davis-Price (FA)","6","2","0.3","0","9.8%","0","0","0%","0","0","0","0.0%","0","5","0.2","0.0","0.0%"
"124","Patrick Taylor Jr. (SF)","1","2","2.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","7","0.2","0.0","0.7%"
"125","J.D. McKissic (FA)","1","1","1.0","0","1.9%","0","4","0.0%","0","0","0","36.4%","0","9","0.1","0.0","1.0%"
"126","Jakob Johnson (HOU)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","11","0.0","0.0","0.0%"
"127","Isaiah Spiller (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"128","Keith Smith (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","14.3%","0","10","0.0","0.0","0.0%"
"129","Sandro Platzgummer (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","1","0.0","0.0","1.0%"
"130","Ty Johnson (BUF)","2","0","0.0","0","3.1%","0","0","0%","0","0","0","0.0%","0","12","0.0","0.0","3.5%"
"131","Phillip Lindsay (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"132","Javonte Williams (DAL)","4","8","2.0","0","11.1%","3","6","50.0%","12","4.0","0","42.9%","1","4","0.0","0.0","72.2%"
"133","Troy Hairston II (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","5.3%","0","12","0.0","0.0","1.1%"
"134","Kyren Williams (LAR)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","12.5%","0","8","0.0","0.0","97.7%"
"135","J.J. Taylor (HOU)","1","-1","-1.0","0","2.0%","0","0","0%","0","0","0","0.0%","0","1","-0.1","-0.1","1.0%"
"136","Devine Ozigbo (FA)","1","-2","-2.0","0","2.8%","0","0","0%","0","0","0","0.0%","0","3","-0.2","-0.1","1.0%"
"137","Julius Chestnut (TEN)","3","-5","-1.7","0","7.0%","0","0","0%","0","0","0","0.0%","0","6","-0.5","-0.1","1.1%"
"138","Zamir White (LV)","2","-5","-2.5","0","4.5%","0","0","0%","0","0","0","0.0%","0","11","-0.5","0.0","11.0%"
"139","Zack Moss (FA)","10","12","1.2","0","17.2%","0","0","0%","0","0","0","0.0%","1","13","-0.8","-0.1","16.3%"
"140","David Johnson (FA)","2","4","2.0","0","5.6%","0","0","0%","0","0","0","0.0%","1","4","-1.6","-0.4","0.0%"
""
""
