"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Sam LaPorta (DET)","10","15","66.7%","91","9.1","7","93.8%","0","0","0","0%","0","17","51.1","3.0","97.8%"
"2","Mark Andrews (BAL)","10","14","71.4%","77","7.7","6","60.9%","1","0","0","100.0%","0","10","43.7","4.4","93.7%"
"3","Taysom Hill (NO)","2","5","40.0%","10","5.0","1","22.7%","27","102","4","100.0%","1","16","43.6","2.7","19.2%"
"4","Jake Ferguson (DAL)","12","24","50.0%","92","7.7","5","75.0%","0","0","0","0.0%","0","17","39.2","2.3","73.6%"
"5","Dalton Schultz (HOU)","7","14","50.0%","80","11.4","5","70.0%","0","0","0","0.0%","0","15","38.0","2.5","15.6%"
"6","Cole Kmet (CHI)","10","13","76.9%","61","6.1","5","76.5%","1","1","0","100.0%","0","17","36.2","2.1","25.3%"
"7","Travis Kelce (KC)","13","20","65.0%","74","5.7","5","83.3%","0","0","0","0.0%","1","15","35.4","2.4","95.9%"
"8","Hunter Henry (NE)","5","6","83.3%","53","10.6","5","54.5%","0","0","0","0%","0","14","35.3","2.5","51.2%"
"9","T.J. Hockenson (MIN)","9","14","64.3%","58","6.4","4","60.9%","0","0","0","0%","0","15","29.8","2.0","94.8%"
"10","Cade Otton (TB)","8","11","72.7%","58","7.3","4","78.6%","0","0","0","0%","0","17","29.8","1.8","33.1%"
"11","Donald Parham Jr. (PIT)","6","10","60.0%","35","5.8","4","43.5%","0","0","0","0%","0","14","27.5","2.0","1.0%"
"12","Jimmy Graham (FA)","5","5","100.0%","31","6.2","4","22.7%","0","0","0","0.0%","0","6","27.1","4.5","0.0%"
"13","Logan Thomas (FA)","4","9","44.4%","28","7.0","4","56.3%","0","0","0","0%","0","16","26.8","1.7","0.0%"
"14","George Kittle (SF)","9","13","69.2%","70","7.8","3","86.7%","0","0","0","0%","0","16","25.0","1.6","98.2%"
"15","Dallas Goedert (PHI)","6","10","60.0%","46","7.7","3","76.9%","1","1","0","100.0%","0","14","22.7","1.6","78.4%"
"16","Adam Trautman (DEN)","6","13","46.2%","44","7.3","3","81.3%","0","0","0","0%","0","17","22.4","1.3","0.7%"
"17","David Njoku (CLE)","8","20","40.0%","41","5.1","3","80.0%","0","0","0","0%","0","16","22.1","1.4","91.8%"
"18","Juwan Johnson (NO)","7","8","87.5%","36","5.1","3","36.4%","0","0","0","0.0%","0","13","21.6","1.7","17.6%"
"19","Gerald Everett (FA)","8","11","72.7%","35","4.4","3","47.8%","0","0","0","0%","0","15","21.5","1.4","1.4%"
"20","Harrison Bryant (PHI)","4","5","80.0%","18","4.5","3","20.0%","0","0","0","0%","0","15","19.8","1.3","0.0%"
"21","Tommy Tremble (CAR)","4","4","100.0%","6","1.5","3","40.0%","0","0","0","0%","0","16","18.6","1.2","0.8%"
"22","Isaiah Likely (BAL)","6","7","85.7%","48","8.0","2","30.4%","0","0","0","0.0%","0","17","16.8","1.0","46.1%"
"23","Michael Mayer (LV)","5","7","71.4%","46","9.2","2","87.5%","0","0","0","0%","0","14","16.6","1.2","12.7%"
"24","Trey McBride (ARI)","6","9","66.7%","42","7.0","2","42.9%","0","0","0","0%","0","17","16.2","1.0","98.3%"
"25","Tucker Kraft (GB)","5","8","62.5%","27","5.4","2","50.0%","0","0","0","0%","0","17","14.7","0.9","84.9%"
"26","Pat Freiermuth (PIT)","3","6","50.0%","24","8.0","2","54.5%","0","0","0","0%","0","12","14.4","1.2","30.7%"
