"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Mark Andrews (BAL)","14","21","66.7%","102","7.3","9","87.5%","0","0","0","0%","0","17","64.2","3.8","93.7%"
"2","Hunter Henry (NE)","9","18","50.0%","77","8.6","9","62.1%","0","0","0","0.0%","0","16","61.7","3.9","51.2%"
"3","Pat Freiermuth (PIT)","12","18","66.7%","81","6.8","7","69.2%","0","0","0","0.0%","0","16","50.1","3.1","30.7%"
"4","Travis Kelce (KC)","12","15","80.0%","64","5.3","6","65.2%","2","3","1","66.7%","0","16","48.7","3.0","95.9%"
"5","Dawson Knox (BUF)","11","18","61.1%","64","5.8","6","94.7%","0","0","0","0%","0","15","42.4","2.8","5.6%"
"6","Taysom Hill (NO)","0","0","0%","0","0","0","0.0%","14","71","4","100.0%","0","12","36.5","3.0","19.2%"
"7","Rob Gronkowski (FA)","6","12","50.0%","54","9.0","5","34.3%","0","0","0","0%","0","12","35.4","3.0","1.3%"
"8","Noah Fant (CIN)","11","15","73.3%","91","8.3","4","71.4%","0","0","0","0%","0","16","33.1","2.1","16.9%"
"9","Cameron Brate (FA)","11","20","55.0%","87","7.9","4","57.1%","0","0","0","0%","0","16","32.7","2.0","2.0%"
"10","T.J. Hockenson (MIN)","7","10","70.0%","60","8.6","4","71.4%","0","0","0","0%","0","12","30.0","2.5","94.8%"
"11","Dalton Schultz (HOU)","7","12","58.3%","60","8.6","4","66.7%","0","0","0","0%","0","17","30.0","1.8","15.6%"
"12","George Kittle (SF)","7","8","87.5%","53","7.6","4","100.0%","0","0","0","0%","0","14","29.3","2.1","98.2%"
"13","Jared Cook (FA)","6","12","50.0%","35","5.8","4","60.0%","0","0","0","0%","0","16","27.5","1.7","0.0%"
"14","Zach Ertz (WAS)","7","17","41.2%","29","4.1","4","85.0%","1","4","0","100.0%","0","17","27.3","1.6","43.2%"
"15","Tyler Higbee (LAR)","12","18","66.7%","86","7.2","3","90.0%","0","0","0","0%","0","15","26.6","1.8","16.5%"
"16","Tyler Conklin (LAC)","10","16","62.5%","65","6.5","3","94.1%","0","0","0","0%","0","17","24.5","1.4","8.0%"
"17","Austin Hooper (NE)","9","12","75.0%","63","7.0","3","44.4%","0","0","0","0%","0","15","24.3","1.6","4.7%"
"18","Hayden Hurst (FA)","6","7","85.7%","62","10.3","3","30.4%","0","0","0","0%","0","12","24.2","2.0","1.3%"
"19","David Njoku (CLE)","5","9","55.6%","51","10.2","3","33.3%","0","0","0","0%","0","15","23.1","1.5","91.8%"
"20","Foster Moreau (NO)","4","6","66.7%","45","11.3","3","30.0%","0","0","0","0%","0","15","22.5","1.5","1.6%"
"21","Jimmy Graham (FA)","4","8","50.0%","44","11.0","3","32.0%","0","0","0","0.0%","0","11","22.4","2.0","0.0%"
"22","Logan Thomas (FA)","4","5","80.0%","34","8.5","3","25.0%","0","0","0","0%","0","5","21.4","4.3","0.0%"
"23","Brevin Jordan (HOU)","4","4","100.0%","31","7.8","3","36.4%","0","0","0","0%","0","8","21.1","2.6","0.6%"
"24","Mo Alie-Cox (IND)","5","9","55.6%","29","5.8","3","42.9%","0","0","0","0%","0","17","20.9","1.2","0.6%"
"25","Juwan Johnson (NO)","4","5","80.0%","28","7.0","3","33.3%","0","0","0","0.0%","0","13","20.8","1.6","17.6%"
"26","Jack Doyle (FA)","5","8","62.5%","26","5.2","3","38.1%","0","0","0","0%","0","15","20.6","1.4","2.0%"
"27","MyCole Pruitt (FA)","3","6","50.0%","21","7.0","3","30.0%","0","0","0","0%","0","13","20.1","1.5","1.0%"
"28","Geoff Swaim (FA)","5","8","62.5%","15","3.0","3","40.0%","0","0","0","0%","0","16","19.5","1.2","0.0%"
"29","Harrison Bryant (PHI)","4","4","100.0%","13","3.3","3","14.8%","0","0","0","0%","0","15","19.3","1.3","0.0%"
"30","Gerald Everett (FA)","4","7","57.1%","16","4.0","3","63.6%","0","0","0","0%","1","15","17.6","1.2","1.4%"
"31","Dallas Goedert (PHI)","5","7","71.4%","52","10.4","2","77.8%","0","0","0","0%","0","15","17.2","1.1","78.4%"
"32","Darren Waller (MIA)","6","13","46.2%","37","6.2","2","65.0%","0","0","0","0%","0","11","15.7","1.4","23.6%"
"33","Mike Gesicki (CIN)","7","11","63.6%","31","4.4","2","45.8%","0","0","0","0.0%","0","17","15.1","0.9","23.8%"
"34","Evan Engram (DEN)","3","5","60.0%","27","9.0","2","35.7%","1","-3","0","100.0%","0","15","14.4","1.0","88.9%"
"35","Jesper Horsted (FA)","2","3","66.7%","21","10.5","2","12.0%","0","0","0","0.0%","0","4","14.1","3.5","0.0%"
"36","Blake Jarwin (FA)","2","4","50.0%","19","9.5","2","22.2%","0","0","0","0%","0","8","13.9","1.7","4.0%"
"37","Tommy Tremble (CAR)","3","3","100.0%","9","3.0","1","23.1%","2","7","1","100.0%","0","15","13.6","0.9","0.8%"
"38","Ryan Griffin (FA)","3","6","50.0%","14","4.7","2","75.0%","0","0","0","0%","0","14","13.4","1.0","0.0%"
"39","Donald Parham Jr. (PIT)","2","6","33.3%","12","6.0","2","30.0%","0","0","0","0%","0","14","13.2","0.9","1.0%"
"40","Eric Ebron (FA)","1","3","33.3%","5","5.0","1","11.5%","1","1","1","100.0%","0","8","12.6","1.6","0.0%"
"41","Jody Fortson Jr. (FA)","2","2","100.0%","4","2.0","2","8.7%","0","0","0","0.0%","0","4","12.4","3.1","0.0%"
"42","Ricky Seals-Jones (FA)","7","13","53.8%","53","7.6","1","65.0%","0","0","0","0%","0","11","11.3","1.0","0.0%"
"43","Albert Okwuegbunam Jr. (LV)","4","5","80.0%","13","3.3","2","23.8%","0","0","0","0%","1","14","11.3","0.8","0.0%"
"44","Robert Tonyan (KC)","5","6","83.3%","43","8.6","1","30.0%","0","0","0","0%","0","8","10.3","1.3","0.0%"
"45","Anthony Firkser (FA)","4","5","80.0%","37","9.3","1","25.0%","0","0","0","0%","0","15","9.7","0.6","0.0%"
"46","Jonnu Smith (PIT)","5","10","50.0%","25","5.0","1","34.5%","2","7","0","100.0%","0","16","9.2","0.6","72.5%"
"47","Kyle Pitts Sr. (ATL)","5","14","35.7%","31","6.2","1","60.9%","0","0","0","0%","0","17","9.1","0.5","58.1%"
"48","Adam Trautman (DEN)","3","7","42.9%","20","6.7","1","46.7%","0","0","0","0.0%","0","11","8.0","0.7","0.7%"
"49","Tyler Kroft (FA)","2","2","100.0%","18","9.0","1","25.0%","0","0","0","0%","0","9","7.8","0.9","0.0%"
"50","Antony Auclair (FA)","2","2","100.0%","17","8.5","1","18.2%","0","0","0","0%","0","4","7.7","1.9","0.0%"
"51","Maxx Williams (FA)","1","1","100.0%","14","14.0","1","5.0%","0","0","0","0.0%","0","5","7.4","1.5","0.0%"
"52","John Bates (WAS)","1","2","50.0%","13","13.0","1","10.0%","0","0","0","0%","0","13","7.3","0.6","0.6%"
"53","Nick Vannett (MIN)","1","3","33.3%","11","11.0","1","20.0%","0","0","0","0.0%","0","7","7.1","1.0","0.0%"
"54","Sean McKeon (IND)","1","1","100.0%","10","10.0","1","5.6%","0","0","0","0%","0","5","7.0","1.4","0.0%"
"55","Kyle Rudolph (FA)","3","8","37.5%","9","3.0","1","57.1%","0","0","0","0.0%","0","15","6.9","0.5","1.0%"
"56","Jesse James (FA)","1","2","50.0%","8","8.0","1","7.4%","0","0","0","0%","0","5","6.8","1.4","0.0%"
"57","C.J. Uzomah (FA)","3","7","42.9%","7","2.3","1","100.0%","0","0","0","0%","0","16","6.7","0.4","0.0%"
"58","Noah Gray (KC)","2","5","40.0%","6","3.0","1","21.7%","0","0","0","0.0%","0","7","6.6","0.9","9.8%"
"59","Will Dissly (LAC)","2","3","66.7%","3","1.5","1","27.3%","0","0","0","0%","0","13","6.3","0.5","4.9%"
"60","Chris Herndon IV (FA)","1","1","100.0%","2","2.0","1","5.9%","0","0","0","0%","0","6","6.2","1.0","0.0%"
"61","O.J. Howard (FA)","1","2","50.0%","2","2.0","1","5.7%","0","0","0","0%","0","11","6.2","0.6","0.0%"
"62","Stephen Anderson (FA)","1","2","50.0%","2","2.0","1","10.0%","0","0","0","0%","0","14","6.2","0.4","0.0%"
"63","Lee Smith (FA)","1","2","50.0%","1","1.0","1","8.7%","0","0","0","0%","0","10","6.1","0.6","0.0%"
"64","Tommy Sweeney (FA)","1","1","100.0%","1","1.0","1","5.3%","0","0","0","0%","0","7","6.1","0.9","0.0%"
"65","Eric Saubert (SEA)","1","1","100.0%","1","1.0","1","4.8%","0","0","0","0%","0","10","6.1","0.6","1.8%"
"66","Jacob Hollister (FA)","1","2","50.0%","1","1.0","1","66.7%","0","0","0","0%","0","7","6.1","0.9","1.0%"
"67","Chris Myarick (MIA)","1","1","100.0%","1","1.0","1","7.1%","0","0","0","0.0%","0","5","6.1","1.2","0.0%"
"68","Cole Kmet (CHI)","6","14","42.9%","50","8.3","0","56.0%","1","0","0","100.0%","0","17","5.0","0.3","25.3%"
"69","Marcedes Lewis (FA)","4","6","66.7%","28","7.0","0","30.0%","0","0","0","0%","0","13","2.8","0.2","0.0%"
"70","Dan Arnold (FA)","2","4","50.0%","26","13.0","0","30.8%","0","0","0","0.0%","0","11","2.6","0.2","0.0%"
"71","Adam Shaheen (FA)","3","6","50.0%","19","6.3","0","25.0%","0","0","0","0.0%","0","9","1.9","0.2","0.0%"
"72","Durham Smythe (CHI)","4","7","57.1%","16","4.0","0","29.2%","1","2","0","100.0%","0","16","1.8","0.1","0.6%"
"73","Zach Gentry (FA)","2","5","40.0%","17","8.5","0","19.2%","0","0","0","0.0%","0","10","1.7","0.2","0.0%"
"74","Kylen Granson (PHI)","3","4","75.0%","14","4.7","0","19.0%","0","0","0","0%","0","10","1.4","0.1","0.7%"
"75","Jack Stoll (NO)","2","2","100.0%","13","6.5","0","22.2%","0","0","0","0%","0","6","1.3","0.2","0.0%"
"76","Josiah Deguara (ARI)","3","7","42.9%","13","4.3","0","35.0%","0","0","0","0%","0","14","1.3","0.1","0.0%"
"77","Jeremy Sprinkle (FA)","1","1","100.0%","10","10.0","0","5.6%","0","0","0","0%","0","6","1.0","0.2","0.0%"
"78","Blake Bell (FA)","1","1","100.0%","7","7.0","0","4.3%","1","3","0","33.3%","0","12","1.0","0.1","0.0%"
"79","Josh Oliver (MIN)","1","2","50.0%","9","9.0","0","8.3%","0","0","0","0%","0","11","0.9","0.1","1.0%"
"80","Luke Farrell (SF)","1","1","100.0%","7","7.0","0","33.3%","0","0","0","0%","0","9","0.7","0.1","0.6%"
"81","Tommy Hudson (FA)","1","1","100.0%","3","3.0","0","5.0%","0","0","0","0%","0","4","0.3","0.1","0.0%"
"82","Jordan Akins (FA)","1","5","20.0%","3","3.0","0","45.5%","0","0","0","0%","0","12","0.3","0.0","1.0%"
"83","Kendall Blanton (FA)","1","2","50.0%","2","2.0","0","10.0%","0","0","0","0%","0","4","0.2","0.1","0.0%"
"84","Nick Boyle (FA)","1","1","100.0%","2","2.0","0","4.2%","0","0","0","0%","0","2","0.2","0.1","0.0%"
"85","Stephen Sullivan (CAR)","0","1","0.0%","0","0","0","7.7%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
