"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Aaron Jones Sr. (MIN)","32","113","3.5","14","69.6%","10","11","90.9%","42","4.2","1","55.0%","0","16","105.5","6.6","90.1%"
"2","Mark Ingram II (FA)","40","130","3.3","10","55.6%","6","6","100.0%","42","7.0","4","60.0%","0","15","101.2","6.7","0.6%"
"3","Christian McCaffrey (SF)","55","155","2.8","10","96.5%","10","13","76.9%","66","6.6","3","92.9%","0","16","100.1","6.3","98.5%"
"4","Todd Gurley II (FA)","50","140","2.8","12","74.6%","3","5","60.0%","8","2.7","2","100.0%","1","15","96.8","6.5","0.6%"
"5","Ezekiel Elliott (FA)","59","177","3.0","11","96.7%","5","10","50.0%","34","6.8","1","62.5%","0","16","93.1","5.8","5.0%"
"6","Dalvin Cook (FA)","47","124","2.6","12","55.3%","3","3","100.0%","12","4.0","0","37.5%","0","14","85.6","6.1","0.6%"
"7","Derrick Henry (BAL)","38","126","3.3","11","90.5%","1","1","100.0%","6","6.0","0","14.3%","0","15","79.2","5.3","98.7%"
"8","Chris Carson (FA)","41","111","2.7","7","71.9%","2","2","100.0%","15","7.5","2","40.0%","0","15","66.6","4.4","0.3%"
"9","Melvin Gordon III (FA)","29","72","2.5","7","51.8%","4","5","80.0%","12","3.0","1","22.7%","1","12","54.4","4.5","0.0%"
"10","Josh Jacobs (GB)","42","134","3.2","7","75.0%","2","3","66.7%","7","3.5","0","30.0%","1","13","54.1","4.2","98.5%"
"11","Jordan Howard (FA)","22","86","3.9","6","36.7%","2","2","100.0%","26","13.0","1","14.3%","0","10","53.2","5.3","0.0%"
"12","Peyton Barber (FA)","20","51","2.6","6","41.7%","2","2","100.0%","14","7.0","1","20.0%","0","16","48.5","3.0","1.0%"
"13","Tevin Coleman (FA)","28","72","2.6","5","45.9%","4","7","57.1%","35","8.8","1","36.8%","0","14","46.7","3.3","0.0%"
"14","Devonta Freeman (FA)","20","80","4.0","2","40.0%","6","7","85.7%","45","7.5","4","53.8%","1","14","46.5","3.3","0.0%"
"15","Joe Mixon (HOU)","35","85","2.4","3","77.8%","7","7","100.0%","18","2.6","3","46.7%","0","16","46.3","2.9","95.0%"
"16","Austin Ekeler (WAS)","16","20","1.3","3","28.6%","9","12","75.0%","60","6.7","4","54.5%","2","16","46.0","2.9","62.0%"
