"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"17","Nick Chubb (HOU)","50","86","1.7","6","84.7%","1","4","25.0%","1","1.0","0","57.1%","0","16","44.7","2.8","44.9%"
"18","Jamaal Williams (FA)","13","32","2.5","1","28.3%","7","8","87.5%","50","7.1","5","40.0%","0","14","44.2","3.2","1.1%"
"19","Sony Michel (FA)","40","73","1.8","6","58.8%","1","5","20.0%","-1","-1.0","0","17.2%","0","16","43.2","2.7","0.0%"
"20","Ronald Jones II (FA)","20","59","3.0","6","41.7%","1","1","100.0%","2","2.0","0","10.0%","0","16","42.1","2.6","0.0%"
"21","Kenyan Drake (FA)","19","52","2.7","6","36.5%","2","3","66.7%","18","9.0","0","18.8%","1","14","41.0","2.9","1.1%"
"22","Carlos Hyde (FA)","35","92","2.6","5","79.5%","2","4","50.0%","11","5.5","0","26.7%","0","16","40.3","2.5","0.0%"
"23","David Montgomery (DET)","26","37","1.4","5","72.2%","2","2","100.0%","6","3.0","1","11.1%","0","16","40.3","2.5","93.9%"
"24","Phillip Lindsay (FA)","30","84","2.8","5","52.6%","3","6","50.0%","17","5.7","0","37.5%","0","16","40.1","2.5","0.0%"
"25","Marlon Mack (FA)","32","85","2.7","5","55.2%","1","1","100.0%","2","2.0","0","14.3%","0","14","38.7","2.8","0.0%"
"26","Adrian Peterson (FA)","23","64","2.8","5","60.5%","2","2","100.0%","20","10.0","0","15.4%","0","16","38.4","2.4","2.0%"
"27","LeSean McCoy (FA)","19","43","2.3","4","33.9%","3","5","60.0%","23","7.7","1","27.8%","0","13","36.6","2.8","2.0%"
"28","Miles Sanders (DAL)","26","76","2.9","2","43.3%","8","10","80.0%","46","5.8","2","71.4%","0","16","36.2","2.3","10.9%"
"29","James Conner (ARI)","14","42","3.0","4","28.6%","5","5","100.0%","10","2.0","1","35.7%","0","10","35.2","3.5","93.4%"
"30","James White (FA)","13","28","2.2","1","19.1%","17","20","85.0%","84","4.9","3","69.0%","0","15","35.2","2.3","0.1%"
"31","Latavius Murray (FA)","21","73","3.5","3","43.8%","6","8","75.0%","35","5.8","1","38.1%","0","16","34.8","2.2","0.0%"
"32","Duke Johnson Jr. (FA)","9","33","3.7","1","20.5%","6","11","54.5%","64","10.7","3","73.3%","0","16","33.7","2.1","0.0%"
"33","Raheem Mostert (LV)","11","73","6.6","4","18.0%","2","2","100.0%","18","9.0","0","10.5%","0","16","33.1","2.1","10.5%"
"34","Saquon Barkley (PHI)","31","81","2.6","3","70.5%","3","6","50.0%","7","2.3","1","66.7%","0","13","32.8","2.5","99.0%"
"35","Royce Freeman (FA)","26","70","2.7","3","45.6%","4","6","66.7%","14","3.5","1","37.5%","0","16","32.4","2.0","0.0%"
"36","Le'Veon Bell (FA)","19","41","2.2","3","76.0%","6","9","66.7%","31","5.2","1","69.2%","0","15","31.2","2.1","0.2%"
"37","Damien Williams (FA)","13","24","1.8","2","23.2%","5","7","71.4%","38","7.6","2","38.9%","0","11","30.2","2.7","0.0%"
"38","Leonard Fournette (FA)","46","64","1.4","3","88.5%","8","11","72.7%","46","5.8","0","91.7%","0","15","29.0","1.9","0.0%"
"39","David Johnson (FA)","17","28","1.6","2","70.8%","6","6","100.0%","38","6.3","2","50.0%","1","13","28.6","2.2","0.0%"
"40","Malcolm Brown (FA)","15","43","2.9","4","22.4%","0","0","0%","0","0","0","0.0%","0","14","28.3","2.0","0.0%"
"41","Jeff Wilson Jr. (FA)","16","41","2.6","4","26.2%","0","1","0.0%","0","0","0","5.3%","0","11","28.1","2.6","1.0%"
"42","Darrel Williams (FA)","11","11","1.0","3","19.6%","2","2","100.0%","14","7.0","1","11.1%","0","12","26.5","2.2","0.0%"
"43","Qadree Ollison (FA)","9","22","2.4","4","18.0%","0","0","0%","0","0","0","0.0%","0","8","26.2","3.3","0.0%"
"44","Chase Edmonds (FA)","7","45","6.4","2","29.2%","4","6","66.7%","18","4.5","1","50.0%","0","13","24.3","1.9","0.0%"
"45","Alvin Kamara (NO)","25","82","3.3","2","52.1%","9","13","69.2%","40","4.4","0","61.9%","0","14","24.2","1.7","95.5%"
"46","Tarik Cohen (FA)","7","22","3.1","0","19.4%","5","8","62.5%","35","7.0","3","44.4%","0","16","23.7","1.5","0.0%"
"47","DeAndre Washington (FA)","10","33","3.3","3","17.9%","2","2","100.0%","18","9.0","0","20.0%","0","16","23.1","1.4","11.0%"
"48","Kalen Ballage (FA)","16","35","2.2","3","30.8%","2","5","40.0%","-2","-1.0","0","31.3%","0","12","21.3","1.8","0.0%"
"49","Wayne Gallman Jr. (FA)","6","10","1.7","2","13.6%","3","3","100.0%","22","7.3","1","33.3%","0","10","21.2","2.1","0.0%"
"50","Kareem Hunt (KC)","4","15","3.8","2","6.8%","1","2","50.0%","15","15.0","1","28.6%","0","9","21.0","2.3","25.5%"
"51","Brandon Bolden (FA)","5","18","3.6","3","7.4%","0","0","0%","0","0","0","0.0%","0","15","19.8","1.3","0.0%"
"52","Devin Singletary (NYG)","18","64","3.6","2","39.1%","2","5","40.0%","-5","-2.5","0","83.3%","0","12","17.9","1.5","4.7%"
"53","Brian Hill (FA)","10","37","3.7","1","20.0%","1","3","33.3%","10","10.0","1","23.1%","0","12","16.7","1.4","0.0%"
"54","Rashaad Penny (FA)","8","29","3.6","1","14.0%","1","2","50.0%","13","13.0","1","40.0%","0","10","16.2","1.6","0.0%"
"55","Jordan Wilkins (FA)","11","35","3.2","2","19.0%","0","1","0.0%","0","0","0","14.3%","0","14","15.5","1.1","0.0%"
"56","Boston Scott (FA)","8","35","4.4","2","13.3%","0","0","0%","0","0","0","0.0%","0","11","15.5","1.4","0.0%"
"57","Rex Burkhead (FA)","9","18","2.0","2","13.2%","3","4","75.0%","17","5.7","0","13.8%","0","13","15.5","1.2","10.0%"
"58","Nyheim Miller-Hines (LAC)","7","23","3.3","2","12.1%","3","5","60.0%","11","3.7","0","71.4%","0","16","15.4","1.0","0.0%"
"59","Alexander Mattison (MIA)","27","114","4.2","1","31.8%","0","0","0%","0","0","0","0.0%","1","13","15.4","1.2","8.4%"
"60","Frank Gore (FA)","26","33","1.3","2","56.5%","0","0","0%","0","0","0","0.0%","0","16","15.3","1.0","8.4%"
"61","Mike Boone (FA)","8","32","4.0","2","9.4%","0","0","0%","0","0","0","0.0%","0","16","15.2","1.0","1.0%"
"62","Dare Ogunbowale (HOU)","7","2","0.3","2","14.6%","4","7","57.1%","28","7.0","0","70.0%","0","16","15.0","0.9","1.5%"
"63","Jaylen Samuels (FA)","11","11","1.0","1","22.4%","6","8","75.0%","12","2.0","1","57.1%","0","14","14.5","1.0","0.0%"
"64","Kerryon Johnson (FA)","18","45","2.5","2","42.9%","0","1","0.0%","0","0","0","20.0%","1","8","14.5","1.8","1.0%"
"65","Dontrell Hilliard (FA)","5","22","4.4","2","8.5%","0","1","0.0%","0","0","0","14.3%","0","14","14.2","1.0","0.0%"
"66","Derrius Guice (FA)","7","11","1.6","2","18.4%","1","1","100.0%","4","4.0","0","7.7%","0","5","13.5","2.7","1.1%"
"67","Justice Hill (BAL)","9","53","5.9","1","12.5%","2","2","100.0%","15","7.5","0","20.0%","0","16","12.8","0.8","20.8%"
"68","Gus Edwards (FA)","23","62","2.7","1","31.9%","1","1","100.0%","6","6.0","0","10.0%","0","16","12.8","0.8","1.3%"
"69","Wes Hills (FA)","3","5","1.7","2","7.1%","0","0","0%","0","0","0","0.0%","0","1","12.5","12.5","0.0%"
"70","Kyle Juszczyk (SF)","1","-1","-1.0","0","1.6%","7","7","100.0%","51","7.3","1","36.8%","0","12","11.0","0.9","0.9%"
"71","Benny Snell Jr. (FA)","17","41","2.4","1","34.7%","0","0","0%","0","0","0","0.0%","0","13","10.1","0.8","0.0%"
"72","Patrick Laird (FA)","9","19","2.1","1","17.3%","2","5","40.0%","20","10.0","0","31.3%","0","15","9.9","0.7","0.0%"
"73","Tony Pollard (TEN)","2","26","13.0","1","3.3%","3","6","50.0%","7","2.3","0","37.5%","0","15","9.3","0.6","88.9%"
"74","Ito Smith (FA)","9","18","2.0","1","18.0%","2","3","66.7%","15","7.5","0","23.1%","0","7","9.3","1.3","1.0%"
"75","Dion Lewis (FA)","2","10","5.0","0","4.8%","3","5","60.0%","23","7.7","1","71.4%","0","16","9.3","0.6","2.0%"
"76","Matt Breida (FA)","5","5","1.0","0","8.2%","2","2","100.0%","20","10.0","1","10.5%","0","13","8.5","0.7","0.0%"
"77","Jonathan Williams (FA)","8","25","3.1","1","13.8%","0","0","0%","0","0","0","0.0%","0","9","8.5","0.9","0.0%"
"78","Bo Scarbrough (FA)","6","23","3.8","1","14.3%","0","0","0%","0","0","0","0.0%","0","6","8.3","1.4","0.0%"
"79","Darwin Thompson (FA)","10","14","1.4","1","17.9%","1","1","100.0%","7","7.0","0","5.6%","0","12","8.1","0.7","0.0%"
"80","Javorius Allen (FA)","2","20","10.0","1","4.5%","0","0","0%","0","0","0","0.0%","0","11","8.0","0.7","0.6%"
"81","Ameer Abdullah (SF)","1","-1","-1.0","0","1.2%","1","1","100.0%","16","16.0","1","12.5%","0","16","7.5","0.5","0.6%"
"82","C.J. Prosise (FA)","4","14","3.5","1","7.0%","0","0","0%","0","0","0","0.0%","0","9","7.4","0.8","0.0%"
"83","Troymaine Pope (FA)","2","-1","-0.5","0","3.6%","1","1","100.0%","13","13.0","1","4.5%","0","14","7.2","0.5","0.0%"
"84","Ryquell Armstead (FA)","6","3","0.5","0","11.5%","1","1","100.0%","7","7.0","1","8.3%","0","16","7.0","0.4","0.2%"
"85","Alec Ingold (MIA)","2","2","1.0","0","3.6%","2","2","100.0%","8","4.0","1","20.0%","0","16","7.0","0.4","0.6%"
"86","Derek Watt (FA)","4","8","2.0","1","7.1%","0","1","0.0%","0","0","0","4.5%","0","16","6.8","0.4","0.0%"
"87","C.J. Ham (MIN)","2","-1","-0.5","0","2.4%","2","4","50.0%","7","3.5","1","50.0%","0","16","6.6","0.4","0.6%"
"88","Alex Armah Jr. (FA)","2","1","0.5","1","3.5%","1","1","100.0%","4","4.0","0","7.1%","0","16","6.5","0.4","0.0%"
"89","Andy Janovich (FA)","1","1","1.0","1","1.8%","1","1","100.0%","3","3.0","0","6.3%","0","8","6.4","0.8","0.0%"
"90","Myles Gaskin (FA)","5","4","0.8","1","9.6%","1","2","50.0%","0","0.0","0","12.5%","0","7","6.4","0.9","0.0%"
"91","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","1","100.0%","1","1.0","1","10.0%","0","16","6.1","0.4","0.8%"
"92","Giovani Bernard (FA)","9","25","2.8","0","20.0%","5","7","71.4%","35","7.0","0","46.7%","0","16","6.0","0.4","0.0%"
"93","Chris Thompson (FA)","6","13","2.2","0","15.8%","2","5","40.0%","22","11.0","0","38.5%","0","11","3.5","0.3","0.0%"
"94","J.D. McKissic (FA)","5","19","3.8","0","11.9%","1","2","50.0%","3","3.0","0","40.0%","0","16","2.2","0.1","1.0%"
"95","Anthony Sherman (FA)","1","5","5.0","0","1.8%","1","1","100.0%","15","15.0","0","5.6%","0","16","2.0","0.1","1.2%"
"96","Justin Jackson (FA)","5","9","1.8","0","8.9%","2","3","66.7%","9","4.5","0","13.6%","0","7","1.8","0.3","0.0%"
"97","Ty Johnson (BUF)","7","16","2.3","0","16.7%","1","1","100.0%","1","1.0","0","20.0%","0","16","1.7","0.1","3.5%"
"98","Jalen Richard (FA)","2","7","3.5","0","3.6%","2","3","66.7%","9","4.5","0","30.0%","0","16","1.6","0.1","1.0%"
"99","Darren Sproles (FA)","2","6","3.0","0","3.3%","2","2","100.0%","9","4.5","0","14.3%","0","6","1.5","0.3","0.1%"
"100","Cordarrelle Patterson (FA)","3","5","1.7","0","8.3%","3","5","60.0%","6","2.0","0","27.8%","0","16","1.1","0.1","0.9%"
"101","Travis Homer (CHI)","4","1","0.3","0","7.0%","1","1","100.0%","10","10.0","0","20.0%","0","16","1.1","0.1","0.6%"
"102","Wendell Smallwood (FA)","2","0","0.0","0","5.3%","2","4","50.0%","9","4.5","0","30.8%","0","15","0.9","0.1","0.0%"
"103","Spencer Ware (FA)","2","6","3.0","0","3.6%","1","2","50.0%","3","3.0","0","11.1%","0","3","0.9","0.3","0.0%"
"104","Bilal Powell (FA)","5","4","0.8","0","20.0%","1","2","50.0%","5","5.0","0","15.4%","0","14","0.9","0.1","0.0%"
"105","Ty Montgomery II (FA)","1","0","0.0","0","4.0%","2","2","100.0%","7","3.5","0","15.4%","0","16","0.7","0.0","0.0%"
"106","Elijhaa Penny (FA)","2","6","3.0","0","4.5%","0","0","0%","0","0","0","0.0%","0","16","0.6","0.0","0.0%"
"107","Keith Smith (FA)","2","5","2.5","0","4.0%","0","0","0%","0","0","0","0.0%","0","16","0.5","0.0","0.0%"
"108","Mike Davis (FA)","0","0","0","0","0.0%","1","2","50.0%","5","5.0","0","11.1%","0","12","0.5","0.0","1.0%"
"109","Dwayne Washington (FA)","1","5","5.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","16","0.5","0.0","0.0%"
"110","Darrell Henderson Jr. (FA)","2","4","2.0","0","3.0%","0","0","0%","0","0","0","0.0%","0","13","0.4","0.0","0.0%"
"111","Kerrith Whyte Jr. (FA)","2","4","2.0","0","4.1%","0","0","0%","0","0","0","0.0%","0","6","0.4","0.1","0.0%"
"112","Dalyn Dawkins (FA)","2","3","1.5","0","4.8%","0","0","0%","0","0","0","0.0%","0","2","0.3","0.2","0.1%"
"113","Danny Vitale (FA)","1","3","3.0","0","2.2%","0","1","0.0%","0","0","0","5.0%","0","15","0.3","0.0","0.0%"
"114","Tony Brooks-James (FA)","1","2","2.0","0","2.0%","0","0","0%","0","0","0","0.0%","0","3","0.2","0.1","0.0%"
"115","Trey Edmunds (FA)","4","2","0.5","0","8.2%","0","0","0%","0","0","0","0.0%","0","12","0.2","0.0","0.0%"
"116","T.J. Logan (FA)","1","2","2.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","12","0.2","0.0","0.0%"
"117","Tra Carson (FA)","1","2","2.0","0","2.2%","0","0","0%","0","0","0","0.0%","0","4","0.2","0.1","0.0%"
"118","Jay Ajayi (FA)","2","2","1.0","0","3.3%","0","0","0%","0","0","0","0.0%","0","4","0.2","0.1","7.0%"
"119","James Develin (FA)","1","1","1.0","0","1.5%","0","0","0%","0","0","0","0.0%","0","2","0.1","0.1","0.0%"
"120","C.J. Anderson (FA)","2","1","0.5","0","4.8%","0","0","0%","0","0","0","0.0%","0","2","0.1","0.1","1.0%"
"121","Zach Zenner (FA)","1","1","1.0","0","2.4%","0","0","0%","0","0","0","0.0%","0","6","0.1","0.0","0.0%"
"122","Nick Bawden (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","20.0%","0","10","0.0","0.0","0.0%"
"123","Khari Blasingame (FA)","0","0","0","0","0.0%","1","1","100.0%","0","0.0","0","14.3%","0","6","0.0","0.0","0.0%"
"124","Roosevelt Nix (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","7.1%","0","3","0.0","0.0","0.0%"
"125","Michael Burton (DEN)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","7.7%","0","11","0.0","0.0","0.1%"
"126","Zach Line (FA)","1","0","0.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","12","0.0","0.0","0.0%"
"127","Brandin Bryant (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","4","0.0","0.0","0.0%"
"128","Devontae Booker (FA)","0","0","0","0","0.0%","1","1","100.0%","-1","-1.0","0","6.3%","0","16","-0.1","0.0","0.0%"
"129","Mark Walton (FA)","3","-3","-1.0","0","5.8%","0","1","0.0%","0","0","0","6.3%","0","7","-0.3","0.0","2.0%"
"130","Jon Hilliman (FA)","3","9","3.0","0","6.8%","0","0","0%","0","0","0","0.0%","1","3","-1.1","-0.4","0.0%"
"131","T.J. Yeldon (FA)","2","2","1.0","0","4.3%","0","1","0.0%","0","0","0","16.7%","1","6","-1.8","-0.3","0.0%"
""
""
