"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"43","Dawson Knox (BUF)","1","5","20.0%","12","12.0","1","29.4%","0","0","0","0%","0","16","7.2","0.5","5.6%"
"44","Tyler Higbee (LAR)","1","3","33.3%","11","11.0","1","17.6%","0","0","0","0%","0","3","7.1","2.4","16.5%"
"45","Kenny Yeboah (DET)","1","1","100.0%","11","11.0","1","8.3%","0","0","0","0%","0","7","7.1","1.0","0.0%"
"46","Tanner Hudson (CIN)","4","4","100.0%","30","7.5","1","22.2%","0","0","0","0.0%","1","11","7.0","0.6","1.2%"
"47","Jordan Akins (FA)","1","5","20.0%","10","10.0","1","23.8%","0","0","0","0%","0","16","7.0","0.4","1.0%"
"48","Blake Whiteheart (CLE)","2","2","100.0%","8","4.0","1","9.5%","0","0","0","0%","0","11","6.8","0.6","0.0%"
"49","Tommy Tremble (CAR)","2","3","66.7%","8","4.0","1","33.3%","0","0","0","0%","0","12","6.8","0.6","0.8%"
"50","Payne Durham (TB)","1","1","100.0%","5","5.0","1","5.3%","0","0","0","0%","0","16","6.5","0.4","0.6%"
"51","Darnell Washington (PIT)","1","2","50.0%","5","5.0","1","11.8%","0","0","0","0%","0","17","6.5","0.4","2.9%"
"52","Grant Calcaterra (PHI)","1","1","100.0%","4","4.0","1","9.1%","0","0","0","0%","0","17","6.4","0.4","2.8%"
"53","Ben Sinnott (WAS)","1","1","100.0%","3","3.0","1","5.0%","0","0","0","0%","0","17","6.3","0.4","8.4%"
"54","Charlie Kolar (BAL)","1","1","100.0%","2","2.0","1","3.4%","0","0","0","0%","0","13","6.2","0.5","0.1%"
"55","Chris Manhertz (NYG)","1","1","100.0%","2","2.0","1","25.0%","0","0","0","0%","0","17","6.2","0.4","0.0%"
"56","Eric Saubert (SEA)","1","1","100.0%","2","2.0","1","4.5%","0","0","0","0%","0","13","6.2","0.5","1.8%"
"57","Quintin Morris (JAC)","1","1","100.0%","2","2.0","1","5.9%","0","0","0","0%","0","10","6.2","0.6","1.4%"
"58","MyCole Pruitt (FA)","1","1","100.0%","1","1.0","1","5.9%","0","0","0","0%","0","8","6.1","0.8","1.0%"
"59","Chig Okonkwo (TEN)","3","5","60.0%","20","6.7","1","38.5%","0","0","0","0%","1","17","6.0","0.4","26.1%"
"60","Drew Sample (CIN)","1","1","100.0%","2","2.0","1","5.6%","1","-4","0","100.0%","0","17","5.8","0.3","0.6%"
"61","Brock Bowers (LV)","6","13","46.2%","38","6.3","0","72.2%","0","0","0","0%","0","17","3.8","0.2","99.2%"
"62","T.J. Hockenson (MIN)","4","8","50.0%","25","6.3","0","50.0%","0","0","0","0%","0","10","2.5","0.3","94.8%"
"63","Julian Hill (MIA)","3","5","60.0%","21","7.0","0","22.7%","0","0","0","0.0%","0","16","2.1","0.1","0.7%"
"64","Michael Mayer (LV)","3","5","60.0%","21","7.0","0","27.8%","0","0","0","0%","0","11","2.1","0.2","12.7%"
"65","Devin Culp (TB)","1","2","50.0%","17","17.0","0","10.5%","0","0","0","0%","0","5","1.7","0.3","1.2%"
"66","Jeremy Ruckert (NYJ)","2","3","66.7%","16","8.0","0","25.0%","0","0","0","0%","0","17","1.6","0.1","1.9%"
"67","Jake Ferguson (DAL)","4","5","80.0%","16","4.0","0","62.5%","0","0","0","0%","0","14","1.6","0.1","73.6%"
"68","John Bates (WAS)","1","1","100.0%","14","14.0","0","5.0%","0","0","0","0%","0","17","1.4","0.1","0.6%"
"69","Cam Grandy (CIN)","2","2","100.0%","12","6.0","0","11.1%","0","0","0","0.0%","0","8","1.2","0.2","0.0%"
"70","Peyton Hendershot (FA)","1","1","100.0%","11","11.0","0","2.6%","0","0","0","0.0%","0","5","1.1","0.2","0.0%"
"71","Kylen Granson (PHI)","3","6","50.0%","10","3.3","0","42.9%","0","0","0","0%","0","16","1.0","0.1","0.7%"
"72","Josiah Deguara (ARI)","2","2","100.0%","10","5.0","0","15.4%","0","0","0","0%","0","7","1.0","0.1","0.0%"
"73","Erick All Jr. (CIN)","2","2","100.0%","10","5.0","0","11.1%","0","0","0","0.0%","0","9","1.0","0.1","0.6%"
