Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Jonathan Taylor (IND),332,1811,5.5,83,14,18,40,51,360,9.0,2,2,17,353.1,20.8,98.3%
2,Austin Ekeler (WAS),206,911,4.4,28,3,12,70,94,647,9.2,8,3,16,308.8,19.3,62.0%
3,Joe Mixon (HOU),292,1205,4.1,32,6,13,42,48,314,7.5,3,1,16,266.9,16.7,95.0%
4,Najee Harris (LAC),307,1200,3.9,37,6,7,74,94,467,6.3,3,0,17,263.7,15.5,68.3%
5,James Conner (ARI),202,752,3.7,35,3,15,37,39,375,10.1,3,0,15,239.2,15.9,93.4%
6,Ezekiel Elliott (FA),237,1002,4.2,47,3,10,47,65,287,6.1,2,1,17,228.6,13.4,5.0%
7,Leonard Fournette (FA),180,812,4.5,47,5,8,69,84,454,6.6,2,0,14,221.1,15.8,0.0%
8,Alvin Kamara (NO),240,898,3.7,30,3,4,47,67,439,9.3,5,0,13,211.2,16.2,95.5%
9,Cordarrelle Patterson (FA),153,618,4.0,39,2,6,52,69,548,10.5,5,0,16,208.6,13.0,0.9%
10,Antonio Gibson (NE),258,1037,4.0,27,4,7,42,52,294,7.0,3,4,16,208.1,13.0,12.7%
11,Nick Chubb (HOU),228,1259,5.5,70,12,8,20,25,174,8.7,1,1,14,205.3,14.7,44.9%
12,Aaron Jones Sr. (MIN),171,799,4.7,57,5,4,52,65,391,7.5,6,1,15,203.0,13.5,90.1%
13,Damien Harris (FA),202,929,4.6,64,8,15,18,20,132,7.3,0,2,15,201.1,13.4,4.6%
14,Josh Jacobs (GB),217,872,4.0,28,2,9,54,64,348,6.4,0,2,15,199.0,13.3,98.5%
15,Dalvin Cook (FA),249,1159,4.7,66,9,6,34,49,224,6.6,0,2,13,189.3,14.6,0.6%
16,Derrick Henry (BAL),219,937,4.3,76,3,10,18,20,154,8.6,0,0,8,184.3,23.0,98.7%
17,Javonte Williams (DAL),203,903,4.4,49,6,4,43,53,316,7.3,3,1,17,183.4,10.8,72.2%
18,Melvin Gordon III (FA),203,918,4.5,70,3,8,28,38,213,7.6,2,3,16,181.2,11.3,0.0%
19,D'Andre Swift (CHI),151,617,4.1,57,3,5,62,78,452,7.3,2,1,13,177.9,13.7,90.2%
20,Devin Singletary (NYG),188,870,4.6,46,6,7,40,50,228,5.7,1,0,17,177.8,10.5,4.7%
21,David Montgomery (DET),225,849,3.8,41,5,7,42,51,301,7.2,0,1,14,175.0,12.5,93.9%
22,Darrel Williams (FA),144,558,3.9,21,1,6,47,57,452,9.6,2,0,17,172.5,10.1,0.0%
23,A.J. Dillon (PHI),187,803,4.3,36,2,5,34,37,313,9.2,2,1,17,168.6,9.9,5.6%
24,James Robinson (FA),164,767,4.7,58,4,8,31,46,222,7.2,0,2,14,158.4,11.3,0.0%
25,Elijah Mitchell (KC),207,963,4.7,39,6,5,19,20,137,7.2,1,0,12,155.5,13.0,5.3%
26,Myles Gaskin (FA),173,612,3.5,30,2,3,49,63,234,4.8,4,1,17,149.1,8.8,0.0%
27,Darrell Henderson Jr. (FA),149,688,4.6,29,1,5,29,40,176,6.1,3,0,12,148.9,12.4,0.0%
28,Tony Pollard (TEN),130,719,5.5,58,4,2,39,46,337,8.6,0,0,15,143.1,9.5,88.9%
29,Michael Carter (ARI),147,639,4.3,55,3,4,36,55,325,9.0,0,1,14,136.4,9.7,1.1%
30,Sony Michel (FA),208,845,4.1,39,2,4,21,33,128,6.1,1,1,17,135.8,8.0,0.0%
31,Devonta Freeman (FA),133,576,4.3,32,4,5,34,42,190,5.6,1,0,16,129.6,8.1,0.0%
