"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Travis Kelce (KC)","17","29","58.6%","102","6.0","10","74.4%","2","5","0","66.7%","0","17","70.7","4.2","95.9%"
"2","Taysom Hill (NO)","2","3","66.7%","8","4.0","1","17.6%","18","69","6","100.0%","0","16","49.7","3.1","19.2%"
"3","Mike Gesicki (CIN)","9","12","75.0%","77","8.6","5","80.0%","0","0","0","0.0%","0","17","37.7","2.2","23.8%"
"4","T.J. Hockenson (MIN)","12","20","60.0%","74","6.2","5","66.7%","0","0","0","0%","0","17","37.4","2.2","94.8%"
"5","Juwan Johnson (NO)","7","11","63.6%","73","10.4","5","64.7%","0","0","0","0.0%","0","16","37.3","2.3","17.6%"
"6","Mark Andrews (BAL)","11","18","61.1%","68","6.2","5","48.6%","0","0","0","0%","0","15","36.8","2.5","93.7%"
"7","Dalton Schultz (HOU)","8","16","50.0%","59","7.4","5","76.2%","0","0","0","0.0%","0","15","35.9","2.4","15.6%"
"8","Cole Kmet (CHI)","7","9","77.8%","49","7.0","5","64.3%","0","0","0","0%","0","17","34.9","2.1","25.3%"
"9","Dawson Knox (BUF)","6","10","60.0%","48","8.0","4","83.3%","0","0","0","0%","0","15","28.8","1.9","5.6%"
"10","Zach Ertz (WAS)","8","15","53.3%","42","5.3","4","93.8%","0","0","0","0%","0","10","28.2","2.8","43.2%"
"11","Noah Fant (CIN)","6","9","66.7%","25","4.2","4","40.9%","0","0","0","0%","0","17","26.5","1.6","16.9%"
"12","David Njoku (CLE)","11","19","57.9%","77","7.0","3","65.5%","0","0","0","0%","0","14","25.7","1.8","91.8%"
"13","Shane Zylstra (DET)","4","4","100.0%","12","3.0","4","40.0%","0","0","0","0%","0","11","25.2","2.3","1.1%"
"14","Gerald Everett (FA)","9","16","56.3%","64","7.1","3","69.6%","0","0","0","0%","0","15","24.4","1.6","1.4%"
"15","Tyler Higbee (LAR)","8","15","53.3%","61","7.6","3","93.8%","0","0","0","0%","0","16","24.1","1.5","16.5%"
"16","Daniel Bellinger (NYG)","5","6","83.3%","47","9.4","2","75.0%","1","2","1","100.0%","0","12","22.9","1.9","2.6%"
"17","George Kittle (SF)","6","13","46.2%","48","8.0","3","100.0%","0","0","0","0%","0","15","22.8","1.5","98.2%"
"18","Brock Wright (DET)","5","5","100.0%","34","6.8","3","50.0%","0","0","0","0%","0","16","21.4","1.3","0.8%"
"19","Jelani Woods (IND)","4","4","100.0%","29","7.3","3","36.4%","0","0","0","0%","0","14","20.9","1.5","2.0%"
"20","Peyton Hendershot (FA)","2","2","100.0%","22","11.0","2","9.5%","1","2","1","100.0%","0","12","20.4","1.7","0.0%"
"21","MyCole Pruitt (FA)","5","6","83.3%","24","4.8","3","42.9%","0","0","0","0%","0","10","20.4","2.0","1.0%"
"22","Tyler Conklin (LAC)","3","5","60.0%","20","6.7","3","71.4%","1","1","0","100.0%","0","17","20.1","1.2","8.0%"
"23","Pat Freiermuth (PIT)","6","12","50.0%","61","10.2","2","80.0%","0","0","0","0%","0","15","18.1","1.2","30.7%"
"24","Austin Hooper (NE)","5","7","71.4%","53","10.6","2","38.9%","0","0","0","0%","0","17","17.3","1.0","4.7%"
"25","Dallas Goedert (PHI)","6","8","75.0%","48","8.0","2","72.7%","0","0","0","0%","0","12","16.8","1.4","78.4%"
"26","Will Dissly (LAC)","5","6","83.3%","47","9.4","2","27.3%","0","0","0","0%","0","15","16.7","1.1","4.9%"
"27","Jordan Akins (FA)","5","9","55.6%","36","7.2","2","47.4%","0","0","0","0%","0","15","15.6","1.0","1.0%"
"28","Hayden Hurst (FA)","5","8","62.5%","35","7.0","2","72.7%","0","0","0","0%","0","14","15.5","1.1","1.3%"
"29","Evan Engram (DEN)","4","9","44.4%","30","7.5","2","75.0%","1","0","0","100.0%","0","17","15.0","0.9","88.9%"
"30","Noah Gray (KC)","3","4","75.0%","28","9.3","1","10.3%","1","1","1","33.3%","0","17","14.9","0.9","9.8%"
"31","Chig Okonkwo (TEN)","3","6","50.0%","28","9.3","2","33.3%","0","0","0","0%","0","17","14.8","0.9","26.1%"
"32","Tommy Tremble (CAR)","4","7","57.1%","26","6.5","2","77.8%","0","0","0","0%","0","16","14.6","0.9","0.8%"
"33","Isaiah Likely (BAL)","5","9","55.6%","24","4.8","2","24.3%","0","0","0","0%","0","15","14.4","1.0","46.1%"
"34","Josh Oliver (MIN)","4","10","40.0%","24","6.0","2","27.0%","0","0","0","0%","0","12","14.4","1.2","1.0%"
