Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Lamar Jackson (BAL),316,474,66.7,4172,8.8,41,4,23,139,915,4,5,17,434.4,25.6,98.8%
2,Josh Allen (BUF),307,483,63.6,3731,7.7,28,6,14,102,531,12,2,17,385.1,22.7,99.5%
3,Joe Burrow (CIN),460,652,70.6,4918,7.5,43,9,48,42,201,2,5,17,381.9,22.5,98.2%
4,Baker Mayfield (TB),407,570,71.4,4500,7.9,41,16,40,60,378,3,2,17,381.8,22.5,94.7%
5,Jayden Daniels (WAS),331,480,69.0,3568,7.4,25,9,47,148,891,6,0,17,364.7,21.5,99.2%
6,Jared Goff (DET),390,539,72.4,4629,8.6,37,12,31,35,56,0,0,17,336.0,19.8,82.1%
7,Bo Nix (DEN),376,567,66.3,3775,6.7,29,12,24,92,430,4,0,17,328.6,19.3,93.0%
8,Jalen Hurts (PHI),248,361,68.7,2903,8.0,18,5,38,150,630,14,5,15,320.0,21.3,98.6%
9,Sam Darnold (SEA),361,545,66.2,4319,7.9,35,12,48,67,212,1,4,17,319.8,18.8,32.2%
10,Kyler Murray (ARI),372,541,68.8,3851,7.1,21,11,30,78,572,5,4,17,308.4,18.1,89.5%
11,Patrick Mahomes II (KC),392,581,67.5,3928,6.8,26,11,36,58,307,2,0,16,293.4,18.3,96.5%
12,Justin Herbert (LAC),332,504,65.9,3870,7.7,23,3,41,69,306,2,2,17,288.6,17.0,87.7%
13,Geno Smith (LV),407,578,70.4,4320,7.5,21,15,50,53,272,2,0,17,281.1,16.5,25.2%
14,Brock Purdy (SF),300,455,65.9,3864,8.5,20,12,31,66,323,5,3,15,279.0,18.6,89.7%
15,Aaron Rodgers (PIT),368,584,63.0,3897,6.7,28,11,40,22,107,0,2,17,267.6,15.7,21.1%
16,Caleb Williams (CHI),351,562,62.5,3541,6.3,20,6,68,81,489,0,5,17,260.5,15.3,79.2%
17,Jordan Love (GB),268,425,63.1,3389,8.0,25,11,14,25,83,1,0,15,244.9,16.3,74.1%
18,C.J. Stroud (HOU),336,532,63.2,3727,7.0,20,12,52,52,233,0,4,17,232.4,13.7,72.8%
19,Matthew Stafford (LAR),340,517,65.8,3762,7.3,20,8,28,30,41,0,2,16,222.6,13.9,35.6%
20,Bryce Young (CAR),234,384,60.9,2403,6.3,15,9,29,43,249,6,2,14,203.8,14.6,38.1%
21,Kirk Cousins (ATL),303,453,66.9,3508,7.7,18,16,28,23,0,0,2,14,192.3,13.7,8.7%
22,Tua Tagovailoa (MIA),291,399,72.9,2867,7.2,19,7,21,17,49,0,2,11,188.5,17.1,41.8%
23,Drake Maye (NE),225,338,66.6,2276,6.7,15,10,34,54,421,2,6,13,187.1,14.4,66.6%
24,Russell Wilson (NYG),214,336,63.7,2482,7.4,16,5,33,43,155,2,4,11,177.8,16.2,15.6%
25,Anthony Richardson Sr. (IND),126,264,47.7,1814,6.9,8,12,14,86,499,6,3,11,175.0,15.9,35.7%
