Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Davante Adams (LAR),115,149,1374,11.9,56,18,18,0,0,0,1,14,300.9,21.5,96.5%
2,Tyreek Hill (MIA),87,135,1276,14.7,75,20,15,13,123,2,0,15,285.4,19.0,97.6%
3,Stefon Diggs (NE),127,166,1535,12.1,55,20,8,1,1,0,0,16,265.1,16.6,84.6%
4,Calvin Ridley (TEN),90,143,1374,15.3,63,23,9,5,1,0,1,15,236.5,15.8,87.7%
5,DeAndre Hopkins (BAL),115,160,1407,12.2,60,17,6,1,1,0,2,16,230.3,14.4,20.0%
6,Justin Jefferson (MIN),88,125,1400,15.9,71,23,7,1,2,0,0,16,230.2,14.4,99.0%
7,DK Metcalf (PIT),83,129,1303,15.7,62,17,10,0,0,0,1,16,229.8,14.4,95.9%
8,Adam Thielen (CAR),74,108,925,12.5,51,11,14,3,15,0,0,15,217.0,14.5,39.0%
9,Tyler Lockett (TEN),100,132,1054,10.5,47,10,10,0,0,0,0,16,215.4,13.5,12.8%
10,Mike Evans (TB),70,109,1006,14.4,50,20,13,0,0,0,0,16,213.6,13.4,97.3%
11,A.J. Brown (PHI),70,106,1075,15.4,73,13,11,0,0,0,1,14,212.5,15.2,99.0%
12,Allen Robinson II (FA),102,151,1250,12.3,42,22,6,1,-1,0,0,16,211.9,13.2,1.4%
13,Robert Woods (PIT),90,129,936,10.4,56,11,6,24,155,2,1,16,200.1,12.5,1.3%
14,Keenan Allen (LAC),100,147,992,9.9,28,10,8,1,-1,0,2,14,195.1,13.9,21.1%
15,Brandin Cooks (NO),81,119,1150,14.2,57,20,6,0,0,0,0,15,191.5,12.8,11.2%
16,Amari Cooper (FA),92,130,1114,12.1,69,13,5,6,14,0,0,16,190.8,11.9,13.3%
17,Marvin Jones Jr. (FA),76,115,978,12.9,43,19,9,0,0,0,0,16,189.8,11.9,0.0%
18,JuJu Smith-Schuster (KC),97,128,831,8.6,31,13,9,0,0,0,1,16,185.6,11.6,1.8%
19,Chase Claypool (FA),62,109,873,14.1,84,14,9,10,16,2,1,16,183.9,11.5,1.1%
20,CeeDee Lamb (DAL),74,111,935,12.6,52,18,5,10,82,1,1,16,180.7,11.3,98.7%
21,Terry McLaurin (WAS),87,134,1118,12.9,68,17,4,2,30,0,1,15,180.3,12.0,96.9%
22,DJ Moore (CHI),66,118,1193,18.1,74,19,4,2,22,0,0,15,178.5,11.9,94.3%
23,Diontae Johnson (CLE),88,144,923,10.5,47,10,7,3,15,0,1,15,177.8,11.9,17.5%
