"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Davante Adams (LAR)","21","26","80.8%","120","5.7","13","65.0%","0","0","0","0.0%","0","14","90.0","6.4","96.5%"
"2","Adam Thielen (CAR)","16","19","84.2%","115","7.2","13","55.9%","1","3","0","100.0%","0","15","89.8","6.0","39.0%"
"3","Tyreek Hill (MIA)","14","19","73.7%","98","7.0","8","50.0%","3","21","1","75.0%","0","15","65.9","4.4","97.6%"
"4","Mike Evans (TB)","12","18","66.7%","74","6.2","9","46.2%","0","0","0","0.0%","0","16","61.4","3.8","97.3%"
"5","Keenan Allen (LAC)","13","17","76.5%","118","9.1","7","47.2%","0","0","0","0.0%","1","14","51.8","3.7","21.1%"
"6","Calvin Ridley (TEN)","11","20","55.0%","89","8.1","7","35.7%","1","-1","0","50.0%","0","15","50.8","3.4","87.7%"
"7","A.J. Brown (PHI)","8","11","72.7%","86","10.8","6","40.7%","0","0","0","0.0%","0","14","44.6","3.2","99.0%"
"8","Robert Woods (PIT)","10","11","90.9%","68","6.8","4","34.4%","4","16","2","80.0%","0","16","44.4","2.8","1.3%"
"9","Tee Higgins (CIN)","9","11","81.8%","72","8.0","6","26.8%","0","0","0","0.0%","0","16","43.2","2.7","97.6%"
"10","Brandon Aiyuk (SF)","9","14","64.3%","45","5.0","5","35.0%","1","19","1","33.3%","0","12","42.4","3.5","63.7%"
"11","Chase Claypool (FA)","7","13","53.8%","51","7.3","4","26.5%","4","6","2","66.7%","0","16","41.7","2.6","1.1%"
"12","Tim Patrick (DET)","9","9","100.0%","55","6.1","6","34.6%","0","0","0","0%","0","15","41.5","2.8","3.0%"
"13","JuJu Smith-Schuster (KC)","14","18","77.8%","113","8.1","5","36.7%","0","0","0","0.0%","0","16","41.3","2.6","1.8%"
"14","Tyler Lockett (TEN)","9","12","75.0%","46","5.1","6","28.6%","0","0","0","0.0%","0","16","40.6","2.5","12.8%"
"15","Stefon Diggs (NE)","12","16","75.0%","96","8.0","5","32.0%","0","0","0","0.0%","0","16","39.6","2.5","84.6%"
"16","Curtis Samuel (BUF)","10","12","83.3%","76","7.6","2","35.3%","12","43","2","92.3%","0","15","35.9","2.4","8.8%"
"17","DK Metcalf (PIT)","8","13","61.5%","51","6.4","5","31.0%","0","0","0","0.0%","0","16","35.1","2.2","95.9%"
"18","Chris Godwin (TB)","7","8","87.5%","47","6.7","5","20.5%","0","0","0","0.0%","0","12","34.7","2.9","87.8%"
"19","Justin Jefferson (MIN)","6","11","54.5%","76","12.7","4","32.4%","0","0","0","0.0%","0","16","31.6","2.0","99.0%"
"20","David Moore (CAR)","10","13","76.9%","58","5.8","4","31.0%","2","13","0","100.0%","0","16","31.1","1.9","0.8%"
"21","Gabe Davis (FA)","7","12","58.3%","70","10.0","4","24.0%","1","0","0","25.0%","0","16","31.0","1.9","12.6%"
"22","Allen Robinson II (FA)","8","18","44.4%","67","8.4","4","46.2%","0","0","0","0.0%","0","16","30.7","1.9","1.4%"
"23","Corey Davis (FA)","6","8","75.0%","59","9.8","4","29.6%","0","0","0","0.0%","0","14","29.9","2.1","0.0%"
"24","Zach Pascal (NYG)","7","14","50.0%","59","8.4","4","41.2%","0","0","0","0.0%","0","16","29.9","1.9","0.0%"
"25","Diontae Johnson (CLE)","7","11","63.6%","49","7.0","4","22.4%","1","9","0","16.7%","0","15","29.8","2.0","17.5%"
"26","Jamison Crowder (FA)","6","9","66.7%","54","9.0","4","30.0%","0","0","0","0%","0","12","29.4","2.5","1.0%"
"27","Tre'Quan Smith (FA)","4","7","57.1%","51","12.8","4","18.4%","0","0","0","0.0%","0","14","29.1","2.1","0.0%"
"28","Darnell Mooney (ATL)","5","8","62.5%","46","9.2","4","20.5%","1","5","0","100.0%","0","16","29.1","1.8","64.9%"
"29","CeeDee Lamb (DAL)","4","9","44.4%","31","7.8","3","20.0%","1","19","1","100.0%","0","16","29.0","1.8","98.7%"
"30","Marvin Jones Jr. (FA)","8","13","61.5%","44","5.5","4","43.3%","0","0","0","0%","0","16","28.4","1.8","0.0%"
"31","DJ Chark Jr. (ATL)","5","12","41.7%","43","8.6","4","28.6%","0","0","0","0.0%","0","13","28.3","2.2","1.6%"
"32","Christian Kirk (HOU)","8","14","57.1%","42","5.3","4","32.6%","0","0","0","0%","0","14","28.2","2.0","38.7%"
"33","Greg Ward (FA)","7","7","100.0%","42","6.0","4","20.6%","0","0","0","0%","0","16","28.2","1.8","0.0%"
"34","Amari Cooper (FA)","5","15","33.3%","40","8.0","4","33.3%","0","0","0","0.0%","0","16","28.0","1.8","13.3%"
"35","Keelan Cole Sr. (FA)","5","10","50.0%","37","7.4","4","23.8%","0","0","0","0.0%","0","16","27.7","1.7","0.0%"
"36","Marquise Brown (KC)","5","8","62.5%","35","7.0","4","32.0%","0","0","0","0%","0","16","27.5","1.7","49.2%"
"37","Cole Beasley (FA)","6","10","60.0%","32","5.3","3","20.0%","0","0","0","0.0%","0","15","26.0","1.7","0.0%"
"38","Nelson Agholor (FA)","7","13","53.8%","79","11.3","3","48.1%","0","0","0","0%","0","16","25.9","1.6","1.0%"
"39","Russell Gage Jr. (SF)","9","16","56.3%","78","8.7","3","28.6%","1","-2","0","50.0%","0","16","25.6","1.6","0.0%"
"40","Willie Snead IV (FA)","6","8","75.0%","68","11.3","3","32.0%","0","0","0","0%","0","13","24.8","1.9","0.0%"
"41","Tyler Boyd (FA)","8","15","53.3%","64","8.0","3","36.6%","1","4","0","50.0%","0","15","24.8","1.7","2.4%"
