"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Michael Thomas (FA)","20","26","76.9%","179","9.0","8","72.2%","0","0","0","0.0%","0","16","65.9","4.1","1.2%"
"2","Marvin Jones Jr. (FA)","11","15","73.3%","81","7.4","8","37.5%","0","0","0","0%","0","13","56.1","4.3","0.0%"
"3","Curtis Samuel (BUF)","7","12","58.3%","55","7.9","6","41.4%","4","28","1","66.7%","0","16","50.3","3.1","8.8%"
"4","Tyler Lockett (TEN)","14","19","73.7%","122","8.7","6","38.8%","0","0","0","0%","0","16","48.2","3.0","12.8%"
"5","Julian Edelman (FA)","15","22","68.2%","113","7.5","5","44.0%","0","0","0","0.0%","0","16","45.9","2.9","8.4%"
"6","Cooper Kupp (SEA)","14","18","77.8%","94","6.7","6","51.4%","0","0","0","0.0%","0","16","45.4","2.8","86.5%"
"7","DeVante Parker (FA)","7","14","50.0%","92","13.1","6","35.0%","0","0","0","0.0%","0","16","45.2","2.8","0.0%"
"8","Allen Robinson II (FA)","9","17","52.9%","71","7.9","6","51.5%","0","0","0","0.0%","0","16","43.1","2.7","1.4%"
"9","Kenny Golladay (FA)","8","16","50.0%","58","7.3","6","40.0%","0","0","0","0%","0","16","41.8","2.6","4.0%"
"10","Amari Cooper (FA)","6","9","66.7%","73","12.2","5","32.1%","0","0","0","0.0%","0","16","37.3","2.3","13.3%"
"11","Mike Evans (TB)","8","18","44.4%","70","8.8","5","45.0%","0","0","0","0%","0","13","37.0","2.8","97.3%"
"12","Jarvis Landry (FA)","12","19","63.2%","68","5.7","5","42.2%","0","0","0","0.0%","0","16","36.8","2.3","7.1%"
"13","Chris Godwin (TB)","9","14","64.3%","67","7.4","5","35.0%","0","0","0","0%","0","14","36.7","2.6","87.8%"
"14","Julio Jones (FA)","12","15","80.0%","63","5.3","5","31.9%","0","0","0","0%","0","15","36.3","2.4","0.6%"
