"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"1","Travis Kelce (KC)","17","110","1,338","12.2","690","6.3","269","2.4","648","5.9","197","1.8","13","152","24.8%","119","8","30","54","19","7","2","1","52"
"2","George Kittle (SF)","15","60","765","12.8","383","6.4","33","0.6","382","6.4","137","2.3","4","86","17.1%","63","3","15","28","12","6","1","1","54"
"3","Taysom Hill (NO)","16","9","77","8.6","40","4.4","2","0.2","37","4.1","9","1.0","0","13","2.6%","9","0","3","3","1","1","0","0","30"
"4","T.J. Hockenson (MIN)","17","86","914","10.6","518","6.0","220","2.6","396","4.6","144","1.7","7","129","22.9%","93","7","18","37","5","3","2","2","81"
"5","Mark Andrews (BAL)","15","73","847","11.6","604","8.3","414","5.7","243","3.3","68","0.9","1","113","24.3%","81","8","17","39","7","1","0","0","36"
"6","Evan Engram (DEN)","17","73","766","10.5","301","4.1","202","2.8","465","6.4","102","1.4","5","98","17.1%","78","5","8","31","10","1","0","0","36"
"7","Cole Kmet (CHI)","17","50","544","10.9","193","3.9","46","0.9","351","7.0","64","1.3","3","69","19.2%","52","2","10","23","6","1","1","1","50"
"8","Juwan Johnson (NO)","16","42","508","12.1","326","7.8","176","4.2","182","4.3","63","1.5","1","65","13.2%","45","3","11","23","8","1","1","0","41"
"9","Dawson Knox (BUF)","15","48","517","10.8","324","6.8","104","2.2","193","4.0","61","1.3","3","65","11.7%","53","4","9","21","8","1","1","0","45"
"10","Dallas Goedert (PHI)","12","55","702","12.8","282","5.1","63","1.1","420","7.6","72","1.3","2","69","13.7%","56","1","8","34","11","1","0","0","31"
"11","Dalton Schultz (HOU)","15","57","577","10.1","373","6.5","83","1.5","204","3.6","58","1.0","5","89","16.3%","63","6","16","24","5","1","0","0","30"
"12","Pat Freiermuth (PIT)","15","63","732","11.6","441","7.0","254","4.0","291","4.6","126","2.0","6","98","17.9%","68","5","10","31","9","2","1","1","57"
"13","David Njoku (CLE)","14","58","628","10.8","290","5.0","155","2.7","338","5.8","82","1.4","3","80","15.8%","61","3","20","26","8","2","0","0","38"
"14","Gerald Everett (FA)","15","58","555","9.6","229","3.9","225","3.9","326","5.6","100","1.7","5","87","12.7%","68","9","15","26","4","0","0","0","26"
"15","Tyler Higbee (LAR)","16","72","620","8.6","217","3.0","128","1.8","403","5.6","110","1.5","3","108","20.9%","81","7","16","21","4","0","0","0","26"
"16","Jordan Akins (FA)","15","37","495","13.4","225","6.1","44","1.2","270","7.3","80","2.2","1","54","9.7%","40","3","11","20","8","4","1","0","46"
"17","Tyler Conklin (LAC)","17","58","552","9.5","258","4.4","91","1.6","294","5.1","58","1.0","2","87","14.8%","65","4","4","18","6","1","0","0","30"
"18","Noah Fant (CIN)","17","50","486","9.7","265","5.3","43","0.9","221","4.4","31","0.6","0","63","11.4%","51","1","8","20","4","2","1","1","51"
"19","Zach Ertz (WAS)","10","47","406","8.6","276","5.9","175","3.7","130","2.8","22","0.5","2","69","10.9%","51","3","15","16","2","1","0","0","32"
"20","Mike Gesicki (CIN)","17","32","362","11.3","265","8.3","68","2.1","97","3.0","22","0.7","1","52","9.3%","36","3","12","16","5","2","0","0","32"
"21","Chig Okonkwo (TEN)","17","32","450","14.1","196","6.1","39","1.2","254","7.9","113","3.5","3","46","10.6%","35","3","6","21","7","4","3","0","48"
"22","Hunter Henry (NE)","16","41","509","12.4","304","7.4","82","2.0","205","5.0","22","0.5","0","59","11.4%","45","3","7","18","10","5","0","0","39"
"23","Robert Tonyan (KC)","17","53","470","8.8","241","4.5","47","0.9","227","4.3","33","0.6","2","67","12.4%","54","1","6","17","5","0","0","0","24"
"24","Darren Waller (MIA)","9","28","388","13.9","308","11.0","277","9.9","80","2.9","14","0.5","0","43","7.7%","31","3","11","17","9","2","0","0","34"
"25","Austin Hooper (NE)","17","41","444","10.8","313","7.6","61","1.5","131","3.2","34","0.8","1","60","13.8%","43","2","6","19","2","0","0","0","24"
"26","Hayden Hurst (FA)","14","54","439","8.1","237","4.4","73","1.4","202","3.7","62","1.1","5","70","11.7%","56","2","9","13","5","0","0","0","29"
"27","Isaiah Likely (BAL)","15","36","373","10.4","222","6.2","51","1.4","151","4.2","42","1.2","5","60","12.9%","42","6","11","17","4","1","0","0","34"
"28","Greg Dulcich (NYG)","10","33","411","12.5","256","7.8","0","0.0","155","4.7","27","0.8","1","55","10.2%","35","2","2","15","6","3","0","0","39"
"29","Will Dissly (LAC)","15","34","349","10.3","165","4.9","59","1.7","184","5.4","46","1.4","2","38","6.9%","36","2","6","17","1","1","0","0","38"
"30","Foster Moreau (NO)","14","33","420","12.8","191","5.8","50","1.5","231","7.0","65","2.0","2","54","9.7%","39","6","5","21","7","3","0","0","33"
"31","Cade Otton (TB)","16","42","391","9.3","217","5.2","35","0.8","174","4.1","59","1.4","2","65","9.0%","47","5","15","17","4","1","0","0","35"
"32","Jelani Woods (IND)","14","25","312","12.5","172","6.9","83","3.3","140","5.6","46","1.8","1","40","6.9%","28","3","6","14","4","2","0","0","36"
"33","Kyle Pitts Sr. (ATL)","10","28","356","12.7","230","8.2","346","12.4","126","4.5","41","1.5","0","59","14.8%","33","3","5","15","5","1","0","0","33"
"34","Brock Wright (DET)","16","18","216","12.0","51","2.8","15","0.8","165","9.2","11","0.6","0","24","4.3%","22","4","5","9","3","1","1","1","51"
"35","Daniel Bellinger (NYG)","12","30","268","8.9","124","4.1","30","1.0","144","4.8","15","0.5","0","35","7.2%","31","1","6","12","2","0","0","0","24"
"36","Colby Parkinson (LAR)","14","25","322","12.9","172","6.9","71","2.8","150","6.0","8","0.3","0","34","6.1%","25","0","5","13","5","3","0","0","39"
"37","Noah Gray (KC)","17","28","299","10.7","117","4.2","52","1.9","182","6.5","52","1.9","2","34","5.5%","29","1","4","15","3","0","0","0","27"
"38","MyCole Pruitt (FA)","10","16","150","9.4","75","4.7","0","0.0","75","4.7","4","0.3","0","21","5.3%","18","1","8","5","2","0","0","0","29"
"39","Logan Thomas (FA)","13","39","323","8.3","197","5.1","167","4.3","126","3.2","32","0.8","0","61","11.5%","40","1","7","13","2","0","0","0","27"
"40","C.J. Uzomah (FA)","14","21","232","11.0","127","6.0","5","0.2","105","5.0","20","1.0","2","27","4.6%","21","0","1","6","4","3","1","0","40"
"41","Mo Alie-Cox (IND)","14","19","189","9.9","90","4.7","70","3.7","99","5.2","28","1.5","2","28","4.8%","21","1","4","8","1","1","0","0","34"
"42","Tommy Tremble (CAR)","16","19","174","9.2","104","5.5","51","2.7","70","3.7","18","0.9","0","32","7.5%","20","1","7","7","1","0","0","0","29"
"43","Trey McBride (ARI)","14","29","265","9.1","148","5.1","12","0.4","117","4.0","32","1.1","0","39","6.1%","32","2","1","9","3","0","0","0","29"
"44","Harrison Bryant (PHI)","14","31","239","7.7","126","4.1","111","3.6","113","3.6","21","0.7","1","42","8.3%","35","5","8","8","1","1","0","0","30"
"45","Irv Smith Jr. (HOU)","8","25","182","7.3","88","3.5","122","4.9","94","3.8","25","1.0","0","36","5.6%","27","2","6","8","0","0","0","0","17"
"46","Kylen Granson (PHI)","13","31","302","9.7","178","5.7","99","3.2","124","4.0","44","1.4","0","40","6.9%","33","2","3","14","3","1","0","0","32"
"47","Shane Zylstra (DET)","11","11","60","5.5","47","4.3","0","0.0","13","1.2","0","0.0","0","15","2.7%","11","0","4","2","0","0","0","0","14"
"48","Jake Ferguson (DAL)","13","19","174","9.2","50","2.6","14","0.7","124","6.5","50","2.6","2","22","4.0%","19","0","3","6","3","1","0","0","30"
"49","Peyton Hendershot (FA)","12","11","103","9.4","60","5.5","17","1.5","43","3.9","9","0.8","0","16","2.9%","12","1","1","6","2","0","0","0","29"
"50","Josh Oliver (MIN)","12","14","149","10.6","77","5.5","-3","-0.2","72","5.1","14","1.0","1","25","5.4%","17","3","10","6","1","1","1","0","40"
"51","Adam Trautman (DEN)","13","18","207","11.5","84","4.7","23","1.3","123","6.8","16","0.9","1","22","4.5%","19","1","3","10","2","0","0","0","22"
"52","O.J. Howard (FA)","11","10","145","14.5","85","8.5","147","14.7","60","6.0","6","0.6","1","23","4.1%","10","0","3","6","4","0","0","0","26"
"53","Jonnu Smith (PIT)","12","27","245","9.1","44","1.6","47","1.7","201","7.4","86","3.2","9","38","7.3%","29","2","4","7","3","1","1","1","53"
"54","Durham Smythe (CHI)","13","15","129","8.6","82","5.5","24","1.6","47","3.1","11","0.7","0","20","3.6%","15","0","3","4","1","0","0","0","26"
"55","Connor Heyward (PIT)","17","12","151","12.6","89","7.4","10","0.8","62","5.2","10","0.8","0","17","3.1%","12","0","3","4","2","1","1","0","45"
"56","Teagan Quitoriano (ATL)","7","7","113","16.1","62","8.9","0","0.0","51","7.3","11","1.6","0","14","2.5%","8","1","5","3","2","1","1","1","52"
"57","Eric Saubert (SEA)","14","15","148","9.9","73","4.9","139","9.3","75","5.0","29","1.9","3","24","4.4%","17","2","3","5","3","0","0","0","25"
"58","Jody Fortson Jr. (FA)","10","9","108","12.0","68","7.6","9","1.0","40","4.4","10","1.1","0","13","2.1%","9","0","5","4","2","1","1","0","40"
"59","Marcedes Lewis (FA)","6","6","66","11.0","52","8.7","2","0.3","14","2.3","5","0.8","0","7","1.3%","7","1","2","3","1","1","0","0","31"
"60","Johnny Mundt (JAC)","13","19","140","7.4","23","1.2","21","1.1","117","6.2","24","1.3","2","21","3.3%","21","2","3","8","0","0","0","0","17"
"61","Eric Tomlinson (FA)","9","9","79","8.8","35","3.9","17","1.9","44","4.9","8","0.9","0","13","2.4%","9","0","4","3","0","0","0","0","18"
"62","Mitchell Wilcox (FA)","9","17","139","8.2","65","3.8","4","0.2","74","4.4","22","1.3","1","18","3.0%","17","0","1","6","0","0","0","0","19"
"63","Ian Thomas (LV)","14","21","197","9.4","16","0.8","76","3.6","181","8.6","23","1.1","2","30","7.0%","24","3","2","6","1","1","1","1","50"
"64","Donald Parham Jr. (PIT)","6","10","130","13.0","88","8.8","9","0.9","42","4.2","13","1.3","0","12","1.7%","10","0","2","5","2","0","0","0","24"
"65","Cameron Brate (FA)","9","20","174","8.7","113","5.7","118","5.9","61","3.1","7","0.4","2","38","5.2%","21","1","4","6","1","0","0","0","21"
"66","James Mitchell (CAR)","8","11","113","10.3","51","4.6","0","0.0","62","5.6","7","0.6","0","11","2.0%","11","0","1","4","2","0","0","0","22"
"67","John Bates (WAS)","10","14","108","7.7","54","3.9","29","2.1","54","3.9","4","0.3","1","22","4.1%","16","2","2","3","1","0","0","0","20"
"68","Ross Dwelley (SF)","6","3","105","35.0","62","20.7","34","11.3","43","14.3","2","0.7","0","5","1.0%","3","0","0","3","2","2","1","1","56"
"69","Albert Okwuegbunam Jr. (FA)","6","10","95","9.5","36","3.6","25","2.5","59","5.9","26","2.6","1","18","3.3%","12","2","1","4","1","0","0","0","25"
"70","Ko Kieft (TB)","15","7","80","11.4","49","7.0","16","2.3","31","4.4","8","1.1","0","10","1.4%","10","3","1","4","0","0","0","0","19"
