Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Austin Ekeler (WAS),204,915,4.5,72,4,13,107,127,722,6.7,5,3,17,319.2,18.8,62.0%
2,Christian McCaffrey (SF),244,1139,4.7,49,9,8,85,108,741,8.7,5,0,17,313.9,18.5,98.5%
3,Josh Jacobs (GB),340,1653,4.9,86,7,12,53,64,400,7.5,0,1,17,301.8,17.8,98.5%
4,Derrick Henry (BAL),349,1538,4.4,56,10,13,33,41,398,12.1,0,3,16,286.3,17.9,98.7%
5,Nick Chubb (HOU),302,1525,5.0,41,13,12,27,37,239,8.9,1,1,17,267.9,15.8,44.9%
6,Saquon Barkley (PHI),295,1312,4.4,68,9,10,57,76,338,5.9,0,0,16,255.5,16.0,99.0%
7,Tony Pollard (TEN),193,1007,5.2,57,9,9,39,55,371,9.5,3,0,16,229.3,14.3,88.9%
8,Jamaal Williams (FA),262,1066,4.1,58,4,17,12,16,73,6.1,0,2,17,219.9,12.9,1.1%
9,Aaron Jones Sr. (MIN),213,1121,5.3,36,6,2,59,72,395,6.7,5,3,17,219.1,12.9,90.1%
10,Dalvin Cook (FA),264,1173,4.4,81,5,8,39,56,295,7.6,2,4,17,218.3,12.8,0.6%
11,Rhamondre Stevenson (NE),210,1040,5.0,49,7,5,69,88,421,6.1,1,1,17,214.6,12.6,77.0%
12,Joe Mixon (HOU),212,826,3.9,40,4,7,60,75,441,7.4,2,0,15,210.7,14.0,95.0%
13,Miles Sanders (DAL),259,1269,4.9,40,9,11,20,26,78,3.9,0,2,17,206.7,12.2,10.9%
14,Najee Harris (LAC),272,1034,3.8,36,1,7,41,53,229,5.6,3,2,17,203.0,11.9,68.3%
15,Leonard Fournette (FA),189,668,3.5,23,1,3,73,83,523,7.2,3,0,16,190.6,11.9,0.0%
16,Kenneth Walker III (SEA),228,1050,4.6,74,10,9,27,35,165,6.1,0,0,15,189.0,12.6,95.3%
17,Travis Etienne Jr. (JAC),220,1125,5.1,62,8,5,35,45,316,9.0,0,3,17,187.6,11.0,82.1%
