Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Josh Allen (BUF),409,646,63.3,4407,6.8,36,15,26,122,763,6,3,17,417.7,24.6,99.5%
2,Justin Herbert (LAC),443,672,65.9,5014,7.5,38,15,31,63,302,3,1,17,395.6,23.3,87.7%
3,Tom Brady (FA),485,719,67.5,5316,7.4,43,12,22,28,81,2,3,17,386.7,22.7,3.7%
4,Patrick Mahomes II (KC),436,658,66.3,4828,7.3,37,13,28,66,381,2,4,17,374.2,22.0,96.5%
5,Matthew Stafford (LAR),404,601,67.2,4886,8.1,41,17,30,32,43,0,2,17,346.8,20.4,35.6%
6,Aaron Rodgers (PIT),366,531,68.9,4115,7.7,37,4,30,33,101,3,0,16,336.8,21.1,21.1%
7,Dak Prescott (DAL),410,596,68.8,4449,7.5,37,10,30,48,146,1,6,16,330.4,20.7,81.3%
8,Joe Burrow (CIN),366,520,70.4,4611,8.9,34,14,51,40,118,2,2,16,328.1,20.5,98.2%
9,Jalen Hurts (PHI),265,432,61.3,3144,7.3,16,9,26,139,784,10,2,15,321.2,21.4,98.6%
10,Kyler Murray (ARI),333,481,69.2,3787,7.9,24,10,31,88,423,5,0,14,310.5,22.2,89.5%
11,Kirk Cousins (ATL),372,561,66.3,4221,7.5,33,7,28,29,115,1,2,16,307.3,19.2,8.7%
12,Ryan Tannehill (FA),357,531,67.2,3734,7.0,21,14,47,55,270,7,4,17,282.3,16.6,1.1%
13,Derek Carr (FA),428,626,68.4,4804,7.7,23,14,40,40,108,0,5,17,270.6,15.9,15.1%
14,Carson Wentz (FA),322,516,62.4,3563,6.9,27,7,32,57,215,1,5,17,264.9,15.6,1.3%
15,Lamar Jackson (BAL),246,382,64.4,2882,7.5,16,13,38,134,767,2,3,12,253.0,21.1,98.8%
16,Russell Wilson (NYG),259,400,64.8,3113,7.8,25,6,33,43,183,2,1,14,248.7,17.8,15.6%
17,Jimmy Garoppolo (LAR),301,441,68.3,3810,8.6,20,12,29,38,51,3,3,15,239.5,16.0,1.9%
18,Mac Jones (SF),352,521,67.6,3801,7.3,22,13,28,44,129,0,3,17,238.0,14.0,2.9%
19,Taylor Heinicke (LAC),321,494,65.0,3419,6.9,20,15,38,60,313,1,2,16,237.2,14.8,0.6%
20,Matt Ryan (FA),375,560,67.0,3968,7.1,20,12,40,40,82,1,4,17,234.8,13.8,0.1%
21,Ben Roethlisberger (FA),390,605,64.5,3740,6.2,22,10,38,20,5,1,5,16,228.0,14.3,9.5%
22,Trevor Lawrence (JAC),359,602,59.6,3641,6.0,12,17,32,73,334,2,5,17,216.0,12.7,42.7%
