Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
23,Teddy Bridgewater (TB),285,426,66.9,3052,7.2,18,7,31,30,106,2,1,14,209.8,15.0,0.8%
24,Jared Goff (DET),332,494,67.2,3245,6.6,19,8,35,17,87,0,6,14,202.4,14.5,82.1%
25,Baker Mayfield (TB),253,418,60.5,3010,7.2,17,13,43,37,134,1,3,14,193.8,13.8,94.7%
26,Tua Tagovailoa (MIA),263,388,67.8,2653,6.8,16,10,20,42,128,3,1,13,190.9,14.7,41.8%
27,Daniel Jones (IND),232,361,64.3,2428,6.7,10,7,22,62,298,2,3,11,174.1,15.8,20.0%
28,Sam Darnold (SEA),243,406,59.9,2527,6.2,9,13,35,48,222,5,4,12,170.5,14.2,32.2%
29,Davis Mills (HOU),263,394,66.8,2664,6.8,16,10,31,18,44,0,1,13,167.0,12.8,0.6%
30,Zach Wilson (MIA),213,383,55.6,2334,6.1,9,11,44,29,185,4,1,13,162.9,12.5,3.5%
31,Justin Fields (NYJ),159,270,58.9,1870,6.9,7,10,36,72,420,2,5,12,136.9,11.4,77.4%
32,Jameis Winston (NYG),95,161,59.0,1170,7.3,14,3,11,32,166,1,1,7,120.3,17.2,4.5%
33,Trevor Siemian (FA),108,188,57.4,1154,6.1,11,3,9,9,20,1,1,6,93.2,15.5,0.0%
34,Andy Dalton (CAR),149,236,63.1,1515,6.4,8,9,18,16,76,0,1,8,93.1,11.6,0.8%
35,Cam Newton (FA),69,126,54.8,684,5.4,4,5,10,47,230,5,1,8,91.3,11.4,6.4%
36,Tyrod Taylor (NYJ),91,150,60.7,966,6.4,5,5,13,19,151,3,0,6,86.7,14.5,1.9%
37,Tyler Huntley (CLE),122,188,64.9,1081,5.8,3,4,18,47,294,2,3,7,86.7,12.4,1.0%
38,Jacoby Brissett (ARI),141,225,62.7,1283,5.7,5,4,19,19,70,1,3,11,76.4,6.9,3.2%
39,Trey Lance (LAC),41,71,57.7,603,8.5,5,2,4,38,168,1,0,6,67.0,11.2,0.7%
40,Geno Smith (LV),65,95,68.4,702,7.4,5,1,13,9,42,1,1,4,55.3,13.8,25.2%
41,Drew Lock (SEA),67,111,60.4,787,7.1,2,2,9,10,53,2,1,6,53.3,8.9,1.9%
42,Mike White (BUF),88,132,66.7,953,7.2,5,8,4,5,-1,0,0,4,52.0,13.0,1.1%
43,Josh Johnson (WAS),57,85,67.1,638,7.5,5,2,3,9,28,0,0,4,48.4,12.1,1.0%
44,Colt McCoy (FA),74,99,74.7,740,7.5,3,1,6,22,37,0,1,8,42.3,5.3,0.0%
45,Mike Glennon (FA),90,167,53.9,790,4.7,4,10,9,7,33,1,3,6,40.9,6.8,1.0%
46,Gardner Minshew II (KC),41,60,68.3,439,7.3,4,1,5,9,21,0,0,3,34.6,11.5,2.4%
47,Tim Boyle (TEN),61,94,64.9,526,5.6,3,6,0,2,13,0,0,4,30.4,7.6,0.0%
48,Case Keenum (CHI),47,72,65.3,462,6.4,3,1,5,12,22,0,1,5,29.6,5.9,0.6%
49,Cooper Rush (BAL),30,47,63.8,422,9.0,3,1,3,9,-8,0,1,4,25.1,6.3,2.2%
50,Jordan Love (GB),36,62,58.1,411,6.6,2,3,3,12,27,0,1,6,24.2,4.0,74.1%
51,Joe Flacco (CLE),27,42,64.3,338,8.0,3,0,2,2,3,0,1,2,23.8,11.9,10.4%
52,Mason Rudolph (PIT),35,58,60.3,277,4.8,1,1,0,5,53,0,0,2,19.4,9.7,3.0%
53,Nick Foles (FA),24,35,68.6,250,7.1,1,0,4,4,8,0,0,1,16.8,16.8,1.0%
54,P.J. Walker (FA),36,66,54.5,362,5.5,1,3,7,7,13,0,1,5,16.8,3.4,0.0%
55,Marcus Mariota (WAS),1,2,50.0,4,2.0,0,0,0,13,87,1,0,7,14.9,2.1,2.1%
56,Jake Fromm (FA),27,60,45.0,210,3.5,1,3,6,8,65,0,1,3,13.9,4.6,0.0%
57,Brandon Allen (TEN),17,34,50.0,149,4.4,2,0,4,7,-1,0,0,5,13.8,2.8,0.1%
58,Sean Mannion (FA),22,36,61.1,189,5.3,1,0,2,2,14,0,0,1,13.0,13.0,0.0%
59,Brian Hoyer (FA),9,11,81.8,227,20.6,1,0,0,11,-8,0,0,5,12.3,2.5,0.0%
60,Nick Mullens (JAC),20,30,66.7,147,4.9,1,0,0,0,0,0,0,1,9.9,9.9,1.1%
61,Mitchell Trubisky (BUF),6,8,75.0,43,5.4,0,1,0,13,24,1,0,5,9.1,1.8,0.7%
62,Kyle Allen (DET),12,19,63.2,120,6.3,1,0,2,2,11,0,1,2,7.9,4.0,1.1%
63,Garrett Gilbert (FA),20,31,64.5,194,6.3,0,0,2,0,0,0,0,1,7.8,7.8,0.0%
64,Ian Book (FA),12,20,60.0,135,6.8,0,2,8,3,6,0,0,1,4.0,4.0,1.2%
65,Chad Henne (FA),11,16,68.8,82,5.1,0,0,0,8,0,0,0,4,3.3,0.8,0.6%
66,Chris Streveler (FA),6,9,66.7,36,4.0,0,0,2,3,6,0,0,2,2.0,1.0,0.0%
67,Blaine Gabbert (FA),7,11,63.6,67,6.1,0,0,1,9,-7,0,0,6,1.9,0.3,1.1%
68,C.J. Beathard (FA),2,2,100.0,33,16.5,0,0,0,1,2,0,0,2,1.5,0.8,0.0%
69,Sam Ehlinger (DEN),0,0,0.0,0,0.0,0,0,0,3,9,0,0,3,0.9,0.3,0.0%
70,Ryan Fitzpatrick (FA),3,6,50.0,13,2.2,0,0,1,1,2,0,0,1,0.7,0.7,1.0%
71,David Blough (FA),0,0,0.0,0,0.0,0,0,1,1,6,0,0,1,0.6,0.6,0.0%
72,Kellen Mond (FA),2,3,66.7,5,1.7,0,0,0,0,0,0,0,2,0.2,0.1,0.0%
73,Nathan Peterman (FA),0,0,0.0,0,0.0,0,0,0,2,2,0,0,1,0.2,0.2,0.0%
74,Brett Rypien (MIN),0,2,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
75,Trace McSorley (FA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.8%
76,Jacob Eason (FA),2,5,40.0,25,5.0,0,1,0,0,0,0,0,1,0.0,0.0,0.0%
77,Kurt Benkert (FA),0,0,0.0,0,0.0,0,0,0,2,-1,0,0,1,-0.1,-0.1,0.0%
78,Chase Daniel (FA),0,0,0.0,0,0.0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0%
79,Davis Webb (FA),0,0,0.0,0,0.0,0,0,0,2,-3,0,0,1,-0.3,-0.3,0.0%
80,Feleipe Franks (ATL),0,1,0.0,0,0.0,0,1,0,3,6,0,0,6,-0.4,-0.1,0.0%
81,Logan Woodside (FA),0,0,0.0,0,0.0,0,0,0,6,-6,0,0,4,-0.6,-0.2,0.0%
82,John Wolford (JAC),1,4,25.0,5,1.3,0,1,1,2,-1,0,0,2,-0.9,-0.5,0.0%
83,Josh Rosen (FA),2,11,18.2,19,1.7,0,2,0,0,0,0,0,3,-1.2,-0.4,0.0%
