"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Cooper Kupp (SEA)","25","36","69.4%","198","7.9","12","45.0%","1","-5","0","33.3%","0","17","91.3","5.4","86.5%"
"2","Davante Adams (LAR)","18","28","64.3%","110","6.1","10","38.9%","0","0","0","0%","0","16","71.0","4.4","96.5%"
"3","Stefon Diggs (NE)","18","32","56.3%","136","7.6","9","41.6%","0","0","0","0.0%","0","17","67.6","4.0","84.6%"
"4","DK Metcalf (PIT)","13","19","68.4%","125","9.6","9","55.9%","0","0","0","0%","0","17","66.5","3.9","95.9%"
"5","Adam Thielen (CAR)","13","15","86.7%","105","8.1","9","31.3%","0","0","0","0.0%","0","13","64.5","5.0","39.0%"
"6","DeAndre Hopkins (BAL)","8","15","53.3%","89","11.1","8","27.3%","0","0","0","0.0%","0","10","56.9","5.7","20.0%"
"7","Mike Evans (TB)","12","18","66.7%","70","5.8","8","31.6%","0","0","0","0.0%","0","16","55.0","3.4","97.3%"
"8","Tyreek Hill (MIA)","16","23","69.6%","101","6.3","7","46.0%","2","6","0","66.7%","0","17","52.7","3.1","97.6%"
"9","Justin Jefferson (MIN)","11","22","50.0%","101","9.2","7","45.8%","2","0","0","100.0%","0","17","52.1","3.1","99.0%"
"10","Hunter Renfrow (CAR)","16","23","69.6%","100","6.3","7","63.9%","0","0","0","0.0%","0","17","52.0","3.1","1.8%"
"11","Deebo Samuel Sr. (WAS)","4","8","50.0%","29","7.3","2","25.8%","13","69","5","100.0%","0","16","51.8","3.2","86.5%"
"12","Keenan Allen (LAC)","17","25","68.0%","113","6.6","6","41.7%","0","0","0","0.0%","0","16","47.3","3.0","21.1%"
"13","Chris Godwin (TB)","20","26","76.9%","130","6.5","5","45.6%","1","2","1","100.0%","1","14","47.2","3.4","87.8%"
"14","Gabe Davis (FA)","8","15","53.3%","76","9.5","6","19.5%","0","0","0","0.0%","0","15","43.6","2.9","12.6%"
"15","Allen Lazard (NYJ)","6","14","42.9%","64","10.7","6","19.4%","0","0","0","0%","0","14","42.4","3.0","3.9%"
"16","Jaylen Waddle (MIA)","11","14","78.6%","44","4.0","5","38.9%","1","1","1","100.0%","0","16","40.5","2.5","89.4%"
"17","Ja'Marr Chase (CIN)","10","15","66.7%","87","8.7","5","41.7%","1","0","0","100.0%","0","17","38.7","2.3","99.4%"
"18","Robert Woods (PIT)","9","16","56.3%","66","7.3","4","20.0%","2","21","1","66.7%","0","9","38.7","4.3","1.3%"
"19","Amari Cooper (FA)","14","18","77.8%","84","6.0","5","33.3%","0","0","0","0.0%","0","15","38.4","2.6","13.3%"
"20","Elijah Moore (BUF)","5","8","62.5%","53","10.6","4","18.6%","2","26","1","40.0%","0","11","37.9","3.4","4.9%"
"21","Diontae Johnson (CLE)","11","20","55.0%","75","6.8","5","40.0%","0","0","0","0.0%","0","16","37.5","2.3","17.5%"
"22","Brandon Aiyuk (SF)","5","10","50.0%","39","7.8","5","32.3%","0","0","0","0.0%","0","17","33.9","2.0","63.7%"
"23","Mike Williams (FA)","7","21","33.3%","65","9.3","4","35.0%","0","0","0","0.0%","0","16","30.5","1.9","13.7%"
"24","Tee Higgins (CIN)","7","13","53.8%","62","8.9","4","36.1%","0","0","0","0.0%","0","14","30.2","2.2","97.6%"
"25","Marquez Callaway (FA)","5","8","62.5%","52","10.4","4","32.0%","0","0","0","0.0%","0","17","29.2","1.7","0.0%"
"26","Braxton Berrios (HOU)","6","8","75.0%","40","6.7","2","18.6%","3","12","2","60.0%","0","16","29.2","1.8","0.6%"
