Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Cooper Kupp (SEA),145,191,1947,13.4,59,30,16,4,18,0,0,17,367.0,21.6,86.5%
2,Deebo Samuel Sr. (WAS),77,121,1405,18.2,83,24,6,59,365,8,2,16,300.5,18.8,86.5%
3,Davante Adams (LAR),123,169,1553,12.6,59,19,11,0,0,0,0,16,282.8,17.7,96.5%
4,Justin Jefferson (MIN),108,167,1616,15.0,56,27,10,6,14,0,1,17,276.4,16.3,99.0%
5,Ja'Marr Chase (CIN),81,128,1455,18.0,82,22,13,7,21,0,1,17,264.1,15.5,99.4%
6,Tyreek Hill (MIA),111,159,1239,11.2,75,13,9,9,96,0,1,17,241.0,14.2,97.6%
7,Stefon Diggs (NE),103,164,1225,11.9,61,12,10,0,0,0,0,17,234.0,13.8,84.6%
8,Mike Evans (TB),74,114,1035,14.0,46,20,14,1,10,0,0,16,225.5,14.1,97.3%
9,Diontae Johnson (CLE),107,169,1161,10.9,50,14,8,5,53,0,2,16,220.9,13.8,17.5%
10,Mike Williams (FA),76,129,1146,15.1,72,17,9,0,0,0,0,16,208.6,13.0,13.7%
11,Hunter Renfrow (CAR),103,128,1038,10.1,54,10,9,3,3,0,1,17,207.6,12.2,1.8%
12,DK Metcalf (PIT),75,129,967,12.9,84,11,12,1,6,0,0,17,206.8,12.2,95.9%
13,Tyler Lockett (TEN),73,107,1175,16.1,69,22,8,2,9,0,0,16,204.9,12.8,12.8%
14,Keenan Allen (LAC),106,157,1138,10.7,42,12,6,0,0,0,0,16,204.8,12.8,21.1%
15,Michael Pittman Jr. (IND),88,129,1082,12.3,57,12,6,5,44,0,0,17,194.6,11.4,70.2%
16,Jaylen Waddle (MIA),104,140,1015,9.8,57,8,6,2,3,1,1,16,193.8,12.1,89.4%
