"Rank","Player","COMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Josh Allen (BUF)","40","68","58.8%","282","4.1","18","0","6","33","134","15","94.3%","0","17","186.7","11.0","99.5%"
"2","Jalen Hurts (PHI)","32","54","59.3%","224","4.1","13","1","6","44","88","15","100.0%","1","17","157.8","9.3","98.6%"
"3","Jordan Love (GB)","51","94","54.3%","315","3.4","23","3","7","9","23","4","100.0%","0","17","130.9","7.7","74.1%"
"4","Dak Prescott (DAL)","55","98","56.1%","390","4.0","24","2","7","14","82","2","100.0%","1","17","129.8","7.6","81.3%"
"5","Lamar Jackson (BAL)","43","64","67.2%","282","4.4","17","2","4","32","122","5","91.4%","0","16","121.5","7.6","98.8%"
"6","Russell Wilson (NYG)","47","76","61.8%","312","4.1","20","1","8","19","20","3","100.0%","1","15","110.5","7.4","15.6%"
"7","Patrick Mahomes II (KC)","59","97","60.8%","341","3.5","24","2","5","13","16","0","100.0%","1","16","109.2","6.8","96.5%"
"8","Brock Purdy (SF)","49","70","70.0%","367","5.2","19","2","3","7","28","2","100.0%","0","16","105.5","6.6","89.7%"
"9","Jared Goff (DET)","44","78","56.4%","309","4.0","18","0","1","12","14","2","100.0%","0","17","97.8","5.8","82.1%"
"10","Sam Howell (MIN)","30","61","49.2%","170","2.8","12","3","1","8","36","5","88.9%","0","17","88.4","5.2","9.7%"
"11","C.J. Stroud (HOU)","29","63","46.0%","215","3.4","15","2","3","9","30","3","81.8%","1","15","87.6","5.8","72.8%"
"12","Justin Herbert (LAC)","38","68","55.9%","189","2.8","15","1","3","12","34","3","85.7%","1","13","87.0","6.7","87.7%"
"13","Matthew Stafford (LAR)","40","83","48.2%","257","3.1","18","0","3","3","4","0","100.0%","0","15","82.7","5.5","35.6%"
"14","Trevor Lawrence (JAC)","29","54","53.7%","217","4.0","12","1","4","13","28","4","100.0%","1","16","81.5","5.1","42.7%"
"15","Justin Fields (NYJ)","26","47","55.3%","170","3.6","11","1","4","22","56","4","84.6%","0","13","80.4","6.2","77.4%"
"16","Joshua Dobbs (NE)","30","50","60.0%","157","3.1","11","1","2","11","53","4","45.8%","0","13","79.6","6.1","2.5%"
"17","Geno Smith (LV)","28","65","43.1%","208","3.2","15","2","5","8","25","1","100.0%","0","15","76.8","5.1","25.2%"
"18","Baker Mayfield (TB)","32","64","50.0%","205","3.2","14","1","6","13","3","1","100.0%","0","17","70.5","4.1","94.7%"
"19","Tua Tagovailoa (MIA)","43","73","58.9%","256","3.5","16","1","6","8","3","0","100.0%","2","17","70.5","4.1","41.8%"
"20","Derek Carr (FA)","34","65","52.3%","222","3.4","15","1","2","6","2","0","66.7%","0","17","69.1","4.1","15.1%"
"21","Desmond Ridder (CIN)","26","43","60.5%","157","3.7","8","3","3","12","55","5","92.3%","3","15","67.8","4.5","1.4%"
"22","Gardner Minshew II (KC)","32","61","52.5%","224","3.7","10","1","5","7","28","3","46.7%","1","16","67.8","4.2","2.4%"
"23","Kirk Cousins (ATL)","25","50","50.0%","186","3.7","12","3","1","4","6","0","57.1%","0","8","56.0","7.0","8.7%"
"24","Kyler Murray (ARI)","15","24","62.5%","100","4.2","7","0","3","12","35","3","50.0%","0","8","53.5","6.7","89.5%"
"25","Joe Burrow (CIN)","35","51","68.6%","198","3.9","11","2","2","2","4","0","20.0%","0","10","52.3","5.2","98.2%"
"26","Bryce Young (CAR)","22","44","50.0%","133","3.0","11","0","8","7","13","0","87.5%","1","16","48.6","3.0","38.1%"
"27","Jake Browning (CIN)","21","32","65.6%","156","4.9","5","2","1","8","9","3","80.0%","0","9","45.1","5.0","2.4%"
"28","Aidan O'Connell (LV)","33","45","73.3%","195","4.3","7","1","0","6","-2","1","66.7%","0","11","41.6","3.8","4.5%"
"29","Mac Jones (SF)","19","29","65.5%","144","5.0","8","1","3","0","0","0","0.0%","0","11","37.8","3.4","2.9%"
"30","Deshaun Watson (CLE)","14","19","73.7%","90","4.7","6","0","3","3","27","1","33.3%","0","6","36.3","6.1","7.5%"
"31","Tommy DeVito (NYG)","9","15","60.0%","52","3.5","6","0","0","4","19","1","28.6%","0","10","34.0","3.4","0.6%"
"32","Anthony Richardson Sr. (IND)","4","6","66.7%","32","5.3","1","0","1","8","44","4","53.3%","0","4","33.7","8.4","35.7%"
"33","Bailey Zappe (KC)","7","9","77.8%","70","7.8","5","0","0","1","17","1","100.0%","0","10","30.5","3.1","1.1%"
"34","Zach Wilson (MIA)","20","38","52.6%","136","3.6","6","1","7","2","8","0","66.7%","0","12","30.2","2.5","3.5%"
"35","Jimmy Garoppolo (LAR)","12","21","57.1%","79","3.8","6","2","1","3","11","0","33.3%","0","7","28.3","4.0","1.9%"
"36","Tyson Bagent (CHI)","11","18","61.1%","91","5.1","3","0","1","4","6","2","15.4%","0","5","28.2","5.6","0.8%"
"37","Will Levis (TEN)","7","20","35.0%","46","2.3","4","1","3","3","14","1","50.0%","0","9","25.2","2.8","2.6%"
"38","Joe Flacco (CLE)","14","27","51.9%","79","2.9","5","2","0","4","6","0","44.4%","0","5","23.8","4.8","10.4%"
"39","Mitchell Trubisky (BUF)","4","5","80.0%","19","3.8","2","0","0","4","9","2","33.3%","0","5","21.7","4.3","0.7%"
