"Rank","Player","COMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"40","Kenny Pickett (CLE)","14","32","43.8%","74","2.3","3","0","1","5","-3","1","41.7%","0","12","20.7","1.7","7.6%"
"41","Daniel Jones (IND)","7","12","58.3%","45","3.8","2","1","2","8","38","1","57.1%","0","6","19.6","3.3","20.0%"
"42","Ryan Tannehill (FA)","13","26","50.0%","71","2.7","2","0","4","2","11","1","33.3%","0","9","17.9","2.0","1.1%"
"43","Easton Stick (ATL)","5","9","55.6%","34","3.8","2","0","1","2","3","1","14.3%","0","5","15.7","3.1","0.0%"
"44","Nick Mullens (JAC)","7","17","41.2%","48","2.8","3","1","1","2","3","0","28.6%","0","5","14.2","2.8","1.1%"
"45","Taylor Heinicke (LAC)","4","7","57.1%","19","2.7","2","0","1","1","11","0","7.7%","0","5","9.9","2.0","0.6%"
"46","Davis Mills (HOU)","3","6","50.0%","18","3.0","2","0","0","1","9","0","9.1%","0","6","9.6","1.6","0.6%"
"47","Tyler Huntley (CLE)","4","6","66.7%","37","6.2","2","0","0","3","0","0","8.6%","0","5","9.5","1.9","1.0%"
"48","Jacoby Brissett (ARI)","4","8","50.0%","22","2.8","2","0","0","1","0","0","11.1%","0","2","8.9","4.5","3.2%"
"49","Jameis Winston (NYG)","3","4","75.0%","31","7.8","2","0","0","3","-4","0","33.3%","0","6","8.8","1.5","4.5%"
"50","Clayton Tune (ARI)","0","0","0%","0","0","0","0","0","1","1","1","4.2%","0","8","6.1","0.8","1.0%"
"51","Tyrod Taylor (NYJ)","4","11","36.4%","30","2.7","1","0","2","2","8","0","14.3%","0","10","6.0","0.6","1.9%"
"52","Case Keenum (CHI)","3","5","60.0%","27","5.4","1","0","0","1","1","0","9.1%","0","2","5.2","2.6","0.6%"
"53","Trevor Siemian (FA)","6","14","42.9%","29","2.1","1","1","0","0","0","0","0.0%","0","5","5.2","1.0","0.0%"
"54","P.J. Walker (FA)","3","12","25.0%","28","2.3","1","1","0","0","0","0","0.0%","0","5","5.1","1.0","0.0%"
"55","Dorian Thompson-Robinson (PHI)","3","15","20.0%","17","1.1","1","1","0","2","3","0","22.2%","0","7","5.0","0.7","0.8%"
"56","Tim Boyle (TEN)","4","6","66.7%","17","2.8","1","1","1","1","2","0","33.3%","0","3","4.9","1.6","0.0%"
"57","Sam Darnold (SEA)","3","8","37.5%","23","2.9","1","1","1","0","0","0","0.0%","0","10","4.9","0.5","32.2%"
"58","Andy Dalton (CAR)","1","1","100.0%","15","15.0","1","0","1","1","1","0","12.5%","0","3","4.7","1.6","0.8%"
"59","C.J. Beathard (FA)","3","10","30.0%","10","1.0","1","0","4","0","0","0","0.0%","0","7","4.4","0.6","0.0%"
"60","Mason Rudolph (PIT)","5","7","71.4%","23","3.3","0","0","1","3","8","0","25.0%","0","4","1.7","0.4","3.0%"
"61","Brian Hoyer (FA)","4","8","50.0%","22","2.8","0","0","0","0","0","0","0.0%","0","2","0.9","0.5","0.0%"
"62","Jaren Hall (FA)","2","3","66.7%","13","4.3","0","0","0","1","3","0","14.3%","0","3","0.8","0.3","1.2%"
"63","Jarrett Stidham (DEN)","2","4","50.0%","17","4.3","0","0","0","0","0","0","0.0%","0","3","0.7","0.2","0.9%"
"64","Malik Willis (GB)","0","1","0.0%","0","0.0","0","0","2","1","4","0","16.7%","0","2","0.4","0.2","3.2%"
"65","Drew Lock (SEA)","2","4","50.0%","5","1.3","0","0","1","0","0","0","0.0%","0","4","0.2","0.1","1.9%"
"66","Mike White (BUF)","1","1","100.0%","3","3.0","0","0","0","0","0","0","0.0%","0","6","0.1","0.0","1.1%"
"67","Kyle Trask (TB)","0","1","0.0%","0","0.0","0","0","0","0","0","0","0.0%","0","2","0.0","0.0","0.7%"
"68","Cooper Rush (BAL)","1","1","100.0%","-2","-2.0","0","0","0","0","0","0","0.0%","0","8","-0.1","0.0","2.2%"
"69","Kyle Allen (DET)","0","0","0%","0","0","0","0","0","2","-2","0","5.7%","0","6","-0.2","0.0","1.1%"
""
""
