"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Justin Jefferson (MIN)","14","28","50.0%","111","7.9","6","46.7%","1","3","1","100.0%","0","17","53.4","3.1","99.0%"
"2","Christian Kirk (HOU)","13","22","59.1%","98","7.5","7","40.0%","0","0","0","0.0%","0","17","51.8","3.0","38.7%"
"3","Stefon Diggs (NE)","11","23","47.8%","91","8.3","7","45.1%","0","0","0","0.0%","0","17","51.1","3.0","84.6%"
"4","Amon-Ra St. Brown (DET)","13","21","61.9%","98","7.5","6","43.8%","4","12","0","80.0%","0","16","47.0","2.9","99.5%"
"5","Brandon Aiyuk (SF)","10","15","66.7%","75","7.5","6","48.4%","0","0","0","0.0%","0","17","43.5","2.6","63.7%"
"6","Ja'Marr Chase (CIN)","14","25","56.0%","133","9.5","5","45.5%","1","-1","0","33.3%","0","13","43.2","3.3","99.4%"
"7","Amari Cooper (FA)","7","18","38.9%","66","9.4","6","52.9%","0","0","0","0%","0","17","42.6","2.5","13.3%"
"8","Christian Watson (GB)","9","14","64.3%","55","6.1","4","29.2%","3","25","1","100.0%","0","14","38.0","2.7","18.8%"
"9","Cooper Kupp (SEA)","8","11","72.7%","56","7.0","4","26.2%","1","20","1","14.3%","0","9","37.6","4.2","86.5%"
"10","DK Metcalf (PIT)","9","27","33.3%","69","7.7","5","60.0%","0","0","0","0%","0","17","36.9","2.2","95.9%"
"11","DeVonta Smith (PHI)","7","12","58.3%","64","9.1","5","36.4%","0","0","0","0.0%","0","17","36.4","2.1","93.2%"
"12","Jerry Jeudy (CLE)","7","11","63.6%","59","8.4","5","36.7%","0","0","0","0.0%","0","15","35.9","2.4","89.0%"
"13","DJ Moore (CHI)","6","11","54.5%","56","9.3","5","45.8%","1","1","0","100.0%","0","17","35.7","2.1","94.3%"
"14","Jahan Dotson (PHI)","6","8","75.0%","55","9.2","5","22.9%","0","0","0","0.0%","0","12","35.5","3.0","7.2%"
"15","Mecole Hardman Jr. (GB)","8","10","80.0%","52","6.5","4","25.0%","1","3","1","50.0%","0","8","35.5","4.4","1.0%"
"16","Isaiah McKenzie (FA)","6","13","46.2%","50","8.3","4","25.5%","2","2","1","100.0%","0","16","35.2","2.2","0.0%"
"17","CeeDee Lamb (DAL)","11","15","73.3%","86","7.8","4","36.6%","1","6","0","50.0%","0","17","33.2","2.0","98.7%"
"18","Mike Williams (FA)","7","12","58.3%","75","10.7","4","29.3%","0","0","0","0%","0","13","31.5","2.4","13.7%"
"19","Adam Thielen (CAR)","13","19","68.4%","75","5.8","4","31.7%","0","0","0","0.0%","0","17","31.5","1.9","39.0%"
"20","Curtis Samuel (BUF)","6","11","54.5%","47","7.8","3","31.4%","7","26","1","100.0%","0","17","31.3","1.8","8.8%"
"21","A.J. Brown (PHI)","7","15","46.7%","70","10.0","4","45.5%","0","0","0","0.0%","0","17","31.0","1.8","99.0%"
"22","Russell Gage Jr. (SF)","10","16","62.5%","66","6.6","4","25.8%","0","0","0","0.0%","0","13","30.6","2.4","0.0%"
