"Rank","Player","G","REC","YDS","Y/R","YBC","YBC/R","AIR","AIR/R","YAC","YAC/R","YACON","YACON/R","BRKTKL","TGT","% TM","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS","LNG"
"38","Theo Johnson (NYG)","12","29","331","11.4","182","6.3","288","9.9","149","5.1","29","1.0","1","43","7.8%","34","5","1","15","4","1","0","0","35"
"39","Dawson Knox (BUF)","16","22","311","14.1","217","9.9","290","13.2","94","4.3","27","1.2","0","33","6.7%","23","1","4","11","7","2","0","0","39"
"40","Grant Calcaterra (PHI)","17","24","298","12.4","172","7.2","220","9.2","126","5.3","12","0.5","0","30","7.2%","24","0","2","11","6","2","0","0","34"
"41","Colby Parkinson (LAR)","17","30","294","9.8","134","4.5","258","8.6","160","5.3","38","1.3","1","49","9.1%","32","2","9","11","2","0","0","0","23"
"42","Tommy Tremble (CAR)","12","23","234","10.2","109","4.7","182","7.9","125","5.4","56","2.4","1","32","6.2%","24","1","3","9","2","1","0","0","38"
"43","Josh Whyle (TEN)","17","28","248","8.9","105","3.8","209","7.5","143","5.1","36","1.3","1","37","7.3%","28","1","4","9","3","1","0","0","33"
"44","Nick Vannett (FA)","13","17","135","7.9","25","1.5","25","1.5","110","6.5","20","1.2","0","20","3.9%","17","0","5","3","1","0","0","0","24"
"45","Adam Trautman (DEN)","17","13","188","14.5","90","6.9","122","9.4","98","7.5","5","0.4","0","22","4.0%","14","1","4","8","2","2","0","0","37"
"46","Luke Schoonmaker (DAL)","17","27","241","8.9","144","5.3","198","7.3","97","3.6","35","1.3","0","36","5.8%","27","0","1","9","3","0","0","0","24"
"47","Nate Adkins (DEN)","17","14","115","8.2","39","2.8","62","4.4","76","5.4","16","1.1","1","15","2.7%","14","0","4","5","0","0","0","0","16"
"48","Elijah Higgins (ARI)","17","20","172","8.6","82","4.1","108","5.4","90","4.5","38","1.9","3","24","4.6%","21","1","3","7","1","0","0","0","23"
"49","Johnny Mundt (JAC)","15","19","142","7.5","59","3.1","110","5.8","83","4.4","15","0.8","2","27","5.2%","21","2","5","5","1","0","0","0","20"
"50","Darnell Washington (PIT)","17","19","200","10.5","74","3.9","108","5.7","126","6.6","52","2.7","2","25","5.4%","19","0","2","8","3","0","0","0","29"
"51","Payne Durham (TB)","16","11","115","10.5","91","8.3","124","11.3","24","2.2","8","0.7","0","14","2.5%","11","0","2","3","2","1","0","0","31"
"52","Brock Wright (DET)","17","13","100","7.7","25","1.9","81","6.2","75","5.8","17","1.3","1","16","3.1%","13","0","5","5","0","0","0","0","16"
"53","Mo Alie-Cox (IND)","17","12","147","12.3","98","8.2","211","17.6","49","4.1","19","1.6","0","22","4.5%","13","1","6","7","2","0","0","0","22"
"54","Tanner Hudson (CIN)","11","19","154","8.1","57","3.0","98","5.2","97","5.1","29","1.5","0","23","3.7%","20","1","3","6","0","0","0","0","19"
"55","Charlie Kolar (BAL)","13","9","131","14.6","55","6.1","69","7.7","76","8.4","5","0.6","0","11","2.4%","9","0","1","3","2","2","1","1","55"
"56","Cade Stover (HOU)","15","15","133","8.9","39","2.6","118","7.9","94","6.3","34","2.3","2","22","4.0%","16","1","3","7","1","0","0","0","27"
"57","Stone Smartt (NYJ)","9","16","208","13.0","142","8.9","192","12.0","66","4.1","13","0.8","0","19","3.9%","18","2","0","8","4","2","0","0","31"
"58","Tyler Higbee (LAR)","3","8","66","8.3","18","2.3","26","3.3","48","6.0","14","1.8","0","12","2.2%","8","0","5","3","0","0","0","0","17"
"59","Kylen Granson (PHI)","16","14","182","13.0","73","5.2","349","24.9","109","7.8","11","0.8","0","31","6.3%","15","1","5","7","3","1","1","0","40"
"60","Drew Ogletree (IND)","17","9","109","12.1","59","6.6","150","16.7","50","5.6","13","1.4","0","14","2.8%","10","1","3","5","3","0","0","0","22"
"61","Drew Sample (CIN)","17","20","109","5.5","28","1.4","34","1.7","81","4.1","19","1.0","1","22","3.5%","20","0","2","3","0","0","0","0","12"
"62","Erick All Jr. (CIN)","9","20","158","7.9","71","3.6","74","3.7","87","4.4","22","1.1","1","22","3.5%","21","1","1","5","1","0","0","0","28"
"63","Eric Saubert (SEA)","13","11","97","8.8","62","5.6","88","8.0","35","3.2","2","0.2","0","14","2.7%","12","1","3","5","0","0","0","0","17"
"64","Michael Mayer (LV)","11","21","156","7.4","95","4.5","197","9.4","61","2.9","25","1.2","2","32","5.4%","23","2","6","5","1","0","0","0","29"
"65","Lucas Krull (DEN)","13","19","152","8.0","85","4.5","118","6.2","67","3.5","24","1.3","2","23","4.2%","19","0","0","7","1","0","0","0","23"
"66","Daniel Bellinger (NYG)","17","14","125","8.9","72","5.1","87","6.2","53","3.8","14","1.0","0","17","3.1%","14","0","0","6","0","0","0","0","17"
"67","Blake Whiteheart (CLE)","11","6","51","8.5","41","6.8","81","13.5","10","1.7","6","1.0","0","9","1.4%","6","0","2","1","1","0","0","0","29"
"68","Kenny Yeboah (DET)","7","5","47","9.4","13","2.6","37","7.4","34","6.8","2","0.4","0","8","1.4%","6","2","1","3","0","0","0","0","13"
"69","Jeremy Ruckert (NYJ)","17","18","105","5.8","21","1.2","96","5.3","84","4.7","23","1.3","0","28","4.8%","20","2","3","4","0","0","0","0","12"
"70","Connor Heyward (PIT)","17","6","40","6.7","33","5.5","67","11.2","7","1.2","0","0.0","0","8","1.7%","8","2","1","1","0","0","0","0","16"
"71","Julian Hill (MIA)","16","12","100","8.3","42","3.5","120","10.0","58","4.8","28","2.3","3","19","3.3%","14","2","5","5","0","0","0","0","17"
"72","MyCole Pruitt (FA)","8","6","40","6.7","24","4.0","27","4.5","16","2.7","8","1.3","0","10","2.2%","6","0","1","2","0","0","0","0","18"
"73","Quintin Morris (JAC)","10","5","36","7.2","14","2.8","74","14.8","22","4.4","3","0.6","0","8","1.6%","6","1","1","1","0","0","0","0","14"
"74","Chris Manhertz (NYG)","17","3","30","10.0","11","3.7","15","5.0","19","6.3","2","0.7","0","4","0.7%","3","0","1","2","0","0","0","0","16"
"75","Devin Culp (TB)","5","5","88","17.6","57","11.4","73","14.6","31","6.2","18","3.6","0","6","1.1%","5","0","2","4","2","0","0","0","26"
"76","Ben Sinnott (WAS)","17","5","28","5.6","9","1.8","9","1.8","19","3.8","7","1.4","0","5","1.0%","5","0","1","1","0","0","0","0","12"
"77","Brevyn Spann-Ford (DAL)","17","9","88","9.8","35","3.9","82","9.1","53","5.9","9","1.0","0","14","2.3%","9","0","2","4","0","0","0","0","18"
"78","Harrison Bryant (PHI)","6","9","86","9.6","15","1.7","41","4.6","71","7.9","21","2.3","2","12","2.0%","9","0","0","4","0","0","0","0","18"
"79","Hayden Hurst (FA)","7","8","73","9.1","53","6.6","62","7.8","20","2.5","5","0.6","0","13","2.6%","10","2","3","1","1","0","0","0","27"
"80","Luke Farrell (SF)","12","12","67","5.6","37","3.1","82","6.8","30","2.5","17","1.4","1","17","3.3%","13","1","1","1","0","0","0","0","11"
"81","John Bates (WAS)","17","8","84","10.5","35","4.4","63","7.9","49","6.1","13","1.6","1","13","2.6%","9","1","1","3","1","0","0","0","20"
"82","Hunter Long (JAC)","11","7","60","8.6","30","4.3","31","4.4","30","4.3","10","1.4","0","9","1.7%","8","1","0","1","0","0","0","0","18"
"83","Durham Smythe (CHI)","14","9","53","5.9","37","4.1","94","10.4","16","1.8","1","0.1","0","17","3.0%","10","1","3","0","0","0","0","0","8"
"84","Peyton Hendershot (FA)","5","5","51","10.2","19","3.8","19","3.8","32","6.4","13","2.6","0","5","0.9%","5","0","1","3","0","0","0","0","15"
"85","Charlie Woerner (ATL)","16","7","46","6.6","25","3.6","35","5.0","21","3.0","5","0.7","0","12","2.2%","8","1","0","2","0","0","0","0","13"
"86","Pharaoh Brown (MIA)","10","8","65","8.1","35","4.4","50","6.3","30","3.8","13","1.6","1","12","2.1%","9","1","1","2","0","0","0","0","17"
"87","Luke Musgrave (GB)","7","7","45","6.4","27","3.9","66","9.4","18","2.6","3","0.4","0","10","2.2%","7","0","1","1","0","0","0","0","19"
"88","Ben Sims (GB)","17","4","42","10.5","26","6.5","40","10.0","16","4.0","1","0.3","0","5","1.1%","4","0","2","2","1","0","0","0","28"
"89","Davis Allen (LAR)","14","6","39","6.5","18","3.0","50","8.3","21","3.5","6","1.0","0","13","2.4%","8","2","5","2","0","0","0","0","13"
"90","Tucker Fisk (LAC)","9","7","39","5.6","18","2.6","20","2.9","21","3.0","6","0.9","0","8","1.6%","7","0","1","1","0","0","0","0","10"
"91","Tip Reiman (ARI)","17","6","37","6.2","8","1.3","12","2.0","29","4.8","19","3.2","1","7","1.3%","6","0","0","1","0","0","0","0","14"
"92","Gerald Everett (FA)","10","8","36","4.5","-5","-0.6","36","4.5","41","5.1","12","1.5","2","13","2.5%","9","1","2","1","0","0","0","0","17"
"93","Will Mallory (IND)","10","4","29","7.3","25","6.3","69","17.3","4","1.0","2","0.5","1","8","1.6%","4","0","0","1","0","0","0","0","10"
"94","Greg Dulcich (NYG)","9","5","28","5.6","13","2.6","71","14.2","15","3.0","4","0.8","0","12","2.2%","7","2","1","0","0","0","0","0","9"
"95","Cam Grandy (CIN)","8","5","28","5.6","12","2.4","12","2.4","16","3.2","7","1.4","0","5","0.8%","5","0","2","0","0","0","0","0","9"
"96","Dallin Holker (FA)","12","3","21","7.0","8","2.7","36","12.0","13","4.3","2","0.7","0","4","0.8%","3","0","0","1","0","0","0","0","10"
"97","Tanner Conner (MIA)","7","3","16","5.3","11","3.7","46","15.3","5","1.7","2","0.7","0","4","0.7%","3","0","1","1","0","0","0","0","11"
"98","Josiah Deguara (ARI)","7","3","14","4.7","2","0.7","2","0.7","12","4.0","6","2.0","0","3","0.6%","3","0","2","0","0","0","0","0","8"
"99","Eric Tomlinson (FA)","5","2","9","4.5","-3","-1.5","8","4.0","12","6.0","5","2.5","1","4","0.8%","4","1","1","0","0","0","0","0","7"
"100","Ian Thomas (LV)","3","3","7","2.3","1","0.3","25","8.3","6","2.0","1","0.3","0","6","1.2%","4","1","1","0","0","0","0","0","3"
""
""
