Draft_ID,Season,Pick_No,Round,Draft_Slot,Player_Name,Position,Team,Picked_By_Username,Is_Keeper
726147054321143809,2021,73,7,1,Tee Higgins,WR,CIN,gkflo,
726147054321143809,2021,74,7,2,Jerry Jeudy,WR,CLE,jetsnation36,
726147054321143809,2021,75,7,3,Ja'Marr Chase,WR,CIN,Grasshoppaz,
726147054321143809,2021,76,7,4,Melvin Gordon,RB,,tombiancamano,
726147054321143809,2021,77,7,5,Damien Harris,RB,,bwizzle127,
726147054321143809,2021,78,7,6,Trey Sermon,RB,PIT,coreyreisch,
726147054321143809,2021,79,7,7,JuJu Smith-Schuster,WR,KC,NickMarraro,
726147054321143809,2021,80,7,8,James Conner,RB,ARI,lilmelo,
726147054321143809,2021,81,7,9,Robbie Chosen,WR,,roneill19,
726147054321143809,2021,82,7,10,A.J. Dillon,RB,PHI,BigFish0,
726147054321143809,2021,83,7,11,DeVonta Smith,WR,PHI,freddychips,
726147054321143809,2021,84,7,12,Deebo Samuel,WR,WAS,davesiss,
726147054321143809,2021,85,8,12,Zack Moss,RB,,davesiss,
726147054321143809,2021,86,8,11,Leonard Fournette,RB,,freddychips,
726147054321143809,2021,87,8,10,Corey Davis,WR,,BigFish0,
726147054321143809,2021,88,8,9,Aaron Rodgers,QB,PIT,roneill19,
726147054321143809,2021,89,8,8,Tyler Boyd,WR,,lilmelo,
726147054321143809,2021,90,8,7,Michael Carter,RB,ARI,NickMarraro,
726147054321143809,2021,91,8,6,Jaylen Waddle,WR,MIA,coreyreisch,
726147054321143809,2021,92,8,5,Antonio Brown,WR,,bwizzle127,
726147054321143809,2021,93,8,4,David Johnson,RB,,tombiancamano,
726147054321143809,2021,94,8,3,Kenyan Drake,RB,,Grasshoppaz,
726147054321143809,2021,95,8,2,Brandin Cooks,WR,NO,jetsnation36,
726147054321143809,2021,96,8,1,Jarvis Landry,WR,,gkflo,
726147054321143809,2021,97,9,1,Curtis Samuel,WR,BUF,gkflo,
726147054321143809,2021,98,9,2,Michael Pittman,WR,IND,jetsnation36,
726147054321143809,2021,99,9,3,Noah Fant,TE,CIN,Grasshoppaz,
726147054321143809,2021,100,9,4,Jalen Hurts,QB,PHI,tombiancamano,
726147054321143809,2021,101,9,5,Devin Singletary,RB,NYG,bwizzle127,
726147054321143809,2021,102,9,6,Robert Tonyan,TE,KC,coreyreisch,
726147054321143809,2021,103,9,7,Dallas Goedert,TE,PHI,NickMarraro,
726147054321143809,2021,104,9,8,Phillip Lindsay,RB,,lilmelo,
726147054321143809,2021,105,9,9,Sony Michel,RB,,roneill19,
726147054321143809,2021,106,9,10,Tyler Higbee,TE,LAR,BigFish0,
726147054321143809,2021,107,9,11,William Fuller,WR,,freddychips,
726147054321143809,2021,108,9,12,Tom Brady,QB,,davesiss,
726147054321143809,2021,109,10,12,Darnell Mooney,WR,ATL,davesiss,
726147054321143809,2021,110,10,11,Joe Burrow,QB,CIN,freddychips,
726147054321143809,2021,111,10,10,Nyheim Miller-Hines,RB,LAC,BigFish0,
726147054321143809,2021,112,10,9,Mike Gesicki,TE,CIN,roneill19,
726147054321143809,2021,113,10,8,Michael Gallup,WR,WAS,lilmelo,
726147054321143809,2021,114,10,7,Matthew Stafford,QB,LAR,NickMarraro,
726147054321143809,2021,115,10,6,Jamaal Williams,RB,,coreyreisch,
726147054321143809,2021,116,10,5,Laviska Shenault,WR,BUF,bwizzle127,
726147054321143809,2021,117,10,4,Mecole Hardman,WR,GB,tombiancamano,
726147054321143809,2021,118,10,3,Marvin Jones,WR,,Grasshoppaz,
726147054321143809,2021,119,10,2,Ryan Tannehill,QB,,jetsnation36,
726147054321143809,2021,120,10,1,Latavius Murray,RB,,gkflo,
726147054321143809,2021,121,11,1,Chuba Hubbard,RB,CAR,gkflo,
726147054321143809,2021,122,11,2,Trey Lance,QB,LAC,jetsnation36,
726147054321143809,2021,123,11,3,Hollywood Brown,WR,KC,Grasshoppaz,
726147054321143809,2021,124,11,4,Tony Pollard,RB,TEN,tombiancamano,
726147054321143809,2021,125,11,5,Tampa Bay Buccaneers,DEF,TB,bwizzle127,
726147054321143809,2021,126,11,6,J.D. McKissic,RB,,coreyreisch,
726147054321143809,2021,127,11,7,Mike Williams,WR,,NickMarraro,
726147054321143809,2021,128,11,8,Rashaad Penny,RB,,lilmelo,
726147054321143809,2021,129,11,9,Elijah Moore,WR,BUF,roneill19,
726147054321143809,2021,130,11,10,Russell Gage,WR,SF,BigFish0,
726147054321143809,2021,131,11,11,Younghoe Koo,K,ATL,freddychips,
726147054321143809,2021,132,11,12,Nelson Agholor,WR,,davesiss,
726147054321143809,2021,133,12,12,Henry Ruggs,WR,,davesiss,
726147054321143809,2021,134,12,11,Rob Gronkowski,TE,,freddychips,
726147054321143809,2021,135,12,10,James White,RB,,BigFish0,
726147054321143809,2021,136,12,9,Justin Fields,QB,NYJ,roneill19,
726147054321143809,2021,137,12,8,T.Y. Hilton,WR,,lilmelo,
726147054321143809,2021,138,12,7,Justin Tucker,K,,NickMarraro,
726147054321143809,2021,139,12,6,Harrison Butker,K,KC,coreyreisch,
726147054321143809,2021,140,12,5,Alexander Mattison,RB,MIA,bwizzle127,
726147054321143809,2021,141,12,4,DeVante Parker,WR,,tombiancamano,
726147054321143809,2021,142,12,3,Los Angeles Rams,DEF,LAR,Grasshoppaz,
726147054321143809,2021,143,12,2,Marquez Callaway,WR,SF,jetsnation36,
726147054321143809,2021,144,12,1,Washington Commanders,DEF,WAS,gkflo,
726147054321143809,2021,145,13,1,Jameis Winston,QB,NYG,gkflo,
726147054321143809,2021,146,13,2,Rhamondre Stevenson,RB,NE,jetsnation36,
726147054321143809,2021,147,13,3,Rondale Moore,WR,MIN,Grasshoppaz,
726147054321143809,2021,148,13,4,Deshaun Watson,QB,CLE,tombiancamano,
726147054321143809,2021,149,13,5,Cole Beasley,WR,,bwizzle127,
726147054321143809,2021,150,13,6,Pittsburgh Steelers,DEF,PIT,coreyreisch,
726147054321143809,2021,151,13,7,Irv Smith,TE,HOU,NickMarraro,
726147054321143809,2021,152,13,8,Trevor Lawrence,QB,JAX,lilmelo,
726147054321143809,2021,153,13,9,Buffalo Bills,DEF,BUF,roneill19,
726147054321143809,2021,154,13,10,Jason Sanders,K,MIA,BigFish0,
726147054321143809,2021,155,13,11,Baltimore Ravens,DEF,BAL,freddychips,
726147054321143809,2021,156,13,12,San Francisco 49ers,DEF,SF,davesiss,
726147054321143809,2021,157,14,12,Ryan Fitzpatrick,QB,,davesiss,
726147054321143809,2021,158,14,11,A.J. Green,WR,,freddychips,
726147054321143809,2021,159,14,10,New England Patriots,DEF,NE,BigFish0,
726147054321143809,2021,160,14,9,Rodrigo Blankenship,K,,roneill19,
726147054321143809,2021,161,14,8,Carolina Panthers,DEF,CAR,lilmelo,
726147054321143809,2021,162,14,7,Denver Broncos,DEF,DEN,NickMarraro,
726147054321143809,2021,163,14,6,Jakobi Meyers,WR,LV,coreyreisch,
726147054321143809,2021,164,14,5,Hunter Henry,TE,NE,bwizzle127,
726147054321143809,2021,165,14,4,New York Giants,DEF,NYG,tombiancamano,
726147054321143809,2021,166,14,3,Devontae Booker,RB,,Grasshoppaz,
726147054321143809,2021,167,14,2,Tyler Bass,K,BUF,jetsnation36,
726147054321143809,2021,168,14,1,Ryan Succop,K,,gkflo,
726147054321143809,2021,169,15,1,Evan Engram,TE,DEN,gkflo,
726147054321143809,2021,170,15,2,Kenneth Gainwell,RB,PIT,jetsnation36,
726147054321143809,2021,171,15,3,Mason Crosby,K,,Grasshoppaz,
726147054321143809,2021,172,15,4,Jason Myers,K,SEA,tombiancamano,
726147054321143809,2021,173,15,5,Daniel Carlson,K,LV,bwizzle127,
726147054321143809,2021,174,15,6,Sammy Watkins,WR,,coreyreisch,
726147054321143809,2021,175,15,7,Tre'Quan Smith,WR,,NickMarraro,
726147054321143809,2021,176,15,8,Greg Zuerlein,K,,lilmelo,
726147054321143809,2021,177,15,9,Zach Ertz,TE,WAS,roneill19,
726147054321143809,2021,178,15,10,Kirk Cousins,QB,ATL,BigFish0,
726147054321143809,2021,179,15,11,Zach Wilson,QB,MIA,freddychips,
726147054321143809,2021,180,15,12,Matt Prater,K,,davesiss,
