Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Travis Kelce (KC),110,152,1338,12.2,52,19,12,2,5,0,1,17,261.3,15.4,95.9%
2,T.J. Hockenson (MIN),86,129,914,10.6,81,5,6,0,0,0,1,17,172.4,10.1,94.8%
3,George Kittle (SF),60,86,765,12.8,54,12,11,0,0,0,1,15,170.5,11.4,98.2%
4,Mark Andrews (BAL),73,113,847,11.6,36,7,5,3,8,0,0,15,154.0,10.3,93.7%
5,Taysom Hill (NO),9,13,77,8.6,30,1,2,96,575,7,0,16,141.3,8.8,19.2%
6,Evan Engram (DEN),73,98,766,10.5,36,10,4,2,13,0,0,17,140.4,8.3,88.9%
7,Cole Kmet (CHI),50,69,544,10.9,50,6,7,2,9,0,0,17,122.3,7.2,25.3%
8,Pat Freiermuth (PIT),63,98,732,11.6,57,9,2,0,0,0,0,15,116.7,7.8,30.7%
9,Tyler Higbee (LAR),72,108,620,8.6,26,4,3,0,0,0,0,16,116.0,7.3,16.5%
10,Dalton Schultz (HOU),57,89,577,10.1,30,5,5,0,0,0,1,15,114.2,7.6,15.6%
11,Juwan Johnson (NO),42,65,508,12.1,41,8,7,0,0,0,0,16,113.8,7.1,17.6%
12,Dallas Goedert (PHI),55,69,702,12.8,31,11,3,0,0,0,1,12,113.7,9.5,78.4%
13,David Njoku (CLE),58,80,628,10.8,38,8,4,2,-8,0,1,14,113.0,8.1,91.8%
14,Dawson Knox (BUF),48,65,517,10.8,45,8,6,0,0,0,0,15,111.7,7.4,5.6%
15,Gerald Everett (FA),58,87,555,9.6,26,4,4,1,0,0,0,15,110.5,7.4,1.4%
16,Tyler Conklin (LAC),58,87,552,9.5,30,6,3,2,3,0,0,17,102.5,6.0,8.0%
17,Jordan Akins (FA),37,54,495,13.4,46,8,5,0,0,0,1,15,98.0,6.5,1.0%
18,Noah Fant (CIN),50,63,486,9.7,51,4,4,0,0,0,0,17,97.6,5.7,16.9%
19,Zach Ertz (WAS),47,69,406,8.6,32,2,4,0,0,0,0,10,92.1,9.2,43.2%
20,Robert Tonyan (KC),53,67,470,8.9,24,5,2,0,0,0,0,17,85.5,5.0,0.0%
21,Hunter Henry (NE),41,59,509,12.4,39,10,2,0,0,0,0,16,83.4,5.2,51.2%
22,Hayden Hurst (FA),54,70,439,8.1,29,5,2,0,0,0,0,14,82.9,5.9,1.3%
23,Mike Gesicki (CIN),32,52,362,11.3,32,5,5,0,0,0,0,17,82.2,4.8,23.8%
24,Chig Okonkwo (TEN),32,46,450,14.1,48,7,3,3,2,0,0,17,81.2,4.8,26.1%
25,Austin Hooper (NE),41,60,444,10.8,24,2,2,0,0,0,0,17,76.9,4.5,4.7%
26,Isaiah Likely (BAL),36,60,373,10.4,34,4,3,0,0,0,0,15,73.3,4.9,46.1%
27,Cade Otton (TB),42,65,391,9.3,35,4,2,0,0,0,0,16,72.1,4.5,33.1%
28,Darren Waller (MIA),28,43,388,13.9,34,9,3,0,0,0,0,9,70.8,7.9,23.6%
29,Will Dissly (LAC),34,38,349,10.3,38,1,3,0,0,0,0,15,69.9,4.7,4.9%
30,Greg Dulcich (NYG),33,55,411,12.5,39,6,2,0,0,0,0,10,69.6,7.0,5.8%
31,Foster Moreau (NO),33,54,420,12.7,33,7,2,0,2,0,1,14,68.7,4.9,1.6%
32,Jelani Woods (IND),25,40,312,12.5,36,4,3,0,0,0,0,14,61.7,4.4,2.0%
33,Kyle Pitts Sr. (ATL),28,59,356,12.7,33,5,2,0,0,0,0,10,61.6,6.2,58.1%
34,Daniel Bellinger (NYG),30,35,268,8.9,24,2,2,1,2,1,1,12,60.0,5.0,2.6%
35,Logan Thomas (FA),39,61,323,8.3,27,2,1,0,0,0,0,13,57.8,4.4,0.0%
36,Colby Parkinson (LAR),25,34,322,12.9,39,5,2,0,0,0,0,14,56.7,4.1,4.4%
37,Noah Gray (KC),28,34,299,10.7,27,3,1,1,1,1,0,17,56.0,3.3,9.8%
38,Brock Wright (DET),18,24,216,12.0,51,3,4,0,0,0,0,16,54.6,3.4,0.8%
39,Trey McBride (ARI),29,39,265,9.1,29,3,1,0,0,0,0,14,47.0,3.4,98.3%
40,MyCole Pruitt (FA),16,21,150,9.4,29,2,4,0,0,0,0,10,47.0,4.7,1.0%
41,Harrison Bryant (PHI),31,42,239,7.7,30,1,1,1,8,0,0,14,46.2,3.3,0.0%
42,C.J. Uzomah (FA),21,27,232,11.0,40,4,2,0,0,0,0,14,45.7,3.3,0.0%
43,Kylen Granson (PHI),31,40,302,9.7,32,3,0,1,0,0,0,13,45.7,3.5,0.7%
44,Mo Alie-Cox (IND),19,28,189,9.9,34,1,3,0,0,0,1,14,44.4,3.2,0.6%
45,Tommy Tremble (CAR),19,32,174,9.2,29,1,3,0,0,0,1,16,42.9,2.7,0.8%
46,Irv Smith Jr. (HOU),25,36,182,7.3,17,0,2,0,0,0,0,8,42.7,5.3,0.0%
47,Jake Ferguson (DAL),19,22,174,9.2,30,3,2,0,0,0,0,13,38.9,3.0,73.6%
48,Jonnu Smith (PIT),27,38,245,9.1,53,3,0,1,5,0,0,12,38.5,3.2,72.5%
49,Adam Trautman (DEN),18,22,207,11.5,22,2,1,0,0,0,0,13,35.7,2.7,0.7%
50,Shane Zylstra (DET),11,15,60,5.5,14,0,4,0,0,0,0,11,35.5,3.2,1.1%
51,Peyton Hendershot (FA),11,16,103,9.4,29,2,2,1,2,1,0,12,34.0,2.8,0.0%
52,Josh Oliver (MIN),14,25,149,10.6,40,1,2,0,0,0,0,12,33.9,2.8,1.0%
53,Durham Smythe (CHI),15,20,129,8.6,26,1,1,2,1,1,0,13,32.5,2.5,0.6%
54,O.J. Howard (FA),10,23,145,14.5,26,4,2,0,0,0,0,11,31.5,2.9,0.0%
55,Ian Thomas (LV),21,30,197,9.4,50,1,0,0,0,0,0,14,30.2,2.2,0.0%
56,Connor Heyward (PIT),12,17,151,12.6,45,2,1,2,27,0,0,17,29.8,1.8,0.1%
57,Johnny Mundt (JAC),19,21,140,7.4,17,0,1,0,0,0,0,13,29.5,2.3,0.1%
58,Mitchell Wilcox (MIA),17,18,139,8.2,19,0,1,0,0,0,0,9,28.4,3.2,0.0%
59,Eric Saubert (SEA),15,24,148,9.9,25,3,1,0,0,0,0,14,28.3,2.0,1.8%
60,Cameron Brate (FA),20,38,174,8.7,21,1,0,0,0,0,0,9,27.4,3.0,2.0%
61,Teagan Quitoriano (ATL),7,14,113,16.1,52,2,2,0,0,0,0,7,26.8,3.8,0.0%
62,Jody Fortson Jr. (FA),9,13,108,12.0,40,2,2,0,0,0,1,10,25.3,2.5,0.0%
63,Eric Tomlinson (FA),9,13,79,8.8,18,0,2,0,0,0,0,9,24.4,2.7,0.0%
64,Donald Parham Jr. (PIT),10,12,130,13.0,24,2,1,0,0,0,0,6,24.0,4.0,1.0%
65,John Bates (WAS),14,22,108,7.7,20,1,1,0,0,0,0,10,23.8,2.4,0.6%
66,Marcedes Lewis (FA),6,7,66,11.0,31,1,2,0,0,0,0,6,23.6,3.9,0.0%
67,James Mitchell (CAR),11,11,113,10.3,22,2,1,0,0,0,0,8,22.8,2.9,0.0%
68,Zach Gentry (FA),19,23,132,6.9,32,2,0,0,0,0,0,14,22.7,1.6,0.0%
69,Albert Okwuegbunam Jr. (LV),10,18,95,9.5,25,1,1,0,0,0,0,6,20.5,3.4,0.0%
70,Brevin Jordan (HOU),14,28,128,9.1,20,2,0,0,0,0,0,9,19.8,2.2,0.6%
71,Tanner Hudson (CIN),10,15,132,13.2,27,1,0,0,0,0,0,6,18.2,3.0,1.2%
72,Ross Dwelley (SF),3,5,105,35.0,56,2,1,0,0,0,0,6,18.0,3.0,0.0%
73,Dan Arnold (FA),9,13,135,15.0,26,3,0,0,0,0,0,11,18.0,1.6,0.0%
74,Josiah Deguara (ARI),13,15,114,8.8,25,1,0,0,0,0,0,9,17.9,2.0,0.0%
75,Jack Stoll (NO),11,14,123,11.2,26,2,0,0,0,0,0,10,17.8,1.8,0.0%
76,Geoff Swaim (FA),12,16,58,4.8,13,0,1,0,0,0,0,12,17.8,1.5,0.0%
77,Pharaoh Brown (MIA),12,20,117,9.8,30,1,0,0,0,0,0,9,17.7,2.0,0.1%
78,Ko Kieft (TB),7,10,80,11.4,19,0,1,0,0,0,0,15,17.5,1.2,0.0%
79,Quintin Morris (JAC),8,11,84,10.5,26,1,1,0,0,0,1,9,16.4,1.8,1.4%
80,Chris Myarick (MIA),7,8,65,9.3,23,1,1,0,0,0,0,10,16.0,1.6,0.0%
81,Anthony Firkser (FA),9,13,100,11.1,22,1,0,0,0,0,0,8,14.5,1.8,0.0%
82,Brycen Hopkins (FA),7,11,109,15.6,22,2,0,0,0,0,0,7,14.4,2.1,0.0%
83,Giovanni Ricci (MIN),8,9,100,12.5,32,1,0,0,0,0,0,11,14.0,1.3,0.0%
84,Parker Hesse (FA),9,11,89,9.9,22,1,0,0,0,0,0,12,13.4,1.1,0.0%
85,Tre' McKitty (FA),10,18,72,7.2,12,0,0,0,0,0,0,13,12.2,0.9,0.0%
86,Armani Rogers (FA),5,6,64,12.8,23,1,0,2,26,0,0,9,11.5,1.3,1.0%
87,Grant Calcaterra (PHI),5,9,81,16.2,40,1,0,0,0,0,0,7,10.6,1.5,2.8%
88,Kyle Rudolph (FA),3,5,28,9.3,12,0,1,0,0,0,0,5,10.3,2.1,1.0%
89,Andrew Beck (NYJ),5,11,69,13.8,27,2,0,2,0,0,0,9,9.4,1.0,0.0%
90,Blake Bell (FA),2,2,20,10.0,17,0,1,0,0,0,0,2,9.0,4.5,0.0%
91,Nick Vannett (MIN),6,9,55,9.2,15,0,0,0,0,0,0,7,8.5,1.2,0.0%
92,Tyler Kroft (FA),4,5,57,14.3,28,1,0,0,0,0,0,6,7.7,1.3,0.0%
93,Chris Manhertz (NYG),6,8,42,7.0,21,1,0,0,0,0,0,8,7.2,0.9,0.0%
94,Tyler Mabry (CAR),1,1,7,7.0,7,0,1,0,0,0,0,1,7.2,7.2,0.0%
