Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Brock Bowers (LV),112,153,1194,10.7,57,15,5,5,13,0,0,17,206.7,12.2,99.2%
2,George Kittle (SF),78,94,1106,14.2,43,21,8,0,0,0,0,15,197.6,13.2,98.2%
3,Trey McBride (ARI),111,147,1146,10.3,37,10,2,1,2,1,0,16,194.3,12.1,98.3%
4,Jonnu Smith (PIT),88,111,884,10.0,57,4,8,2,-1,0,1,17,178.3,10.5,72.5%
5,Mark Andrews (BAL),55,69,673,12.2,67,6,11,4,5,0,0,17,161.3,9.5,93.7%
6,Travis Kelce (KC),97,133,823,8.5,38,9,3,1,1,0,1,16,146.9,9.2,95.9%
7,Sam LaPorta (DET),60,83,726,12.1,52,11,7,0,0,0,0,16,144.6,9.0,97.8%
8,Zach Ertz (WAS),66,91,654,9.9,37,7,7,0,0,0,0,17,144.4,8.5,43.2%
9,Tucker Kraft (GB),50,70,707,14.1,67,11,7,3,6,0,1,17,138.3,8.1,84.9%
10,Pat Freiermuth (PIT),65,78,653,10.0,30,7,7,0,0,0,2,17,135.8,8.0,30.7%
11,David Njoku (CLE),64,97,505,7.9,29,4,5,0,0,0,0,11,116.5,10.6,91.8%
12,Hunter Henry (NE),66,97,674,10.2,35,4,2,0,0,0,0,16,112.4,7.0,51.2%
13,Cade Otton (TB),59,87,600,10.2,44,7,4,1,-4,0,1,14,111.1,7.9,33.1%
14,Mike Gesicki (CIN),65,83,665,10.2,47,5,2,0,0,0,1,17,109.0,6.4,23.8%
15,Kyle Pitts Sr. (ATL),47,74,602,12.8,52,7,4,0,0,0,0,17,107.7,6.3,58.1%
16,Isaiah Likely (BAL),42,58,477,11.4,49,4,6,0,0,0,1,16,102.7,6.4,46.1%
17,Juwan Johnson (NO),50,66,548,11.0,30,8,3,0,0,0,0,17,97.8,5.8,17.6%
18,Cole Kmet (CHI),47,55,474,10.1,31,7,4,0,0,0,0,17,96.9,5.7,25.3%
19,Tyler Conklin (LAC),51,72,449,8.8,27,7,4,1,0,0,0,16,96.4,6.0,8.0%
20,Noah Gray (KC),40,49,437,10.9,35,6,5,1,-4,0,0,17,93.3,5.5,9.8%
21,Taysom Hill (NO),23,31,187,8.1,34,2,0,39,278,6,1,8,91.8,11.5,19.2%
22,Dalton Schultz (HOU),53,85,532,10.0,32,5,2,0,0,0,0,17,91.7,5.4,15.6%
23,Chig Okonkwo (TEN),52,70,479,9.2,70,4,2,1,17,0,1,17,87.6,5.2,26.1%
24,Foster Moreau (NO),32,43,413,12.9,41,7,5,0,0,0,0,17,87.3,5.1,1.6%
25,Austin Hooper (NE),45,59,476,10.6,38,5,3,0,0,0,1,17,86.1,5.1,4.7%
