Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
1,Christian McCaffrey (SF),287,1387,4.8,84,6,15,116,142,1005,8.7,4,0,16,413.2,25.8,98.5%
2,Aaron Jones Sr. (MIN),236,1084,4.6,56,5,16,49,68,474,9.7,3,2,16,290.3,18.1,90.1%
3,Derrick Henry (BAL),303,1540,5.1,74,9,16,18,24,206,11.4,2,3,15,285.6,19.0,98.7%
4,Ezekiel Elliott (FA),301,1357,4.5,33,4,12,54,71,420,7.8,2,2,16,284.7,17.8,5.0%
5,Dalvin Cook (FA),250,1135,4.5,75,7,13,53,63,519,9.8,0,2,14,265.9,19.0,0.6%
6,Austin Ekeler (WAS),132,557,4.2,35,4,3,92,108,993,10.8,8,2,16,263.0,16.4,62.0%
7,Nick Chubb (HOU),298,1494,5.0,88,11,8,36,49,278,7.7,0,3,16,237.2,14.8,44.9%
8,Mark Ingram II (FA),202,1018,5.0,53,6,10,26,29,247,9.5,5,2,15,229.5,15.3,0.6%
9,Leonard Fournette (FA),265,1152,4.3,81,7,3,76,100,522,6.9,0,1,15,221.4,14.8,0.0%
10,Saquon Barkley (PHI),217,1003,4.6,68,8,6,52,73,438,8.4,2,0,13,218.1,16.8,99.0%
11,Chris Carson (FA),278,1230,4.4,59,8,7,37,47,266,7.2,2,4,15,214.1,14.3,0.3%
12,Alvin Kamara (NO),171,797,4.7,40,5,5,81,97,533,6.6,1,1,14,208.0,14.9,95.5%
13,Joe Mixon (HOU),278,1137,4.1,41,6,5,35,45,287,8.2,3,0,16,207.9,13.0,95.0%
14,Todd Gurley II (FA),223,857,3.8,25,5,12,31,49,207,6.7,2,2,15,203.9,13.6,0.6%
15,Miles Sanders (DAL),179,818,4.6,65,5,3,50,63,509,10.2,3,1,16,193.7,12.1,10.9%
16,Kenyan Drake (FA),170,817,4.8,80,4,8,50,68,345,6.9,0,1,14,189.2,13.5,1.1%
17,Le'Veon Bell (FA),245,789,3.2,19,0,3,66,78,461,7.0,1,1,15,182.0,12.1,0.2%
18,Josh Jacobs (GB),242,1150,4.8,51,8,7,20,27,166,8.3,0,1,13,181.6,14.0,98.5%
19,Phillip Lindsay (FA),224,1011,4.5,40,7,7,35,48,196,5.6,0,0,16,180.2,11.3,0.0%
