Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
96,Drew Sample (CIN),5,6,30,6.0,21,1,0,0,0,0,0,9,5.5,0.6,0.6%
97,Ross Travis (FA),4,6,51,12.8,25,1,0,0,0,0,1,3,5.1,1.7,0.0%
98,Johnny Mundt (JAC),4,7,26,6.5,9,0,0,0,0,0,0,14,4.6,0.3,0.1%
99,Pharaoh Brown (MIA),2,3,27,13.5,18,0,0,0,0,0,0,9,3.7,0.4,0.1%
100,Tanner Hudson (CIN),2,5,26,13.0,14,0,0,0,0,0,0,9,3.6,0.4,1.2%
101,Codey McElroy (FA),1,1,30,30.0,30,1,0,0,0,0,0,1,3.5,3.5,0.0%
102,Eric Saubert (SEA),2,3,21,10.5,11,0,0,0,0,0,0,2,3.1,1.6,1.8%
103,Josh Oliver (MIN),3,6,15,5.0,6,0,0,0,0,0,0,4,3.0,0.8,1.0%
104,Isaac Nauta (FA),2,3,13,6.5,10,0,0,0,0,0,0,6,2.3,0.4,0.0%
105,Scott Simonson (FA),2,2,11,5.5,10,0,0,0,0,0,0,6,2.1,0.4,0.0%
106,Levine Toilolo (FA),2,2,10,5.0,8,0,0,0,0,0,0,13,2.0,0.2,0.0%
107,Sean Culkin (FA),1,2,12,12.0,12,0,0,0,0,0,0,4,1.7,0.4,0.0%
108,Chris Manhertz (NYG),1,1,11,11.0,11,0,0,0,0,0,0,15,1.6,0.1,0.0%
109,Antony Auclair (FA),1,3,11,11.0,11,0,0,0,0,0,0,8,1.6,0.2,0.0%
110,Ben Koyack (FA),1,3,9,9.0,9,0,0,0,0,0,0,12,1.4,0.1,0.0%
111,Jordan Thomas (FA),1,3,8,8.0,8,0,0,0,0,0,0,6,1.3,0.2,0.0%
112,Chris Herndon IV (FA),1,2,7,7.0,7,0,0,0,0,0,0,2,1.2,0.6,0.0%
113,Dalton Schultz (HOU),1,2,6,6.0,6,0,0,0,0,0,0,16,1.1,0.1,15.6%
114,Charles Jones (FA),1,1,5,5.0,5,0,0,0,0,0,0,4,1.0,0.3,0.0%
115,Tyrone Swoopes (FA),1,1,5,5.0,5,0,0,0,0,0,0,6,1.0,0.2,0.0%
116,Darrell Daniels (FA),1,3,4,4.0,4,0,0,0,0,0,0,11,0.9,0.1,0.0%
117,Zach Gentry (FA),1,1,4,4.0,4,0,0,0,0,0,0,4,0.9,0.2,0.0%
118,Xavier Grimble (FA),1,3,3,3.0,3,0,0,0,0,0,0,3,0.8,0.3,0.0%
119,Eric Tomlinson (FA),1,1,1,1.0,1,0,0,0,0,0,0,8,0.6,0.1,0.0%
120,Garrett Celek (FA),0,0,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,1.0%
121,Dion Sims (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
122,Logan Paulsen (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
123,Jordan Reed (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,19.0%
124,Erik Swoope (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
125,Richard Rodgers (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
126,Jordan Matthews (FA),4,12,33,8.3,10,0,0,0,0,0,0,3,0.0,0.0,0.0%
127,Kelvin Benjamin (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
128,Antonio Gates (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%
129,Clark Harris (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
130,Jermaine Gresham (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
131,Ed Dickson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
132,Rob Gronkowski (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.3%
133,James Looney (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
134,Jordan Franks (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
135,Donnie Ernsberger (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
136,Evan Baylis (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
137,Mason Schreck (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
138,Jason Croom (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
139,Taysom Hill (NO),19,22,234,12.3,45,5,6,27,156,1,0,16,0.0,0.0,19.2%
140,Matt Orzech (GB),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
141,Brandon Dillon (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
142,Garrett Dickerson (FA),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
143,N'Keal Harry (FA),12,24,105,8.8,18,0,2,5,49,0,0,7,0.0,0.0,0.0%
144,Kendall Blanton (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
145,Carson Meier (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
146,Jace Sternberger (FA),0,1,0,0.0,0,0,0,0,0,0,0,6,0.0,0.0,0.0%
147,Jake Butt (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
148,Matt Lengel (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
149,Neal Sterling (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
150,Khari Lee (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
151,Brian Parker (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
152,Devin Funchess (FA),3,5,32,10.7,16,0,0,0,0,0,0,1,0.0,0.0,0.0%
153,Kyle Nelson (FA),0,0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
154,Jerome Cunningham (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
155,Alex Ellis (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
156,Zach Wood (NO),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,2.5%
157,Jason Vander Laan (FA),0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
158,Cole Wick (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
159,Mitchell Loewen (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
160,Alan Cross (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
161,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
162,Beau Brinkley (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%
163,James Winchester (KC),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
164,Tyler Ott (WAS),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
165,Patrick Scales (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
166,Kevin McDermott (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
167,Bronson Kaufusi (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
168,David Morgan II (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
169,David Grinnage (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
170,Jerell Adams (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
171,Stephen Anderson (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
