Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Michael Thomas (FA),149,185,1725,11.6,49,17,9,1,-9,0,0,16,300.1,18.8,1.2%
2,Chris Godwin (TB),86,121,1333,15.5,71,25,9,1,8,0,0,14,233.1,16.7,87.8%
3,Julio Jones (FA),99,157,1394,14.1,54,21,6,2,-3,0,0,15,224.6,15.0,0.6%
4,Cooper Kupp (SEA),94,134,1161,12.4,66,21,10,2,4,0,0,16,223.5,14.0,86.5%
5,DeAndre Hopkins (BAL),104,150,1165,11.2,43,16,7,2,18,0,0,15,217.5,14.5,20.0%
6,Kenny Golladay (FA),65,116,1190,18.3,75,22,11,0,0,0,1,16,215.5,13.5,4.0%
7,DeVante Parker (FA),72,128,1202,16.7,51,21,9,0,0,0,0,16,210.2,13.1,0.0%
8,Keenan Allen (LAC),104,149,1199,11.5,45,15,6,3,16,0,0,16,209.5,13.1,21.1%
9,Amari Cooper (FA),79,119,1189,15.1,53,17,8,1,6,0,0,16,207.0,12.9,13.3%
10,Julian Edelman (FA),100,153,1117,11.2,44,13,6,8,27,0,1,16,206.3,12.9,8.4%
11,Allen Robinson II (FA),98,154,1147,11.7,49,15,7,1,2,0,0,16,205.9,12.9,1.4%
12,Mike Evans (TB),67,118,1157,17.3,67,17,8,0,0,0,0,13,199.2,15.3,97.3%
13,Jarvis Landry (FA),83,138,1174,14.1,65,20,6,1,10,0,0,16,195.9,12.2,7.1%
14,Tyler Lockett (TEN),82,110,1057,12.9,44,15,8,4,-5,0,0,16,194.2,12.1,12.8%
15,A.J. Brown (PHI),52,84,1051,20.2,91,15,8,3,60,1,0,16,191.1,11.9,99.0%
16,DJ Chark Jr. (ATL),73,118,1008,13.8,69,17,8,2,20,0,0,15,189.3,12.6,1.6%
17,Robert Woods (PIT),90,139,1134,12.6,48,14,2,17,115,1,0,15,187.9,12.5,1.3%
18,DJ Moore (CHI),87,135,1175,13.5,52,13,4,6,40,0,1,15,187.0,12.5,94.3%
19,Courtland Sutton (DEN),72,124,1112,15.4,70,18,6,3,17,0,0,16,186.4,11.7,92.1%
20,John Brown (FA),72,115,1060,14.7,53,17,6,2,7,0,0,15,183.8,12.3,0.0%
21,Stefon Diggs (NE),63,94,1130,17.9,66,20,6,5,61,0,3,15,180.6,12.0,84.6%
22,Michael Gallup (WAS),66,113,1107,16.8,62,18,6,0,0,0,0,14,179.7,12.8,0.6%
23,Tyler Boyd (FA),90,148,1046,11.6,47,12,5,4,23,0,2,16,177.9,11.1,2.4%
24,Davante Adams (LAR),83,127,997,12.0,58,12,5,0,0,0,1,12,171.2,14.3,96.5%
25,Calvin Ridley (TEN),63,93,866,13.7,36,12,7,2,34,0,0,13,165.5,12.7,87.7%
26,Odell Beckham Jr. (FA),74,133,1035,14.0,89,16,4,3,10,0,1,16,164.3,10.3,1.1%
