Unnamed: 0_level_0,Unnamed: 1_level_0,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,MISC,MISC,MISC,MISC
Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
115,Kene Nwangwu (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,6.0,3.0,0.0%
116,Jonathon Brooks (CAR),9,22,2.4,9,0,0,3,3,23,7.7,0,0,3,6.0,2.0,3.6%
117,J.J. Taylor (HOU),10,44,4.4,9,0,0,2,3,0,0.0,0,0,4,5.4,1.4,1.0%
118,Mike Boone (FA),13,51,3.9,9,0,0,1,3,-2,-2.0,0,0,5,5.4,1.1,1.0%
119,Travis Homer (CHI),6,23,3.8,6,0,0,3,3,11,3.7,0,0,9,4.9,0.5,0.6%
120,Jacob Kibodi (FA),5,24,4.8,17,0,0,1,3,15,15.0,0,0,1,4.4,4.4,0.0%
121,Jermar Jefferson (TEN),6,22,3.7,8,0,0,1,1,10,10.0,0,0,2,3.7,1.9,0.6%
122,Dalvin Cook (FA),8,20,2.5,4,0,0,1,1,10,10.0,0,0,2,3.5,1.8,0.6%
123,Terrell Jennings (NE),13,33,2.5,7,0,0,0,1,0,0.0,0,0,2,3.3,1.7,0.1%
124,Jase McClellan (FA),13,32,2.5,8,0,0,0,0,0,0.0,0,0,3,3.2,1.1,0.6%
125,Rasheen Ali (BAL),10,31,3.1,9,0,0,0,2,0,0.0,0,0,5,3.1,0.6,0.7%
126,Blake Watson (DEN),4,10,2.5,7,0,0,1,2,13,13.0,0,0,3,2.8,0.9,1.1%
127,MarShawn Lloyd (GB),6,15,2.5,5,0,0,1,1,3,3.0,0,0,1,2.3,2.3,15.5%
128,Jonathan Ward (NYG),5,22,4.4,7,0,0,0,0,0,0.0,0,0,4,2.2,0.6,0.0%
129,Aaron Shampklin (FA),6,17,2.8,5,0,0,0,0,0,0.0,0,0,3,1.7,0.6,1.1%
130,Myles Gaskin (FA),3,-1,-0.3,2,0,0,1,1,11,11.0,0,0,4,1.5,0.4,0.0%
131,George Holani (SEA),3,10,3.3,8,0,0,1,1,-1,-1.0,0,0,3,1.4,0.5,0.0%
132,Cody Schrader (LAR),1,3,3.0,3,0,0,1,1,6,6.0,0,0,1,1.4,1.4,1.0%
133,Chris Collier (LV),5,12,2.4,4,0,0,1,2,-4,-4.0,0,0,6,1.3,0.2,0.0%
134,Tyreik McAllister (FA),2,11,5.5,10,0,0,0,0,0,0.0,0,0,2,1.1,0.6,1.0%
135,Reggie Gilliam (BUF),3,7,2.3,4,0,0,0,0,0,0.0,0,0,14,0.7,0.1,0.0%
136,Tyrion Davis-Price (FA),3,7,2.3,5,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.0%
137,Ke'Shawn Vaughn (FA),2,4,2.0,3,0,0,0,0,0,0.0,0,0,1,0.4,0.4,0.0%
138,Darrynton Evans (BUF),3,3,1.0,4,0,0,0,0,0,0.0,0,0,2,0.3,0.2,0.0%
139,British Brooks (HOU),1,2,2.0,2,0,0,0,0,0,0.0,0,0,3,0.2,0.1,0.0%
140,Joshua Kelley (FA),1,2,2.0,2,0,0,0,0,0,0.0,0,0,1,0.2,0.2,0.0%
141,Tahj Brooks (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,8.8%
142,Woody Marks (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,10.4%
143,Ahmani Marshall (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
144,Elijah Young (KC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
145,Montrell Johnson Jr. (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.3%
146,Nathan Carter (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
147,Amar Johnson (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
148,Robbie Ouzts (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
149,Lan Larison (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.1%
150,Lucas Scott (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
151,Deion Hankins (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
152,Quali Conley (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
153,Rushawn Baker (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
154,ShunDerrick Powell (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
155,Max Hurleman (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
156,Toa Taua (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
157,La'Mical Perine (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
158,A.J. Dillon (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,5.6%
159,DJ Thomas-Jones (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
160,Anthony Tyus III (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
161,Kye Robichaux (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
162,Jalen White (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
163,Salvon Ahmed (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
164,Kayron Lynch-Adams (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
165,Jacardia Wright (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
166,Brock Lampe (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
167,Tre Stewart (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
168,Josh Williams (TB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
169,Jaret Patterson (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
170,Demetric Felton Jr. (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
171,Zonovan Knight (ARI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
172,Troy Hairston II (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,1.1%
173,Ian Wheeler (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
174,Dante Miller (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
175,Evan Hull (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.2%
176,Colson Yankoff (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,4,0.0,0.0,1.1%
177,Jarquez Hunter (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,11.8%
178,Velus Jones Jr. (NO),3,11,3.7,6,0,0,1,1,8,8.0,0,1,2,0.0,0.0,0.0%
179,Jaydon Blue (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,46.5%
180,Jabari Small (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
181,Israel Abanikanda (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.4%
182,Raheim Sanders (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.3%
183,Frank Gore Jr. (BUF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.6%
184,Jawhar Jordan (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
185,Damien Martinez (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,5.4%
186,Emani Bailey (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
187,Ellis Merriweather (GB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
188,Owen Wright (TB),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
189,Zavier Scott (MIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
190,Brady Russell (SEA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,11,0.0,0.0,0.0%
191,Ollie Gordon II (MIA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,10.3%
192,Ashton Jeanty (LV),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,98.4%
193,Ben VanSumeren (PHI),0,0,0.0,0,0,0,1,1,0,0.0,0,0,7,0.0,0.0,1.3%
194,Omarion Hampton (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,94.3%
195,Lew Nichols III (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.7%
196,Trevor Etienne (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,7.0%
197,Quinshon Judkins (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,79.0%
198,Jacob Saylors (DET),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
199,Jordan Waters (LAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
200,Carlos Washington Jr. (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.1%
201,Kazmeir Allen (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,1.0%
202,Scott Matlock (LAC),0,0,0.0,0,0,0,4,5,28,7.0,0,0,17,0.0,0.0,16.9%
203,Elijah Dotson (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
204,Jashaun Corbin (ATL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
205,Marcus Yarns (NO),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%
206,Bhayshul Tuten (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,41.5%
207,Jordan James (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,10.0%
208,Kendall Milton (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
209,Jacory Croskey-Merritt (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.9%
210,Lawrance Toafili (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
211,LeQuint Allen Jr. (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.8%
212,Phil Mafah (DAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.3%
213,D.J. Williams (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
214,Donovan Edwards (NYJ),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,2.2%
215,RJ Harvey (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,88.6%
216,Kaleb Johnson (PIT),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,86.5%
217,Cam Skattebo (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,80.2%
218,Brashard Smith (KC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,11.5%
219,Corey Kiner (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%
220,Kyle Monangai (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,9.5%
221,Keilan Robinson (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
222,Elijah Mitchell (KC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,5.3%
223,Javian Hawkins (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
224,Chris Tyree (NO),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
225,Adam Prentice (FA),0,0,0.0,0,0,0,0,4,0,0.0,0,0,9,0.0,0.0,0.0%
226,Devin Neal (NO),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,13.9%
227,Gary Brightwell (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
228,Avery Williams (PHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,17,0.0,0.0,0.6%
229,TreVeyon Henderson (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,87.6%
230,Kalel Mullings (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.7%
231,DJ Giddens (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,12.8%
232,Ulysses Bentley IV (IND),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
233,Marcus Major Jr. (BAL),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
234,Dylan Sampson (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,27.8%
235,Ja'Quinden Jackson (JAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%
236,Keaontay Ingram (KC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
237,Shane Bannon (KC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
238,Jay Finley (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
239,Willie Carter (CHI),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
240,Kenny Irons (CIN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
241,Chad Simpson (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
242,Anthony Alridge (WAS),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
243,Dantrell Savage (CAR),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
244,Xavier Omon (SF),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
245,Garrett Mills (NE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
246,Madison Hedgecock (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
247,Samkon Gado (TEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
248,John Kelly Jr. (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
249,Nyheim Miller-Hines (LAC),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
250,Taquan Mizzell (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
251,Trayveon Williams (CLE),0,0,0.0,0,0,0,0,0,0,0.0,0,0,5,0.0,0.0,0.0%
252,Mike Weber (NYG),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0%
253,Andrew Beck (NYJ),0,0,0.0,0,0,0,0,2,0,0.0,0,0,2,0.0,0.0,0.0%
254,Khari Blasingame (FA),0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0%
255,Jakob Johnson (HOU),0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%
256,Brennan Clay (DEN),0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0%
