"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","CeeDee Lamb (DAL)","13","27","48.1%","135","10.4","7","54.0%","3","17","2","42.9%","1","17","67.2","4.0","98.7%"
"2","Courtland Sutton (DEN)","12","17","70.6%","114","9.5","8","43.6%","0","0","0","0.0%","0","16","59.4","3.7","92.1%"
"3","Deebo Samuel Sr. (WAS)","12","18","66.7%","104","8.7","3","54.5%","9","53","4","100.0%","0","15","57.7","3.8","86.5%"
"4","Jakobi Meyers (LV)","12","16","75.0%","99","8.3","6","30.2%","2","17","1","50.0%","0","16","57.7","3.6","84.5%"
"5","Romeo Doubs (GB)","9","17","52.9%","66","7.3","7","27.4%","0","0","0","0.0%","0","17","48.6","2.9","28.3%"
"6","Amon-Ra St. Brown (DET)","16","24","66.7%","114","7.1","6","53.3%","1","3","0","33.3%","0","16","47.7","3.0","99.5%"
"7","Rashee Rice (KC)","16","22","72.7%","110","6.9","6","44.9%","0","0","0","0.0%","0","16","47.0","2.9","93.4%"
"8","Jayden Reed (GB)","11","17","64.7%","90","8.2","5","27.4%","2","15","1","66.7%","0","16","46.5","2.9","81.5%"
"9","Stefon Diggs (NE)","11","16","68.8%","93","8.5","6","47.1%","1","5","0","33.3%","0","17","45.8","2.7","84.6%"
"10","Calvin Ridley (TEN)","10","25","40.0%","80","8.0","6","54.3%","1","3","0","33.3%","0","17","44.3","2.6","87.7%"
"11","DK Metcalf (PIT)","10","23","43.5%","79","7.9","6","46.9%","0","0","0","0.0%","0","16","43.9","2.7","95.9%"
"12","Nico Collins (HOU)","9","16","56.3%","62","6.9","6","34.0%","0","0","0","0.0%","0","15","42.2","2.8","99.3%"
"13","Jordan Addison (MIN)","9","17","52.9%","79","8.8","5","36.2%","1","2","0","100.0%","0","17","38.1","2.2","88.2%"
"14","Curtis Samuel (BUF)","8","15","53.3%","60","7.5","4","38.5%","4","18","1","100.0%","0","16","37.8","2.4","8.8%"
"15","Davante Adams (LAR)","16","27","59.3%","77","4.8","5","50.9%","0","0","0","0.0%","0","17","37.7","2.2","96.5%"
"16","DJ Moore (CHI)","8","12","66.7%","59","7.4","4","48.0%","1","16","1","50.0%","0","17","37.5","2.2","94.3%"
"17","Gabe Davis (FA)","6","11","54.5%","64","10.7","5","32.4%","0","0","0","0.0%","0","17","36.4","2.1","12.6%"
"18","Brandon Aiyuk (SF)","5","9","55.6%","59","11.8","5","27.3%","0","0","0","0.0%","0","16","35.9","2.2","63.7%"
"19","Keenan Allen (LAC)","8","14","57.1%","49","6.1","5","35.0%","1","4","0","33.3%","0","13","35.3","2.7","21.1%"
"20","Christian Watson (GB)","6","13","46.2%","57","9.5","5","21.0%","1","-5","0","33.3%","0","9","35.2","3.9","18.8%"
"21","Brandin Cooks (NO)","5","9","55.6%","35","7.0","5","18.0%","2","12","0","28.6%","0","16","34.7","2.2","11.2%"
"22","Mike Evans (TB)","6","16","37.5%","44","7.3","5","41.0%","0","0","0","0.0%","0","17","34.4","2.0","97.3%"
"23","A.J. Brown (PHI)","10","18","55.6%","77","7.7","4","56.3%","0","0","0","0%","0","17","31.7","1.9","99.0%"
"24","Cooper Kupp (SEA)","12","19","63.2%","79","6.6","4","38.0%","1","-3","0","20.0%","0","12","31.6","2.6","86.5%"
"25","Ja'Marr Chase (CIN)","12","21","57.1%","68","5.7","4","40.4%","0","0","0","0%","0","16","30.8","1.9","99.4%"
